ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q38110885,Crespo Cabinet,1974-09-25,11,,,1975-06-01,10,,,,,Q37566799,1st Machel Cabinet,,,,
,Q37566799,1st Machel Cabinet,1975-06-01,10,,,1986-01-01,9,,,Q38110885,Crespo Cabinet,Q45227343,2nd Machel Cabinet,,,,
,Q45227343,2nd Machel Cabinet,1986-01-01,9,,,1986-10-19,11,,,Q37566799,1st Machel Cabinet,,,,,,
,Q27243435,Second Chissano Cabinet,,,2000-01-01,10,,,2005-01-01,10,,,,,,,Q27166143,First Guebuza Cabinet
,Q20191958,Second Guebuza Cabinet,2010-01-18,11,2010-01-18,11,2015-01-19,11,2015-01-19,11,,,,,Q27166143,First Guebuza Cabinet,Q20191961,First Nyusi Cabinet
,Q20191961,First Nyusi Cabinet,2015-01-19,11,,,2020-01-17,11,,,,,Q109947496,Second Nyusi Cabinet,Q20191958,Second Guebuza Cabinet,,
,Q109947496,Second Nyusi Cabinet,2020-01-17,11,,,,,,,Q20191961,First Nyusi Cabinet,,,,,,
