pageid,title
712832,Graça Machel
1468481,Alcinda Abreu
5426710,Hama Thai
9252537,Esperança Bias
11231080,Verónica Macamo
11231288,Alberto Chipande
11349947,Eduardo Joaquim Mulémbwè
16988445,Filipe Nyusi
44121272,Isaura Nyusi
55939438,Adriano Maleiane
61378557,Ossufo Momade
66634529,Felizarda Paulino
66634649,Marina Pachinuapa
66938786,Beatriz Buchili
67260678,Eldevina Materula
69973398,Nyeleti Brooke Mondlane
70391206,Cristóvão Artur Chume
70393826,Arsénia Massingue
70394697,Ernesto Max Elias Tonela
