minister,country,startdate,enddate,position
Carlos Morgado,Mozambique,2000-01-17,2005-02-02,Industry and Trade
Carlos Rosario,Mozambique,1994-12-16,2000-01-17,Agriculture and Fishing
Carlos do Rosario,Mozambique,2015-01-15,2019-12-31,Prime Minister
Carmelita Namashulua,Mozambique,2010-01-19,2015-01-15,State Administration
Carmelita Rita Namashalua,Mozambique,2015-01-15,2019-12-31,State Administration and the Public Service
Carvalho Muaria,Mozambique,2012-10-08,2015-01-15,Tourism
Castigo Langa,Mozambique,2000-01-17,2005-02-02,Mineral Resources and Energy
Celso Ismael Correia,Mozambique,2015-01-15,2019-12-31,"Land, Environment and Rural Development"
Cidalia Chauque Oliveira,Mozambique,2015-01-15,2019-12-31,"Gender, Children and Social Welfare"
Conceita Ernesto Xavier Sortane,Mozambique,2016-11-24,2019-12-31,Education and Human Development
David Simango,Mozambique,2005-02-11,2010-01-19,Youth and Sports
Eneias da Conceicao,Mozambique,1994-12-16,2000-01-17,Economic and Social Affairs
Erasmo Muhate,Mozambique,2007-02-27,2015-01-15,Agriculture
Ernesto Max Elias Tonela,Mozambique,2015-01-15,2017-12-12,Industry and Trade
Ernesto Max Elias Tonela,Mozambique,2017-12-12,2019-12-31,Mineral Resources and Energy
Esperanca Alfreda Machavela,Mozambique,2005-02-11,2008-03-10,Justice
Esperanca Bias,Mozambique,2005-02-11,2015-01-15,Mineral Resources
Eusebio Lambo Gumbiwa,Mozambique,2015-01-15,2019-12-31,Veterans’ Affairs
Feliciano Salomao Gundana,Mozambique,2005-02-11,2010-01-19,Veterans
Feliciano Salomao Gundana,Mozambique,2010-01-19,2015-01-15,Social Matters
Felicio Zacarias,Mozambique,2005-02-11,2010-01-19,Public Works and Housing
Fernando Sumbane,Mozambique,2000-01-17,2005-02-02,Tourism
Fernando Sumbane,Mozambique,2005-02-11,2012-10-08,Tourism
Fernando Sumbane,Mozambique,2012-10-08,2015-01-15,Youth and Sports
Filipe Jacinto Nyusi,Mozambique,2008-03-27,2014-03-14,Defence
Francisco Caetano Madeira,Mozambique,1994-12-16,2005-02-02,Parliamantary Affairs
Francisco Caetano Madeira,Mozambique,2005-02-11,2010-01-19,Parliamantary Affairs
Francisco Songane,Mozambique,2000-01-17,2005-02-02,Health
Guilherme Luis Mavila,Mozambique,1994-12-16,2000-01-17,Labour
Helder Monteiro,Mozambique,2000-01-17,2005-02-02,Agriculture and Rural Development
Helena Saipo,Mozambique,2005-02-11,2015-01-15,Labour
Higino Francisco Marrule,Mozambique,2017-12-12,2019-12-31,Agriculture
Iolanda Cintura,Mozambique,2010-01-19,2015-01-15,Womens Affairs and Social action
Isaque Chande,Mozambique,2016-03-26,2018-06-13,Justice and Constitutional and Religious Affairs
Jaime Basilio Monteiro,Mozambique,2015-01-15,2019-12-31,Interior
Joaquim Alberto Chissano,Mozambique,1987-01-11,2005-02-02,President
Joaquim Veríssimo,Mozambique,2018-06-13,2019-12-31,Justice and Constitutional and Religious Affairs
Joel Libombo,Mozambique,2000-01-17,2005-02-02,Youth and Sports
Jorge Penicela Nhambiu,Mozambique,2015-01-15,2019-12-31,"Science, Technology, and Higher, Technical and Professional Education"
Jose Chichava,Mozambique,2000-01-17,2005-02-02,State Administration
Jose Ibraimo Abudo,Mozambique,2000-01-17,2005-02-02,Justice
José Condungua Pacheco,Mozambique,2005-02-11,2010-10-12,Interior
José Condungua Pacheco,Mozambique,2010-10-12,2015-01-15,Agriculture
José Condungua Pacheco,Mozambique,2015-01-15,2017-12-12,Agriculture
José Condungua Pacheco,Mozambique,2017-12-12,2019-12-31,Foreign Affairs and Cooperation
João Kachamila,Mozambique,1994-12-16,2000-01-17,Mineral Resources and Energy
João Kachamila,Mozambique,2000-01-17,2005-02-02,Environment
João Osvaldo Machatine,Mozambique,2018-05-15,2019-12-31,"Public Works, Housing and Water Resources"
Leonardo Simao,Mozambique,1994-12-16,2000-01-17,Foreign Affairs
Leonardo Simao,Mozambique,2000-01-17,2005-02-02,Foreign Affairs and Cooperation
Leticia Klemens,Mozambique,2016-09-29,2017-12-12,Mineral Resources and Energy
Louis Augusto Mutomene Pelembe,Mozambique,2012-10-08,2015-01-15,Science and Technology
Lucas Chomera,Mozambique,2005-02-11,2010-01-19,State Administration
Luciano Andre de Castro,Mozambique,2005-02-11,2008-03-10,Environment
Luis Antonio Ferrao,Mozambique,2015-01-15,2016-11-24,Education and Human Development
Luisa Diogo,Mozambique,2000-01-17,2004-02-17,Planning and Finance
Luisa Diogo,Mozambique,2004-02-17,2005-02-02,Prime Minister and Minister of Finance and Planning
Luisa Diogo,Mozambique,2005-02-11,2010-01-19,Prime Minister
Lídia Brito,Mozambique,2000-01-17,2005-02-02,"Higher Education, Science and Technology"
Manuel Chang,Mozambique,2005-02-11,2015-01-15,Finance
Maria Benvinda Levy,Mozambique,2008-03-27,2015-01-15,Justice
Mario Sevene,Mozambique,2000-01-17,2005-02-02,Labour
Mateus Catupa,Mozambique,1994-12-16,2000-01-17,"Culture, Youth and Sports"
Mateus Oscar Kida,Mozambique,2010-01-19,2015-01-15,Veterans
Nazira Karimo Vali Abdula,Mozambique,2015-01-15,2019-12-31,Health
Nyeleti Brooke Mondlane,Mozambique,2017-11-23,2019-12-31,Youth and Sports
Oldemiro Baloi,Mozambique,1994-12-16,2000-01-17,"Industry, Commerce and Tourism"
Oldemiro Baloi,Mozambique,2008-03-27,2015-01-15,Foreign Affairs and Cooperation
Oldemiro Baloi,Mozambique,2015-01-15,2017-12-12,Foreign Affairs and Cooperation
Pascual Manuel Mucumbi,Mozambique,1994-12-16,2004-02-17,Prime Minister
Paulo Ivo Garrido,Mozambique,2005-02-11,2010-10-12,Health
Paulo Muxango,Mozambique,1994-12-16,2000-01-17,Transport and Communications
Paulo Zucula,Mozambique,2008-03-27,2015-01-15,Transport and Communications
Pedrito Caetano,Mozambique,2010-01-19,2012-10-08,Youth and Sports
Pedro Conceicao Couto,Mozambique,2015-01-15,2016-09-29,Mineral Resources and Energy
Ragendra Berta de Sousa,Mozambique,2017-12-22,2019-12-31,Industry and Trade
Roberto White,Mozambique,1994-12-16,2005-02-02,Public Works and Housing
Salvador Namburete,Mozambique,2005-02-11,2015-01-15,Energy
Silva Armando Dunduru,Mozambique,2015-01-15,2019-12-31,Culture and Tourism
Soares Nhaca,Mozambique,2007-12-11,2010-10-12,Agriculture
Thomas Salomao,Mozambique,1994-12-16,2000-01-17,Planning and Finance
Thomas Salomao,Mozambique,2000-01-17,2005-02-02,Transport and Communications
Tobias Dai,Mozambique,2000-01-17,2005-02-02,Defence
Tobias Dai,Mozambique,2005-02-11,2008-03-27,Defence
Tomas Mandlate,Mozambique,2005-02-11,2007-02-27,Agriculture
Venancio Simao Massingue,Mozambique,2005-02-11,2012-10-08,Science and Technology
Victor Manuel Borges,Mozambique,2010-01-19,2015-01-15,Fishing
Virginia Matabele,Mozambique,2000-01-17,2005-02-02,Women Affairs and Social Welfare
Virginia Matabele,Mozambique,2005-02-11,2010-01-19,Women Affairs and Social Welfare
Vitoria Dias Diogo,Mozambique,2015-01-15,2019-12-31,"Labour, Employment and Social Security"
Vitoria Diogo,Mozambique,2010-01-19,2015-01-15,Civil Service
Zeferino Alexandre Martins,Mozambique,2010-01-19,2012-10-08,Education
