minister,country,startdate,enddate,position
Abdurremane Lino de Almeida,Mozambique,2015-01-15,2016-03-26,Justice and Constitutional and Religious Affairs
Acucena Xavier Duarte,Mozambique,1998-07-07,2000-01-17,Social Affairs
Adelaide Anchia Amurane,Mozambique,2010-01-19,2015-01-15,"Parliamentary, Municipal and Provincial Assembly Affairs"
Adelaide Anchia Amurane,Mozambique,2015-01-15,2019-12-31,Presidential Affairs
Adriano Afonso Maleiane,Mozambique,2015-01-15,2019-12-31,Economy and Finance
Agostinho Mondlane,Mozambique,2014-03-14,2015-01-15,Defence
Agostinho Salvador Mondlane,Mozambique,2015-01-15,2019-12-31,"The Sea, Inland Waters and Fishing"
Aguiar Real Mazule,Mozambique,1994-12-16,2000-01-17,Defence
Aires Bonifacio Aly,Mozambique,2005-02-11,2010-01-19,Education and Culture
Aires Bonifacio Aly,Mozambique,2010-01-19,2012-10-08,Prime Minister
Aiuba Cuereneia,Mozambique,2005-02-11,2015-01-15,Development and Planning
Alberto Hawa Januario Nkutumula,Mozambique,2015-01-15,2017-11-23,Youth and Sports
Alberto Mondlane,Mozambique,2010-10-12,2015-01-15,Interior
Alberto Vaquina,Mozambique,2012-10-08,2015-01-15,Prime Minister
Alcido Nguenah,Mozambique,2000-01-17,2005-02-02,Education
Alcinda Abreu,Mozambique,2005-02-11,2008-03-27,Foreign Affairs and Cooperation
Alcinda Abreu,Mozambique,2008-03-27,2015-01-15,Environment
Alexandre Manguele,Mozambique,2010-10-12,2015-01-15,Health
Alfredo Damito,Mozambique,1994-12-16,2000-01-17,State Administration
Antonio Correia Fernandes Sumbana,Mozambique,2010-01-19,2015-01-15,Civilian Household Affairs
Antonio Fernando,Mozambique,2005-02-11,2010-10-12,Industry and Trade
Antonio Francisco Munguambe,Mozambique,2005-02-11,2008-03-10,Transport and Communications
Antonio Hama Thai,Mozambique,1987-06-15,2000-01-17,Armed Forces
Antonio Hama Thai,Mozambique,2000-02-15,2005-02-02,Veterans
Antonio Namburete,Mozambique,1998-07-07,2000-01-17,Justice
Armando Artur Joao,Mozambique,2010-01-19,2015-01-15,Culture
Armando Inroga,Mozambique,2010-10-12,2015-01-15,Industry and Trade
Armirinho da Cruz Marco Manhaze,Mozambique,1996-11-08,2005-02-02,Interior and Security
Arnaldo Nhavoto,Mozambique,1994-12-16,2000-01-17,Education
Atanasio Salvador Ntumuke,Mozambique,2015-01-15,2019-12-31,Defence
Augusto Jone,Mozambique,2012-10-08,2015-01-15,Education
Aurelio Zilhao,Mozambique,1994-12-16,2000-01-17,Health
Bernado Ferraz,Mozambique,1994-12-16,2000-01-17,Environment
Cadmiel Muthemba,Mozambique,2000-02-15,2005-02-02,Fishing
Cadmiel Muthemba,Mozambique,2005-02-11,2010-01-19,Fishing
Cadmiel Muthemba,Mozambique,2010-01-19,2015-01-15,Public Works and Housing
Carlos Alberto Fortes Mesquita,Mozambique,2015-01-15,2019-12-31,Transport and Communications
Carlos Bonete Martinho,Mozambique,2015-01-15,2018-05-15,"Public Works, Housing and Water Resources"
