item,itemLabel,position,positionLabel,start,end
,Abdurremane Lino de Almeida,Q109950298,Minister of Justice and Constitutional and Religious Affairs,2015-01-15,2016-03-26
,Acucena Xavier Duarte,Q111827981,Minister of Social Affairs,1998-07-07,2000-01-17
Q19834060,Adelaide Anchia Amurane,Q111827974,"Minister of Parliamentary, Municipal and Provincial Assembly Affairs",2010-01-19,2015-01-15
Q19834060,Adelaide Anchia Amurane,Q111827976,Minister of Presidential Affairs,2015-01-15,2019-12-31
Q44275924,Adriano Afonso Maleiane,Q98755316,Minister of Economy and Finance,2015-01-15,2019-12-31
Q18350460,Agostinho Mondlane,Q98755271,Minister of Defence,2014-03-14,2015-01-15
,Agostinho Salvador Mondlane,Q111827988,"Minister of The Sea, Inland Waters and Fishing",2015-01-15,2019-12-31
,Aguiar Real Mazule,Q98755271,Minister of Defence,1994-12-16,2000-01-17
,Aires Bonifacio Aly,Q51279809,Minister of Education and Culture,2005-02-11,2010-01-19
,Aires Bonifacio Aly,Q30100629,Prime Minister,2010-01-19,2012-10-08
,Aiuba Cuereneia,Q111827951,Minister of Development and Planning,2005-02-11,2015-01-15
,Alberto Hawa Januario Nkutumula,Q111827996,Minister of Youth and Sports,2015-01-15,2017-11-23
Q61000406,Alberto Mondlane,Q109951016,Minister of Interior,2010-10-12,2015-01-15
Q34282,Alberto Vaquina,Q30100629,Prime Minister,2012-10-08,2015-01-15
,Alcido Nguenah,Q111827956,Minister of Education,2000-01-17,2005-02-02
Q2832185,Alcinda Abreu,Q111827962,Minister of Foreign Affairs and Cooperation,2005-02-11,2008-03-27
Q2832185,Alcinda Abreu,Q111827959,Minister of Environment,2008-03-27,2015-01-15
,Alexandre Manguele,Q98966133,Minister of Health,2010-10-12,2015-01-15
,Alfredo Damito,Q111827984,Minister of State Administration,1994-12-16,2000-01-17
,Antonio Correia Fernandes Sumbana,Q111827913,Minister of Civilian Household Affairs,2010-01-19,2015-01-15
,Antonio Fernando,Q109949809,Minister of Industry and Trade,2005-02-11,2010-10-12
,Antonio Francisco Munguambe,Q109950952,Minister of Transport and Communications,2005-02-11,2008-03-10
Q5643918,Antonio Hama Thai,Q111827910,Minister of Armed Forces,1987-06-15,2000-01-17
Q5643918,Antonio Hama Thai,Q109950869,Minister of Veterans,2000-02-15,2005-02-02
,Antonio Namburete,Q111827968,Minister of Justice,1998-07-07,2000-01-17
,Armando Artur Joao,Q111827915,Minister of Culture,2010-01-19,2015-01-15
,Armando Inroga,Q109949809,Minister of Industry and Trade,2010-10-12,2015-01-15
,Armirinho da Cruz Marco Manhaze,Q111827967,Minister of Interior and Security,1996-11-08,2005-02-02
,Arnaldo Nhavoto,Q111827956,Minister of Education,1994-12-16,2000-01-17
Q19834890,Atanasio Salvador Ntumuke,Q98755271,Minister of Defence,2015-01-15,2019-12-31
,Augusto Jone,Q111827956,Minister of Education,2012-10-08,2015-01-15
,Aurelio Zilhao,Q98966133,Minister of Health,1994-12-16,2000-01-17
,Bernado Ferraz,Q111827959,Minister of Environment,1994-12-16,2000-01-17
,Cadmiel Muthemba,Q111827961,Minister of Fishing,2000-02-15,2005-02-02
,Cadmiel Muthemba,Q111827961,Minister of Fishing,2005-02-11,2010-01-19
,Cadmiel Muthemba,Q111827977,Minister of Public Works and Housing,2010-01-19,2015-01-15
Q105497841,Carlos Alberto Fortes Mesquita,Q109950952,Minister of Transport and Communications,2015-01-15,2019-12-31
,Carlos Bonete Martinho,Q111827978,"Minister of Public Works, Housing and Water Resources",2015-01-15,2018-05-15
,Carlos Morgado,Q109949809,Minister of Industry and Trade,2000-01-17,2005-02-02
Q19057400,Carlos Rosario,Q111827909,Minister of Agriculture and Fishing,1994-12-16,2000-01-17
Q19057400,Carlos do Rosario,Q30100629,Prime Minister,2015-01-15,2019-12-31
Q19816448,Carmelita Namashulua,Q111827984,Minister of State Administration,2010-01-19,2015-01-15
,Carmelita Rita Namashalua,Q111827987,Minister of State Administration and the Public Service,2015-01-15,2019-12-31
Q25428943,Carvalho Muaria,Q111827990,Minister of Tourism,2012-10-08,2015-01-15
,Castigo Langa,Q109950037,Minister of Mineral Resources and Energy,2000-01-17,2005-02-02
