item,itemLabel,startDate,endDate,psid
Q1383773,Pascoal Mocumbi,1987,1994,Q1383773-3ED289E1-729F-4B47-B399-385FF187F18B
Q208355,Joaquim Chissano,1975,1987,Q208355-03A938C1-5F9D-4881-A947-84D867BC95A8
Q2832185,Alcinda Abreu,2005-02-11,2008-03-27,Q2832185-9027CF36-4F58-4A85-8BD4-69EFD425136D
Q58223,Oldemiro Balói,2008-03-27,2017-12-12,Q58223-8FC85522-1536-489D-9E1B-8C271240B7A2
Q6291941,José Condungua Pacheco,2017-12-12,2020-01-17,Q6291941-DC27EF83-F196-4C70-917B-C8C0F0991DC3
Q6526096,Leonardo Simão,1994,2005,Q6526096-CE91B01E-C900-40D3-BEF7-8259F2943938
Q6722501,Verónica Macamo,2020-01-17,,Q6722501-234F8F91-761D-4E8E-A729-E08AEA002845
