itemLabel,positionLabel
FILIPE JACINTO NYUSI,Presidente da República
Adriano Afonso Maleiane,Primeiro-Ministro
Verónica Nataniel Macamo Dlhovo,Ministra dos Negócios Estrangeiros e Cooperação
Ernesto Max Elias Tonela,Ministro de Economia e Finanças
Cristóvão Artur Chume,Ministro da Defesa Nacional
Arsénia Felicidade Félix Massingue,Ministra do Interior
Celso Ismael Correia,Ministro da Agricultura e Desenvolvimento Rural
Ana Comoana,Ministra da Administração Estatal e Função Pública
Margarida Adamugy Talapa,"Ministra do Trabalho, Emprego e Segurança Social"
Constantino Alberto Bacela,Ministro na Presidência para os Assuntos da Casa Civil
Lídia de Fátima da Graça Cardoso,"Ministra do Mar, Águas Interiores e Pescas"
Carlos Joaquim Zacarias,Ministro dos Recursos Minerais e Energia
Helena Mateus Kida,"Ministra da Justiça, Assuntos Constitucionais e Religiosos"
Armindo Daniel Tiago,Ministro da Saúde
Nyeleti Brooke Mondlane,"Ministra do Género, Criança e Acção Social"
Carmelita Rita Namashulua,Ministra da Educação e Desenvolvimento Humano
Silvino Augusto José Moreno,Ministro da Indústria e Comércio
Mateus Magala,Ministro dos Transportes e Comunicações
Ivete Maibase,Ministra da Terra e Ambiente
Daniel Daniel Nivagara,"Ministro da Ciência, Tecnologia e Ensino Superior"
Carlos Alberto Fortes Mesquita,"Ministro das Obras Públicas, Habitação e Recursos Hídricos"
Eldevina Materula,Ministra da Cultura e Turismo
Josefina Mpelo,Ministro dos Combatentes
