wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,psid
Q105038571,Eldevina Materula,Edelvina Materula,female,1982-01-01,9,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109949840,Ministra da Cultura e Turismo,Q105038571-0B53B8B6-0B07-4618-8576-6B745579D466
Q105497841,Carlos Alberto Fortes Mesquita,Carlos Alberto Fortes Mesquita,male,1962-03-25,11,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109949809,Ministro da Indústria e Comércio,Q105497841-dd293951-415b-038a-9aaa-dbf3e940beb2
Q109950516,João Osvaldo Machatine,João Osvaldo Machatine,male,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950077,"Ministro das Obras Públicas, Habitação e Recursos Hídricos",Q109950516-92E83566-F3AF-41A5-ADB3-DD06E1235C6E
Q109950517,Ernesto Max Elias Tonela,Ernesto Max Elias Tonela,male,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950037,Ministro dos Recursos Minerais e Energia,Q109950517-054ABA6F-11D8-4CE2-953E-77FE9059C716
Q109950524,Ivete Maibase,Ivete Maibase,female,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950138,Ministra da Terra e Ambiente,Q109950524-BEF9A118-19B9-46C5-9119-BFEEE5BDD5CB
Q109950526,Verónica Nataniel Macamo Dlhovo,Verónica Nataniel Macamo Dlhovo,female,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950159,Ministra dos Negócios Estrangeiros e Cooperação,Q109950526-3EA6C4BC-1C3C-4318-9134-19FB4B7780E1
Q109950528,Margarida Adamugy Talapa,Margarida Adamugy Talapa,female,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950203,"Ministra do Trabalho, Emprego e Segurança Social",Q109950528-F76556DC-92D1-452D-9BB5-645EDAB87689
Q109950530,Helena Mateus Kida,Helena Mateus Kida,female,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950298,"Ministra da Justiça, Assuntos Constitucionais e Religiosos",Q109950530-29CF1B07-477C-4603-964D-81CEBEA757A3
Q109950532,Augusta de Fátima Charifo Maita,Augusta de Fátima Charifo Maita,female,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950316,"Ministra do Mar, Águas Interiores e Pescas",Q109950532-4463081A-1E33-4FD0-BD42-355DF8AFA6FB
Q109950683,Daniel Daniel Nivagara,Daniel Nivagara,male,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950672,"Ministro da Ciência, Tecnologia e Ensino Superior",Q109950683-D46DD7B3-1E16-4A28-B055-C2ACBAF63A13
Q109950753,Constantino Alberto Bacela,Constantino Bacela,male,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950728,Ministro na Presidência para os Assuntos da Casa Civil,Q109950753-AED70FB2-D2DA-42EE-9456-C17B354360A6
Q109950913,Carlos Jorge Siliya,Carlos Jorge Siliya,male,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950869,Ministro dos Combatentes,Q109950913-CA6209F0-ED5A-4469-8B17-82415EA0828A
Q109950964,Janfar Abdulai,Janfar Abdulai,male,1985-09-04,11,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950952,Ministro dos Transportes e Comunicações,Q109950964-04FF580A-8371-4450-B980-2C82CDB287D1
Q109951064,Cristóvão Artur Chume,Cristóvão Artur Chume,male,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q98755271,Ministro da Defesa Nacional,Q109951064-86C34AD1-25F4-49DE-B01C-1DDEF83AB269
Q109951071,Arsénia Felicidade Félix Massingue,Arsénia Felicidade Félix Massingue,female,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109951016,Ministra do Interior,Q109951071-210C498D-5BEF-4AD1-950C-92AF4CBCF9CC
Q19057400,Carlos Agostinho do Rosário,Carlos Agostinho do Rosário,male,1954-10-26,11,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q30100629,Primeiro-Ministro,Q19057400-08bf7e6b-46b8-9906-0ea5-12d36456834f
Q19816448,Carmelita Rita Namashulua,Carmelita Namashulua,female,1962-12-02,11,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950218,Ministra da Educação e Desenvolvimento Humano,Q19816448-194B7ABB-1475-4C19-80FA-2FF584CE6217
Q27220074,Nyeleti Brooke Mondlane,Nyeleti Mondlane,female,1962-01-17,11,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109949882,"Ministra do Género, Criança e Acção Social",Q27220074-05D5EBC3-C068-4999-8BE2-65DC7D3505C0
Q44275924,Adriano Afonso Maleiane,Adriano Maleiane,male,1949-11-06,11,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q98755316,Ministro de Economia e Finanças,Q44275924-1021F521-5757-4E34-9F7F-852D0BA61773
Q5448556,FILIPE JACINTO NYUSI,Filipe Nyusi,male,1959-02-09,11,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q18565665,Presidente da República,Q5448556-4c9038af-418a-ff76-8c95-deaf108145f8
Q62274562,Celso Ismael Correia,Celso Ismael Correia,male,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950131,Ministro da Agricultura e Desenvolvimento Rural,Q62274562-48DB05A0-3F9D-46F0-BC5F-6748B7570B64
Q97061538,Ana Comoana,Ana Comoana,female,1960-10-30,11,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q109950551,Ministra da Administração Estatal e Função Pública,Q97061538-DC4A7573-ADDF-484E-A28B-52F32CB5D682
Q97493215,Armindo Daniel Tiago,Armindo Tiago,male,,,https://www.portaldogoverno.gov.mz/por/Governo/Conselho-de-Ministros,2021-12-06,Q98966133,Ministro da Saúde,Q97493215-79E3370E-1ABD-4838-AE11-259C935A826E
