name,position
FILIPE JACINTO NYUSI,Presidente da República
Carlos Agostinho do Rosário,Primeiro-Ministro
Verónica Nataniel Macamo Dlhovo,Ministra dos Negócios Estrangeiros e Cooperação
Adriano Afonso Maleiane,Ministro de Economia e Finanças
Cristóvão Artur Chume,Ministro da Defesa Nacional
Arsénia Felicidade Félix Massingue,Ministra do Interior
Celso Ismael Correia,Ministro da Agricultura e Desenvolvimento Rural
Ana Comoana,Ministra da Administração Estatal e Função Pública
Margarida Adamugy Talapa,"Ministra do Trabalho, Emprego e Segurança Social"
Constantino Alberto Bacela,Ministro na Presidência para os Assuntos da Casa Civil
Augusta de Fátima Charifo Maita,"Ministra do Mar, Águas Interiores e Pescas"
Ernesto Max Elias Tonela,Ministro dos Recursos Minerais e Energia
Helena Mateus Kida,"Ministra da Justiça, Assuntos Constitucionais e Religiosos"
Armindo Daniel Tiago,Ministro da Saúde
Nyeleti Brooke Mondlane,"Ministra do Género, Criança e Acção Social"
Carmelita Rita Namashulua,Ministra da Educação e Desenvolvimento Humano
Carlos Alberto Fortes Mesquita,Ministro da Indústria e Comércio
Janfar Abdulai,Ministro dos Transportes e Comunicações
Ivete Maibase,Ministra da Terra e Ambiente
Daniel Daniel Nivagara,"Ministro da Ciência, Tecnologia e Ensino Superior"
João Osvaldo Machatine,"Ministro das Obras Públicas, Habitação e Recursos Hídricos"
Eldevina Materula,Ministra da Cultura e Turismo
Carlos Jorge Siliya,Ministro dos Combatentes
