province,provinceLabel
Q466538,Cabo Delgado
Q466526,Gaza
Q466547,Inhambane
Q622792,Manica
Q379658,Maputo Província
Q3889,Maputo Cidade
Q622794,Nampula
Q622799,Niassa
Q622801,Sofala
Q605787,Tete
Q622803,Zambézia
