item,name,party,partyLabel,area,areaLabel
,Aires Bonifácio Baptista Ali,Q504564,FRELIMO,Q622799,Niassa
,Carlos Sebastião,Q504564,FRELIMO,Q622799,Niassa
,Ana Maria de Lourdes Massengele,Q504564,FRELIMO,Q622799,Niassa
,Flora Bela das Neves Caetano Meque,Q504564,FRELIMO,Q622799,Niassa
,Fátima Rais Aly Mpemba,Q504564,FRELIMO,Q622799,Niassa
,Rafael Lourenço Chande,Q504564,FRELIMO,Q622799,Niassa
,Idalina Felix Nitasse,Q504564,FRELIMO,Q622799,Niassa
,Almina Manuel Monteiro Mauride,Q504564,FRELIMO,Q622799,Niassa
,Paulo Rosário Phatama,Q504564,FRELIMO,Q622799,Niassa
,Saíde Fidel,Q1425821,RENAMO,Q622799,Niassa
,Uale Amado,Q1425821,RENAMO,Q622799,Niassa
,Vasco Manuel,Q1425821,RENAMO,Q622799,Niassa
,João Samuel Watchy,Q1425821,RENAMO,Q622799,Niassa
,Eduardo Joaquim Mulémbwè,Q504564,FRELIMO,Q466538,Cabo Delgado
,Kintheyaro Júlia Mariana Aguacheiro,Q504564,FRELIMO,Q466538,Cabo Delgado
,Ramulata Mahamudo Iraché,Q504564,FRELIMO,Q466538,Cabo Delgado
,Noel Brácio Nandena,Q504564,FRELIMO,Q466538,Cabo Delgado
,Afonso Lopes Nipero,Q504564,FRELIMO,Q466538,Cabo Delgado
,Muanaiamo Pinto Massua,Q504564,FRELIMO,Q466538,Cabo Delgado
,Alberto Jacinto Nankuta Matukutuku,Q504564,FRELIMO,Q466538,Cabo Delgado
,Balbina Deolinda Raibo Mateus,Q504564,FRELIMO,Q466538,Cabo Delgado
,Maria Bachir,Q504564,FRELIMO,Q466538,Cabo Delgado
,Atanásio Quirino Machude,Q504564,FRELIMO,Q466538,Cabo Delgado
,Laura Maria de Jesus Amadeu,Q504564,FRELIMO,Q466538,Cabo Delgado
,Muanarera Abdala,Q504564,FRELIMO,Q466538,Cabo Delgado
,Alberto Jumulate,Q504564,FRELIMO,Q466538,Cabo Delgado
,Maria Isabel Luís da Silva,Q504564,FRELIMO,Q466538,Cabo Delgado
,Julieta António,Q504564,FRELIMO,Q466538,Cabo Delgado
,Sefo Sente,Q504564,FRELIMO,Q466538,Cabo Delgado
,Afonso Januário Bombeni,Q504564,FRELIMO,Q466538,Cabo Delgado
,Nunes Age Antage,Q504564,FRELIMO,Q466538,Cabo Delgado
,Mustagibo Atimo Bachir,Q1425821,RENAMO,Q466538,Cabo Delgado
,Manuel Alex Muacuane,Q1425821,RENAMO,Q466538,Cabo Delgado
,Alberto José Bacar,Q1425821,RENAMO,Q466538,Cabo Delgado
,Albertina Ilda Lino,Q1425821,RENAMO,Q466538,Cabo Delgado
,Álvaro António Faquirá Caul,Q1425821,RENAMO,Q466538,Cabo Delgado
,Margarida Adamugi Talapa,Q504564,FRELIMO,Q622794,Nampula
,António do Rosário Bernardino Boene,Q504564,FRELIMO,Q622794,Nampula
,Marquita Alexandre Loforte Jaime,Q504564,FRELIMO,Q622794,Nampula
,Faizal Américo António,Q504564,FRELIMO,Q622794,Nampula
,Luciano André de Castro,Q504564,FRELIMO,Q622794,Nampula
,Abdula Tarmamade Abdula,Q504564,FRELIMO,Q622794,Nampula
,Lucinda Bela das Dores Impitule Malema,Q504564,FRELIMO,Q622794,Nampula
,Germano José Joaquim,Q504564,FRELIMO,Q622794,Nampula
,Rosário Mualeia,Q504564,FRELIMO,Q622794,Nampula
,Nerina Jone Bustani,Q504564,FRELIMO,Q622794,Nampula
,Lucília José Manuel Nota Hama,Q504564,FRELIMO,Q622794,Nampula
,Milissão Castomo,Q504564,FRELIMO,Q622794,Nampula
,Eduardo Silva Nihia,Q504564,FRELIMO,Q622794,Nampula
,Natércia Mutide Pilima,Q504564,FRELIMO,Q622794,Nampula
,Virgínia Oreste Kwavateka Gondola,Q504564,FRELIMO,Q622794,Nampula
,Saripa Trinta Namuira,Q504564,FRELIMO,Q622794,Nampula
,Francisco Ussene Mucanheia,Q504564,FRELIMO,Q622794,Nampula
,Dores Armando Izidro,Q504564,FRELIMO,Q622794,Nampula
,Elisa Amina Amisse Timóteo,Q504564,FRELIMO,Q622794,Nampula
,Dionísio Cherewa,Q504564,FRELIMO,Q622794,Nampula
,Carlos Moreira Vasco,Q504564,FRELIMO,Q622794,Nampula
,Gilberto Francisco,Q504564,FRELIMO,Q622794,Nampula
,Martinha Januário Benfica,Q504564,FRELIMO,Q622794,Nampula
,Atanásio Gomes Kulyaukila,Q504564,FRELIMO,Q622794,Nampula
,Agostinho Sairosse Maeni,Q504564,FRELIMO,Q622794,Nampula
,Domingos Gabriel Tavira,Q504564,FRELIMO,Q622794,Nampula
,Agostinho Navanssuane Chelua,Q504564,FRELIMO,Q622794,Nampula
,Fátima Machona Dias,Q504564,FRELIMO,Q622794,Nampula
,Fernando Bismarque Ali,Q668181,MDM,Q622794,Nampula
,Lúcia Xavier Afate,Q1425821,RENAMO,Q622794,Nampula
,Abiba Aba,Q1425821,RENAMO,Q622794,Nampula
,Fernando Jossias Matouassanga,Q1425821,RENAMO,Q622794,Nampula
,Fernando Mendes João Lavieque,Q1425821,RENAMO,Q622794,Nampula
,Carlos Manuel,Q1425821,RENAMO,Q622794,Nampula
,Carvalho Pensado António,Q1425821,RENAMO,Q622794,Nampula
,Glória Salvador,Q1425821,RENAMO,Q622794,Nampula
,Zacarias José,Q1425821,RENAMO,Q622794,Nampula
,Eulália Lourenço Oliveira,Q1425821,RENAMO,Q622794,Nampula
,Muhamedrashid Sulemane,Q1425821,RENAMO,Q622794,Nampula
,Agostinho Pinto Mussuluaia Muapilote,Q1425821,RENAMO,Q622794,Nampula
,Felizarda Clara de Castro,Q1425821,RENAMO,Q622794,Nampula
,Mussabay Issufo Gani,Q1425821,RENAMO,Q622794,Nampula
,Maria Anastácia da Costa Xavier,Q1425821,RENAMO,Q622794,Nampula
,Mateus Elias Damião Faimane da Silva,Q1425821,RENAMO,Q622794,Nampula
,Arnaldo Francisco Chalaua,Q1425821,RENAMO,Q622794,Nampula
,Jaime Basílio Monteiro,Q504564,FRELIMO,Q622803,Zambézia
,Raimundo Maico Diomba,Q504564,FRELIMO,Q622803,Zambézia
,Hélder Ernesto Injojo,Q504564,FRELIMO,Q622803,Zambézia
,Edmundo Bonifácio Gruveta Massamba,Q504564,FRELIMO,Q622803,Zambézia
,Alsácia João Chochoma Sartinha,Q504564,FRELIMO,Q622803,Zambézia
,Paulino Santos Lenço,Q504564,FRELIMO,Q622803,Zambézia
,Damião José,Q504564,FRELIMO,Q622803,Zambézia
,Alice Ana Francisco Xavier Kufa,Q504564,FRELIMO,Q622803,Zambézia
,Deolinda Catarina João Chochoma,Q504564,FRELIMO,Q622803,Zambézia
,Safi Mahomed Reman Gulamo,Q504564,FRELIMO,Q622803,Zambézia
,Caifadine Paulo Manasse,Q504564,FRELIMO,Q622803,Zambézia
,Lúcia José Madeira,Q504564,FRELIMO,Q622803,Zambézia
,Assia Paulo Cipriano Abudo Ali,Q504564,FRELIMO,Q622803,Zambézia
,Josefa Jacinto Musica,Q504564,FRELIMO,Q622803,Zambézia
,Jacinto Gabriel Lourenço Inácio Capito,Q504564,FRELIMO,Q622803,Zambézia
,Sebastião Inácio Saíde,Q504564,FRELIMO,Q622803,Zambézia
,Arlinda Cipriano de Sousa,Q504564,FRELIMO,Q622803,Zambézia
