item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q111843358,Cernilde Amélia Muchanga de Mendonça,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,,Q111843358-812D5A2D-5E88-4720-9509-436E40470058
Q111841492,Chrispen Matches,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,male,Q111841492-23F23709-D224-456C-AA30-1F8768328E39
Q111843359,Clarice da Esperança Milato,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843359-8D9CC311-1A28-4CEF-A7D1-196AC3820EC6
Q111843360,Clementina Francisco Bomba,Q1425821,RENAMO,Q379658,Maputo Province,2020-01-13,,,Q111843360-A7F568F2-D7BF-45C7-B4B6-216467A0C6F2
Q111828621,Conceita Ernesto Xavier Sortane,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,female,Q111828621-9069C0CD-F357-4576-94C2-529CEDB34368
Q111841493,Costa Francisco Chale,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,male,Q111841493-7213C672-CF1D-4521-9EE2-4821D4672D09
Q111843361,Cristina Chelene Manhice Sevene,Q504564,FRELIMO,Q379658,Maputo Province,2020-01-13,,,Q111843361-EB3CA049-F214-4E7C-9D17-0F660707DE98
Q111843362,Daly Assumane Kumanda,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,,Q111843362-D75DF3F3-FD2F-44DD-A4B7-5501376FB922
Q111841494,Damião José,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,male,Q111841494-AACDF67E-732A-4C12-9D00-13A178E662FD
Q111841495,Daniel João Matavele,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,male,Q111841495-70531695-9689-42F9-9BAF-E56EBD1C3A8C
Q111841498,Deolinda Catarina João Chochoma,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,female,Q111841498-68367D24-F7E9-4A84-98E9-D9B8922E417F
Q111843363,Dias Julião Letela,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,,Q111843363-9E24E8DC-BF7A-43FB-B471-EFB0C0BEAAD9
Q111843364,Dionísio Cherewa,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843364-7E85F0D7-4805-4395-AD76-AE6DAEBFBBFF
Q111843365,Domingas Gonçalves José Ferrão,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,,Q111843365-002D6847-4C44-4F09-AE4E-97D0EDB53DE3
Q111841501,Domingos Gabriel Tavira,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,male,Q111841501-93DFE521-45A1-4D41-85F1-0611BE533EF1
Q111843366,Dominic Phiri,Q504564,FRELIMO,Q3889,Maputo,2020-01-13,,,Q111843366-511E04BC-40BC-4FD8-B645-2B896E684970
Q111843367,Dores Armando Izidro,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843367-75BEC9AE-DE68-459A-A374-3D87AF75470D
Q111843368,Edmundo Bonifácio Gruveta Massamba,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843368-53154C95-F066-4A65-9DA4-CEA79C84EE03
Q111843369,Edson Judite Calisto Nhangumele,Q504564,FRELIMO,Q379658,Maputo Province,2020-01-13,,,Q111843369-B1874325-147E-47C8-ABFE-6B49235A0184
Q111841504,Edson da Graça Francisco Macuácua,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,male,Q111841504-405B4D94-F927-42BE-8A01-9E440E930522
Q5340644,Eduardo Joaquim Mulémbwè,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2020-01-13,,male,Q5340644-4929226D-D338-4FC2-8636-C5FB1D43A5A0
Q111841506,Eduardo Silva Nihia,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,male,Q111841506-BEA1EA14-6738-4955-BB95-49E8A04C4923
Q111843370,Elcina Eugénio Marindze,Q504564,FRELIMO,Q379658,Maputo Province,2020-01-13,,,Q111843370-1E65C175-2A2C-48CD-9FC4-46F96BCB0DF3
Q111843371,Elias Gilberto Impuiri,Q668181,Democratic Movement of Mozambique,Q622803,Zambezia Province,2020-01-13,,,Q111843371-0B71115A-CD08-44A7-A21D-A77EAF550565
Q111843372,Elias Macacho Marceta Dhlakama,Q1425821,RENAMO,Q622801,Sofala,2020-01-13,,,Q111843372-37E26DBD-F245-4EFE-8CF0-F92C526C61B6
Q111841507,Elisa Amina Amisse Timóteo,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,female,Q111841507-130C417A-E876-4B0D-A648-85732264ABF8
Q111843373,Elvira Pinto Duarte Timana,Q504564,FRELIMO,Q605787,Tete Province,2020-01-13,,,Q111843373-7A46EEA1-193E-4B0D-9C7F-BAE0E8D24D2D
Q5398931,Esperança Laurinda Francisco Nhiuane Bias,Q504564,FRELIMO,Q3889,Maputo,2015,,female,Q5398931-a36f5912-4113-97f1-1f37-83920128035d
Q111841513,Ester Epifánio Plaze,Q504564,FRELIMO,Q622792,Manica Province,2020-01-13,,female,Q111841513-8C4AF2DF-0235-4F6A-B230-5EE003462759
Q111841514,Eulália Lourenço Oliveira,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,female,Q111841514-A6906871-CE66-42BD-9AA9-A3A12F9735BF
Q111843374,Eusébio Nanguia Nipite Mulange,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843374-8FBD85A9-0698-45C6-8153-E34869DDFEE6
