constituency,mandates,party,number,name
Nampula,45 mandatos,RENAMO,6,Carvalho Pensado António
Nampula,45 mandatos,RENAMO,7,Glória Salvador
Nampula,45 mandatos,RENAMO,8,Zacarias José
Nampula,45 mandatos,RENAMO,9,Eulália Lourenço Oliveira
Nampula,45 mandatos,RENAMO,10,Muhamedrashid Sulemane
Nampula,45 mandatos,RENAMO,11,Agostinho Pinto Mussuluaia Muapilote
Nampula,45 mandatos,RENAMO,12,Felizarda Clara de Castro
Nampula,45 mandatos,RENAMO,13,Mussabay Issufo Gani
Nampula,45 mandatos,RENAMO,14,Maria Anastácia da Costa Xavier
Nampula,45 mandatos,RENAMO,15,Mateus Elias Damião Faimane da Silva
Nampula,45 mandatos,RENAMO,16,Arnaldo Francisco Chalaua
Zambézia,41 mandatos,FRELIMO,1,Jaime Basílio Monteiro
Zambézia,41 mandatos,FRELIMO,2,Raimundo Maico Diomba
Zambézia,41 mandatos,FRELIMO,3,Hélder Ernesto Injojo
Zambézia,41 mandatos,FRELIMO,4,Edmundo Bonifácio Gruveta Massamba
Zambézia,41 mandatos,FRELIMO,5,Alsácia João Chochoma Sartinha
Zambézia,41 mandatos,FRELIMO,6,Paulino Santos Lenço
Zambézia,41 mandatos,FRELIMO,7,Damião José
Zambézia,41 mandatos,FRELIMO,8,Alice Ana Francisco Xavier Kufa
Zambézia,41 mandatos,FRELIMO,9,Deolinda Catarina João Chochoma
Zambézia,41 mandatos,FRELIMO,10,Safi Mahomed Reman Gulamo
Zambézia,41 mandatos,FRELIMO,11,Caifadine Paulo Manasse
Zambézia,41 mandatos,FRELIMO,12,Lúcia José Madeira
Zambézia,41 mandatos,FRELIMO,13,Assia Paulo Cipriano Abudo Ali
Zambézia,41 mandatos,FRELIMO,14,Josefa Jacinto Musica
Zambézia,41 mandatos,FRELIMO,15,Jacinto Gabriel Lourenço Inácio Capito
Zambézia,41 mandatos,FRELIMO,16,Sebastião Inácio Saíde
Zambézia,41 mandatos,FRELIMO,17,Arlinda Cipriano de Sousa
Zambézia,41 mandatos,FRELIMO,18,Zainane Memane Ossumane
Zambézia,41 mandatos,FRELIMO,19,João Catemba Chacuamba
Zambézia,41 mandatos,FRELIMO,20,Momade Arnaldo Juízo
Zambézia,41 mandatos,FRELIMO,21,Aida Maria Soares Gouveia
Zambézia,41 mandatos,FRELIMO,22,Zuria Tuaibo Assumane
Zambézia,41 mandatos,FRELIMO,23,Carimo Fretas de Oliveira
Zambézia,41 mandatos,FRELIMO,24,Sabir José Vasco Maquege
Zambézia,41 mandatos,FRELIMO,25,Clarice da Esperança Milato
Zambézia,41 mandatos,FRELIMO,26,Eusébio Nanguia Nipite Mulange
Zambézia,41 mandatos,FRELIMO,27,Inácia Henriques Carneiro Ngonde
Zambézia,41 mandatos,FRELIMO,28,Sábado Alamo Chombe
Zambézia,41 mandatos,MDM,1,Elias Gilberto Impuiri
Zambézia,41 mandatos,RENAMO,1,Abdala Ossifo Ibraimo
Zambézia,41 mandatos,RENAMO,2,Viana da Silva Albino Magalhães
Zambézia,41 mandatos,RENAMO,3,Jerónimo Malagueta Nalia
Zambézia,41 mandatos,RENAMO,4,Maria Ivone Rensamo Bernardo Soares
Zambézia,41 mandatos,RENAMO,5,Leopoldo Alfredo Ernesto
Zambézia,41 mandatos,RENAMO,6,Inácio João Reis
Zambézia,41 mandatos,RENAMO,7,Arlindo Arrido Maquival
Zambézia,41 mandatos,RENAMO,8,José Manteigas Gabriel
Zambézia,41 mandatos,RENAMO,9,Victor Viandro Mudivila
Zambézia,41 mandatos,RENAMO,10,Isequiel Molde Gusse
Zambézia,41 mandatos,RENAMO,11,Maria Inês Martins
Zambézia,41 mandatos,RENAMO,12,Maria Joaquina Júlio Inácio
Tete,21 mandatos,FRELIMO,1,Tomaz Augusto Salomão
Tete,21 mandatos,FRELIMO,2,Mércia Licas Castela Viriato
Tete,21 mandatos,FRELIMO,3,Matias José Matias Nhongo
Tete,21 mandatos,FRELIMO,4,Luísa André Avelino Cuchamano
Tete,21 mandatos,FRELIMO,5,Ana Antónia Henrique Dimitri
Tete,21 mandatos,FRELIMO,6,Ângela Catarina Vidigal Fole Marizane
Tete,21 mandatos,FRELIMO,7,Manuel Vasconcelos Estrela Manuel Maria
Tete,21 mandatos,FRELIMO,8,Nharongue Mário Muringa
Tete,21 mandatos,FRELIMO,9,Maria Marta Mateus Fernando
Tete,21 mandatos,FRELIMO,10,Maria Inês Ntseka
Tete,21 mandatos,FRELIMO,11,Vitória Dias Diogo
Tete,21 mandatos,FRELIMO,12,Elvira Pinto Duarte Timana
Tete,21 mandatos,FRELIMO,13,Joana Anacleto Vasco
Tete,21 mandatos,FRELIMO,14,Adelino Andissene Silveira
Tete,21 mandatos,FRELIMO,15,Chrispen Matches
Tete,21 mandatos,FRELIMO,16,Joana Júlia Seifana Mucamba Ravia
Tete,21 mandatos,FRELIMO,17,Aureliana Otília Filipe Jamisse
Tete,21 mandatos,RENAMO,1,Catarina Olinda Salomão
Tete,21 mandatos,RENAMO,2,Evaristo Tatamo Sixpence
Tete,21 mandatos,RENAMO,3,Francisco Maingue
Tete,21 mandatos,RENAMO,4,Manuel Pereira Zuze Caliquete
Manica,17 mandatos,FRELIMO,1,Carlos Agostinho do Rosário
Manica,17 mandatos,FRELIMO,2,Amílcar José Hussein
Manica,17 mandatos,FRELIMO,3,Ana Armando Chapo
Manica,17 mandatos,FRELIMO,4,Francisca Domingos Tomás
Manica,17 mandatos,FRELIMO,5,António Joaquim Mainato
Manica,17 mandatos,FRELIMO,6,Costa Francisco Chale
Manica,17 mandatos,FRELIMO,7,Maria Alice Saize
Manica,17 mandatos,FRELIMO,8,Ester Epifánio Plaze
Manica,17 mandatos,FRELIMO,9,Carminda da Graça Barata
Manica,17 mandatos,FRELIMO,10,António José Amélia
Manica,17 mandatos,FRELIMO,11,Vasco David Gaspar
Manica,17 mandatos,FRELIMO,12,Abdul Zacarias
Manica,17 mandatos,FRELIMO,13,Alexandre Tiago
Manica,17 mandatos,RENAMO,1,Maria Angelina Dique Enoque
Manica,17 mandatos,RENAMO,2,António Eusébio Mulima
Manica,17 mandatos,RENAMO,3,Alfredo Tomás Magumisse
Manica,17 mandatos,RENAMO,4,Alberto João Ferreira
Sofala,20 mandatos,FRELIMO,1,Sérgio José Camunga Pantie
Sofala,20 mandatos,FRELIMO,2,Zezinho Ricardo José
Sofala,20 mandatos,FRELIMO,3,Manuel Rodrigo Ramessane
Sofala,20 mandatos,FRELIMO,4,Cernilde Amélia Muchanga de Mendonça
Sofala,20 mandatos,FRELIMO,5,Daly Assumane Kumanda
Sofala,20 mandatos,FRELIMO,6,Agostinho Gomes Chipindula
Sofala,20 mandatos,FRELIMO,7,Palma Pinto da Conceição José Maria
Sofala,20 mandatos,FRELIMO,8,Isaura António Júlio
Sofala,20 mandatos,FRELIMO,9,Zaia Miquitaio Cafumbe Valeta
Sofala,20 mandatos,FRELIMO,10,Lina Francisco Fafetine Ofiço
Sofala,20 mandatos,FRELIMO,11,Hortência Gaurassue Zacarias Magibire de
Sofala,20 mandatos,FRELIMO,12,Domingas Gonçalves José Ferrão
Sofala,20 mandatos,FRELIMO,13,Mário da Cruz de Amaral
Sofala,20 mandatos,FRELIMO,14,Ana Maria Simante
Sofala,20 mandatos,MDM,1,José Domingos Manuel
Sofala,20 mandatos,MDM,2,Albano Bulaunde José
Sofala,20 mandatos,RENAMO,1,André Joaquim Magibire
Sofala,20 mandatos,RENAMO,2,Ricardo Joaquim Nguiriche Gerente
Sofala,20 mandatos,RENAMO,3,Elias Macacho Marceta Dhlakama
Sofala,20 mandatos,RENAMO,4,Maria Celeste Mucote Mavungue Cachite
Inhambane,13 mandatos,FRELIMO,1,Ana Rita Geremias Sithole
Inhambane,13 mandatos,FRELIMO,2,Gildo Fortunato Elias Muaga
Inhambane,13 mandatos,FRELIMO,3,Dias Julião Letela
Inhambane,13 mandatos,FRELIMO,4,Jerónima Agostinho
Inhambane,13 mandatos,FRELIMO,5,Carlos Sebastião Chissingue
Inhambane,13 mandatos,FRELIMO,6,Filipe Jaime
Inhambane,13 mandatos,FRELIMO,7,Joaquina Oreste Siliya
Inhambane,13 mandatos,FRELIMO,8,Jovial Setina Mutombene Marengue da Cruz
Inhambane,13 mandatos,FRELIMO,9,Margarida José Naiete
Inhambane,13 mandatos,FRELIMO,10,Gonçalves Maceda
Inhambane,13 mandatos,FRELIMO,11,Hermenegildo Bernardo Devesse
Inhambane,13 mandatos,RENAMO,1,Gania Aly Abdula Mussagy
Inhambane,13 mandatos,RENAMO,2,Carlos Samussone Maiela
Gaza,22 mandatos,FRELIMO,1,Conceita Ernesto Xavier Sortane
Gaza,22 mandatos,FRELIMO,2,Nyeleti Brooke Mondlane
Gaza,22 mandatos,FRELIMO,3,Daniel João Matavele
Gaza,22 mandatos,FRELIMO,4,Hermenegildo Domingos Chiúre
Gaza,22 mandatos,FRELIMO,5,Margarida Sebastião Mapandzene Chongo
Gaza,22 mandatos,FRELIMO,6,Pedro António Bila
Gaza,22 mandatos,FRELIMO,7,Edson da Graça Francisco Macuácua
Gaza,22 mandatos,FRELIMO,8,Rogério Ernesto Mboa
Gaza,22 mandatos,FRELIMO,9,Ricardina Suia Albano Mazive
Gaza,22 mandatos,FRELIMO,10,Matias Filipe Macamo
Gaza,22 mandatos,FRELIMO,11,Alves Jordão Zita…
Gaza,22 mandatos,FRELIMO,12,Rita Bento Muianga
Gaza,22 mandatos,FRELIMO,13,Lúcia Pedro Mafuiane
Gaza,22 mandatos,FRELIMO,14,Alberto Francisco Valoi
Gaza,22 mandatos,FRELIMO,15,Agostinho Zacarias Vuma
Gaza,22 mandatos,FRELIMO,16,Bonito Novunga
Gaza,22 mandatos,FRELIMO,17,Laura Fernanda Souto …
Gaza,22 mandatos,FRELIMO,18,Brígida Anita Jorge Mathavele
Gaza,22 mandatos,FRELIMO,19,Henriqueta Fabião Cuna
Gaza,22 mandatos,FRELIMO,20,Mirna Isabel Chibuco
Gaza,22 mandatos,FRELIMO,21,Alberto Lives Andela Niquice
Gaza,22 mandatos,FRELIMO,22,Glória Ernesto Matuassa
Maputo Província,20 mandatos,FRELIMO,1,Verónica Nataniel Macamo Dlovo
Maputo Província,20 mandatos,FRELIMO,2,Carmelita Rita Namashulua
Maputo Província,20 mandatos,FRELIMO,3,Elcina Eugénio Marindze
Maputo Província,20 mandatos,FRELIMO,4,Cristina Chelene Manhice Sevene
Maputo Província,20 mandatos,FRELIMO,5,Abdul Gafur Mamade Hossene Issufo
Maputo Província,20 mandatos,FRELIMO,6,Isaltina Maria Campioni Biwi
Maputo Província,20 mandatos,FRELIMO,7,Telmina Manuel Paixão Pinho Pereira
Maputo Província,20 mandatos,FRELIMO,8,Zacarias João Chivavi
Maputo Província,20 mandatos,FRELIMO,9,Faruk Osman
Maputo Província,20 mandatos,FRELIMO,10,Osório João Soto
Maputo Província,20 mandatos,FRELIMO,11,Valentina Justa Puchar Mtumuke
Maputo Província,20 mandatos,FRELIMO,12,Olívia Fernando Matavele
Maputo Província,20 mandatos,FRELIMO,13,José Bento Coffe Mutsanhe
Maputo Província,20 mandatos,FRELIMO,14,Edson Judite Calisto Nhangumele
Maputo Província,20 mandatos,MDM,1,Silvério Pedro Eugénio Samuel
Maputo Província,20 mandatos,RENAMO,1,Clementina Francisco Bomba
Maputo Província,20 mandatos,RENAMO,2,Samuel Eugénio Mandlate
Maputo Província,20 mandatos,RENAMO,3,António Pedro Muchanga
Maputo Província,20 mandatos,RENAMO,4,Mateus Muchacuare Tomo
Maputo Província,20 mandatos,RENAMO,5,José Manuel Samo Gudo
Maputo Cidade,13 mandatos,FRELIMO,1,Esperança Laurinda Francisco Nhiuane Bias
Maputo Cidade,13 mandatos,FRELIMO,2,Margarida Manuel Salimo
Maputo Cidade,13 mandatos,FRELIMO,3,Flora Enosse José
Maputo Cidade,13 mandatos,FRELIMO,4,António Rosário Niquice
Maputo Cidade,13 mandatos,FRELIMO,5,Catarinha Mário Dimande
Maputo Cidade,13 mandatos,FRELIMO,6,Helena Jacinto Música
Maputo Cidade,13 mandatos,FRELIMO,7,Dominic Phiri
Maputo Cidade,13 mandatos,FRELIMO,8,Gabriel Xavier da Barca Júnior
Maputo Cidade,13 mandatos,MDM,1,Lutero Chimbirombiro Simango
Maputo Cidade,13 mandatos,RENAMO,1,Venâncio António Bila Mondlane
Maputo Cidade,13 mandatos,RENAMO,2,Arlindo Daniel Bila
Maputo Cidade,13 mandatos,RENAMO,3,Hermínio Morais
Maputo Cidade,13 mandatos,RENAMO,4,António Augusto Eduardo Namburete
África,1 mandato,FRELIMO,1,Jonas Fenias Sitoe
Resto do Mundo,1 mandato,FRELIMO,1,Ivone Sansão Bila
