constituency,mandates,party,number,name
Niassa,13 mandatos,FRELIMO,1,Aires Bonifácio Baptista Ali
Niassa,13 mandatos,FRELIMO,2,Carlos Sebastião
Niassa,13 mandatos,FRELIMO,3,Ana Maria de Lourdes Massengele
Niassa,13 mandatos,FRELIMO,4,Flora Bela das Neves Caetano Meque
Niassa,13 mandatos,FRELIMO,5,Fátima Rais Aly Mpemba
Niassa,13 mandatos,FRELIMO,6,Rafael Lourenço Chande
Niassa,13 mandatos,FRELIMO,7,Idalina Felix Nitasse
Niassa,13 mandatos,FRELIMO,8,Almina Manuel Monteiro Mauride
Niassa,13 mandatos,FRELIMO,9,Paulo Rosário Phatama
Niassa,13 mandatos,RENAMO,1,Saíde Fidel
Niassa,13 mandatos,RENAMO,2,Uale Amado
Niassa,13 mandatos,RENAMO,3,Vasco Manuel
Niassa,13 mandatos,RENAMO,4,João Samuel Watchy
Cabo Delgado,23 mandatos,FRELIMO,1,Eduardo Joaquim Mulémbwè
Cabo Delgado,23 mandatos,FRELIMO,2,Kintheyaro Júlia Mariana Aguacheiro
Cabo Delgado,23 mandatos,FRELIMO,3,Ramulata Mahamudo Iraché
Cabo Delgado,23 mandatos,FRELIMO,4,Noel Brácio Nandena
Cabo Delgado,23 mandatos,FRELIMO,5,Afonso Lopes Nipero
Cabo Delgado,23 mandatos,FRELIMO,6,Muanaiamo Pinto Massua
Cabo Delgado,23 mandatos,FRELIMO,7,Alberto Jacinto Nankuta Matukutuku
Cabo Delgado,23 mandatos,FRELIMO,8,Balbina Deolinda Raibo Mateus
Cabo Delgado,23 mandatos,FRELIMO,9,Maria Bachir
Cabo Delgado,23 mandatos,FRELIMO,10,Atanásio Quirino Machude
Cabo Delgado,23 mandatos,FRELIMO,11,Laura Maria de Jesus Amadeu
Cabo Delgado,23 mandatos,FRELIMO,12,Muanarera Abdala
Cabo Delgado,23 mandatos,FRELIMO,13,Alberto Jumulate
Cabo Delgado,23 mandatos,FRELIMO,14,Maria Isabel Luís da Silva
Cabo Delgado,23 mandatos,FRELIMO,15,Julieta António
Cabo Delgado,23 mandatos,FRELIMO,16,Sefo Sente
Cabo Delgado,23 mandatos,FRELIMO,17,Afonso Januário Bombeni
Cabo Delgado,23 mandatos,FRELIMO,18,Nunes Age Antage
Cabo Delgado,23 mandatos,RENAMO,1,Mustagibo Atimo Bachir
Cabo Delgado,23 mandatos,RENAMO,2,Manuel Alex Muacuane
Cabo Delgado,23 mandatos,RENAMO,3,Alberto José Bacar
Cabo Delgado,23 mandatos,RENAMO,4,Albertina Ilda Lino
Cabo Delgado,23 mandatos,RENAMO,5,Álvaro António Faquirá Caul
Nampula,45 mandatos,FRELIMO,1,Margarida Adamugi Talapa
Nampula,45 mandatos,FRELIMO,2,António do Rosário Bernardino Boene
Nampula,45 mandatos,FRELIMO,3,Marquita Alexandre Loforte Jaime
Nampula,45 mandatos,FRELIMO,4,Faizal Américo António
Nampula,45 mandatos,FRELIMO,5,Luciano André de Castro
Nampula,45 mandatos,FRELIMO,6,Abdula Tarmamade Abdula
Nampula,45 mandatos,FRELIMO,7,Lucinda Bela das Dores Impitule Malema
Nampula,45 mandatos,FRELIMO,8,Germano José Joaquim
Nampula,45 mandatos,FRELIMO,9,Rosário Mualeia
Nampula,45 mandatos,FRELIMO,10,Nerina Jone Bustani
Nampula,45 mandatos,FRELIMO,11,Lucília José Manuel Nota Hama
Nampula,45 mandatos,FRELIMO,12,Milissão Castomo
Nampula,45 mandatos,FRELIMO,13,Eduardo Silva Nihia
Nampula,45 mandatos,FRELIMO,14,Natércia Mutide Pilima
Nampula,45 mandatos,FRELIMO,15,Virgínia Oreste Kwavateka Gondola
Nampula,45 mandatos,FRELIMO,16,Saripa Trinta Namuira
Nampula,45 mandatos,FRELIMO,17,Francisco Ussene Mucanheia
Nampula,45 mandatos,FRELIMO,18,Dores Armando Izidro
Nampula,45 mandatos,FRELIMO,19,Elisa Amina Amisse Timóteo
Nampula,45 mandatos,FRELIMO,20,Dionísio Cherewa
Nampula,45 mandatos,FRELIMO,21,Carlos Moreira Vasco
Nampula,45 mandatos,FRELIMO,22,Gilberto Francisco
Nampula,45 mandatos,FRELIMO,23,Martinha Januário Benfica
Nampula,45 mandatos,FRELIMO,24,Atanásio Gomes Kulyaukila
Nampula,45 mandatos,FRELIMO,25,Agostinho Sairosse Maeni
Nampula,45 mandatos,FRELIMO,26,Domingos Gabriel Tavira
Nampula,45 mandatos,FRELIMO,27,Agostinho Navanssuane Chelua
Nampula,45 mandatos,FRELIMO,28,Fátima Machona Dias
Nampula,45 mandatos,MDM,1,Fernando Bismarque Ali
Nampula,45 mandatos,RENAMO,1,Lúcia Xavier Afate
Nampula,45 mandatos,RENAMO,2,Abiba Aba
Nampula,45 mandatos,RENAMO,3,Fernando Jossias Matouassanga
Nampula,45 mandatos,RENAMO,4,Fernando Mendes João Lavieque
Nampula,45 mandatos,RENAMO,5,Carlos Manuel
