item,name,party,partyLabel
,Verónica Nataniel Macamo Dlovo,Q504564,FRELIMO
,Lucas Chomera Jeremias,Q504564,FRELIMO
,Margarida Adamugi Talapa,Q504564,FRELIMO
,Tobias Joaquim Dai,Q504564,FRELIMO
,Alcido Eduardo Nguenha,Q504564,FRELIMO
,Damião José,Q504564,FRELIMO
,Alberto Joaquim Chipande,Q504564,FRELIMO
,Haia Ossufo Paquile,Q504564,FRELIMO
,Eduardo Joaquim Mulémbwè,Q504564,FRELIMO
,Eneas da Conceição Comiche,Q504564,FRELIMO
,Francisco Nangura Muceliua,Q504564,FRELIMO
,Conceita Ernesto Xavier Sortane,Q504564,FRELIMO
,Raimundo Domingos Pachinuapa,Q504564,FRELIMO
,Paulina Mateus Nkunda,Q504564,FRELIMO
,Teodoro Andrade Waty,Q504564,FRELIMO
,Edson da Graça Francisco Macuacua,Q504564,FRELIMO
,Zeca Castro Morgado,Q504564,FRELIMO
,Virgilia Bernarda Neto Alexandre dos Santos Matabele,Q504564,FRELIMO
,Arlinda Cipriano de Sousa,Q504564,FRELIMO
,José Mateus Muária Katupha,Q504564,FRELIMO
,Antonio Mussa Inze,Q504564,FRELIMO
,Augusto Eduardo Chalamanda,Q504564,FRELIMO
,Antonio Jose Amelia,Q504564,FRELIMO
,Xavier Aleixo Chicutirene,Q504564,FRELIMO
,Sebastião Dengo,Q504564,FRELIMO
,Celmira Irene Melo Xavier,Q504564,FRELIMO
,Agostinho Zacarias Vuma,Q504564,FRELIMO
,Joana Muchanga Mondlane,Q504564,FRELIMO
,Abel Ernesto Safrão,Q504564,FRELIMO
,Elisa Nicolau José de Melo,Q504564,FRELIMO
,Filomena Nachaque,Q504564,FRELIMO
,Maria das Dores António,Q504564,FRELIMO
,Fatima Luis Madeira,Q504564,FRELIMO
,Carlos Moreira Vasco,Q504564,FRELIMO
,Julião Caixote Nembe,Q504564,FRELIMO
,Agostinho Cosme Mange,Q504564,FRELIMO
,Catarina Paiva Muacamissa,Q504564,FRELIMO
,Helena da Gloria Muando,Q504564,FRELIMO
,Antonia Simao Paulo Charre,Q504564,FRELIMO
,Regina Macuácua Muchanga,Q504564,FRELIMO
,Angelo Thai,Q504564,FRELIMO
,Zelia da Luz Francisco Muthambe Langa,Q504564,FRELIMO
,Luciano André de Castro,Q504564,FRELIMO
,Maria Marta Mateus Fernando,Q504564,FRELIMO
,Elisa Amina Amisse Temóteo,Q504564,FRELIMO
,Leopoldina Manuel Gimo,Q504564,FRELIMO
,Tsoquisso Mulaicho Munhiwa,Q504564,FRELIMO
,Roberto Maximiano Chitsondzo,Q504564,FRELIMO
,Nyelety Brooke Mondlane,Q504564,FRELIMO
,Isidora da Esperança Faztudo,Q504564,FRELIMO
,Jaime Bessa Augusto Neto,Q504564,FRELIMO
,Manuel Vasconcelos Estrela Manuel Maria,Q504564,FRELIMO
,Edmundo Galiza Dimande Matos,Q504564,FRELIMO
,Francisco Ussene Mucanheia,Q504564,FRELIMO
,Sara Mamudo Abdula Vassanegy,Q504564,FRELIMO
,Sabina Isaias Nhaca Fache,Q504564,FRELIMO
,Alberto Jumulate,Q504564,FRELIMO
,Ana António Henrique Dimitri,Q504564,FRELIMO
,Margarida Sebastião Mapandzene,Q504564,FRELIMO
,Alfredo Maria São Bernardo Cepeda Gamito,Q504564,FRELIMO
,Isaura António Júlio,Q504564,FRELIMO
,Luciano Augusto,Q504564,FRELIMO
,Ana Rita Geremias Sithole,Q504564,FRELIMO
,Carlos Jorge Siliya,Q504564,FRELIMO
,Francisca Domingos Tomás,Q504564,FRELIMO
,Mário Lampião Sevene,Q504564,FRELIMO
,Miguel Anlaue Mussa,Q504564,FRELIMO
,Sábado Tereza Malendza,Q504564,FRELIMO
,Casimiro Pedro Sacadura Huate,Q504564,FRELIMO
,Carolina Halime Chemane,Q504564,FRELIMO
,Daniel Maqueia Cueteia,Q504564,FRELIMO
,Aires Bonifácio Baptista Ali,Q504564,FRELIMO
,Ernesto Cassimuca Lipapa,Q504564,FRELIMO
,Ana Maria Rafael,Q504564,FRELIMO
,Abilio Adelaide António,Q504564,FRELIMO
,Pedro Armando Alberto Virgula,Q504564,FRELIMO
,Rosa Isabel Maiopue,Q504564,FRELIMO
,Anacleta Torres Caliano Meque,Q504564,FRELIMO
,Severina Tiago Banze,Q504564,FRELIMO
,António Rosário Niquice,Q504564,FRELIMO
,Lucinda Bela das Dores Impetule Malema,Q504564,FRELIMO
,Beatriz Mário Chaguala Gama Ajuda,Q504564,FRELIMO
,Joana Anacleto Vasco,Q504564,FRELIMO
,Maria de Lurdes do Carmo Lobo,Q504564,FRELIMO
,Daniel João Matavel,Q504564,FRELIMO
,Castro Qualquer António Ntemansaka,Q504564,FRELIMO
,Angelina Cândido Shea N'chumali,Q504564,FRELIMO
,Tiago Horácio Simba,Q504564,FRELIMO
,Adriano Tesoura Passanduca,Q504564,FRELIMO
,Ermelinda Micaela Lucas Rodolfo,Q504564,FRELIMO
,Maria Bachir,Q504564,FRELIMO
,Arminda Jaime Vombe,Q504564,FRELIMO
,Safi Mahomed Abdul Reman Gulamo,Q504564,FRELIMO
,Danilo Aly Teixeira,Q504564,FRELIMO
,Leonor Amosse Pedro Sambai,Q504564,FRELIMO
,Palmira Eusébio Mbanze,Q504564,FRELIMO
,Maria Olívia Álvaro,Q504564,FRELIMO
,Azevedo Evaristo Mussibora,Q504564,FRELIMO
,Jerónima Agostinho,Q504564,FRELIMO
,Filipe Jaime,Q504564,FRELIMO
,Caifadine Paulo Manasse,Q504564,FRELIMO
,Maria Ema Anchunala Cassimo,Q504564,FRELIMO
,Milagrosa Armando Langa,Q504564,FRELIMO
,Bernardo Júlio Macamo,Q504564,FRELIMO
,Danilo Amarcy Ragu,Q504564,FRELIMO
,Flora Bela das Neves Caetano Meque,Q504564,FRELIMO
,Joana Simao,Q504564,FRELIMO
,Nelson Afonso Alberto Nria,Q504564,FRELIMO
,Fernando Guebo Bilali,Q504564,FRELIMO
,Afonso Januario Bombeni,Q504564,FRELIMO
,Aleke Paulo Jose Katete,Q504564,FRELIMO
,Alafu Abdala Sufu,Q504564,FRELIMO
,Albertina Makata,Q504564,FRELIMO
,Alberto Jacinto Nancuta Matukutuku,Q504564,FRELIMO
,Alexandre Pedro Natividade Capitao,Q504564,FRELIMO
,Alfredo Mashalo Ibraimo,Q504564,FRELIMO
,Amilcar Jose Hussene,Q504564,FRELIMO
,Ana Paula Orta Cordeiro Manhique,Q504564,FRELIMO
,Ana Maria Simante,Q504564,FRELIMO
,Antonio Hama Thay,Q504564,FRELIMO
,Antonio Alexandre Mauelele,Q504564,FRELIMO
,Bartolomeu Afonso Baptista Muibo,Q504564,FRELIMO
,Berta Lucas,Q504564,FRELIMO
,Beatriz Afonso Murenge,Q504564,FRELIMO
,Botelho Mario Benjamim Chuni,Q504564,FRELIMO
,Caibe Hussen Ali Ussene,Q504564,FRELIMO
