@@,item,name,party
+++,,Conceita Ernesto Xavier Sortane,Q504564
+++,,Crisanto João Naiti,Q504564
+++,,Damião dos Santos Banda,Q504564
+++,,Damião José,Q504564
+++,,Daniel João Matavel,Q504564
+++,,Daniel Maqueia Cueteia,Q504564
+++,,Danilo Aly Teixeira,Q504564
+++,,Danilo Amarcy Ragu,Q504564
+++,,David Jonas Moiana,Q1425821
+++,,David Machimbuku,Q504564
+++,,Deolinda Catarina Joao Chochoma,Q504564
+++,,Domingos Gabriel Tavira,Q504564
+++,,Dário Fernandes Machava,Q504564
+++,,Edmundo Galiza Dimande Matos,Q504564
+++,,Edson da Graça Francisco Macuacua,Q504564
+++,,Eduardo Augusto Elias,Q668181
+++,,Eduardo Joaquim Mulémbwè,Q504564
+++,,Eduardo João Ladria,Q1425821
+++,,Eduardo Muaride,Q504564
+++,,Elisa Amina Amisse Temóteo,Q504564
+++,,Elisa Nicolau José de Melo,Q504564
+++,,Elisa Silvestre Cipriano,Q1425821
+++,,Eneas da Conceição Comiche,Q504564
+++,,Ermelinda Micaela Lucas Rodolfo,Q504564
+++,,Ernesto Cassimuca Lipapa,Q504564
+++,,Essa Muze Ussene,Q1425821
+++,,Etelvina Rita Joaquim Fevereiro,Q504564
+++,,Eulália Nhaculezele Atibe,Q504564
+++,,Eva Teixeira Caetano Dias,Q1425821
+++,,Faruk Osman,Q504564
+++,,Fatima Luis Madeira,Q504564
+++,,Fautino Maurício Uamusse,Q504564
+++,,Feliz Avelino Silvia,Q504564
+++,,Felizarda Clara de Castro,Q1425821
+++,,Fernando Guebo Bilali,Q504564
+++,,Fernando Jossias Matouassanga,Q1425821
+++,,Filipe Jaime,Q504564
+++,,Filomena Nachaque,Q504564
+++,,Flora Bela das Neves Caetano Meque,Q504564
+++,,Francisca Domingos Tomás,Q504564
+++,,Francisco Maingue,Q1425821
+++,,Francisco Nangura Muceliua,Q504564
+++,,Francisco Ussene Mucanheia,Q504564
+++,,Freitas Joaquim Emílio Tiquila,Q1425821
+++,,Gania Ali Abdul Mussagy,Q1425821
+++,,Geraldo Alexandre Carvalho,Q668181
+++,,Gildo Fortunato Elias Muaga,Q504564
+++,,Graça Lindo Dinheiro,Q504564
+++,,Guerreiro Augusto Mundefa,Q504564
+++,,Guilherme Sampinguira Uissiquete,Q504564
+++,,Haia Ossufo Paquile,Q504564
+++,,Helena da Gloria Muando,Q504564
+++,,Henrique Alexandre Mandava,Q504564
+++,,Hilário Waite,Q1425821
+++,,Hélder Ernesto Injojo,Q504564
+++,,Inácia Henriques Carneiro Ngonde,Q504564
+++,,Inácio António Nunes,Q504564
+++,,Irene Joaquim,Q1425821
+++,,Ireneu Joaquim Muanaco,Q1425821
+++,,Isaura António Júlio,Q504564
+++,,Isidora da Esperança Faztudo,Q504564
+++,,Ismael Jamu Mussa,Q668181
---,Q19613993,Ivone Soares,Q1425821
+++,,Jacinta Sousa Inácio,Q504564
+++,,Jaime Bessa Augusto Neto,Q504564
+++,,Jaime Mussa Massesse,Q504564
+++,,James Mlando Fausto Njiji,Q668181
+++,,Jerónima Agostinho,Q504564
+++,,Joana Anacleto Vasco,Q504564
+++,,Joana Muchanga Mondlane,Q504564
+++,,Joana Simao,Q504564
+++,,Joaquim José Mondlane,Q504564
+++,,José António Chuquela,Q504564
+++,,José António da Conceicao Chichava,Q504564
+++,,José Carlos Rodrigues Palaco,Q1425821
+++,,José Manteigas Gabriel,Q1425821
+++,,José Manuel de Sousa,Q668181
+++,,José Manuel Samo Gudo,Q1425821
+++,,José Mateus Muária Katupha,Q504564
+++,,José Paulo da Cruz,Q504564
+++,,João Afonso,Q504564
+++,,Judite Anastácia João,Q504564
+++,,Julieta Gilda João de Brito Chauma,Q504564
+++,,Julião Caixote Nembe,Q504564
+++,,Julião Munhequeia,Q1425821
+++,,Justino Paulo Langa,Q504564
+++,,Juvenália Abiatar Mutemba,Q504564
+++,,Latifo Ismael Xarifo,Q1425821
+++,,Leonor Amosse Pedro Sambai,Q504564
+++,,Leopoldina Manuel Gimo,Q504564
+++,,Leopoldo Alfredo Ernesto,Q1425821
+++,,Lourenço Sabonete,Q504564
+++,,Lucas Chomera Jeremias,Q504564
+++,,Luciano André de Castro,Q504564
+++,,Luciano Augusto,Q504564
+++,,Lucinda Bela das Dores Impetule Malema,Q504564
+++,,Luisa João Mumba Carlos Gandar Braga,Q504564
+++,,Lutero Chimbirombiro Simango,Q668181
+++,,Luís Benedito Gouveia,Q1425821
+++,,Luís Trinta Mecupia,Q1425821
+++,,Lúcia Xavier Afate,Q1425821
+++,,Manuel Fernandes Pereira,Q1425821
+++,,Manuel Vasconcelos Estrela Manuel Maria,Q504564
+++,,Manuel Zeca Bissopo,Q1425821
+++,,Margarida Adamugi Talapa,Q504564
+++,,Margarida Manuel Salimo,Q504564
+++,,Margarida Sebastião Mapandzene,Q504564
+++,,Maria Anastácia da Costa Xavier,Q1425821
+++,,Maria Bachir,Q504564
+++,,Maria das Dores António,Q504564
+++,,Maria de Lurdes do Carmo Lobo,Q504564
+++,,Maria Ema Anchunala Cassimo,Q504564
+++,,Maria Inês Martins,Q1425821
+++,,Maria Ivone Rensano Bernardo Soares,Q1425821
+++,,Maria Marta Mateus Fernando,Q504564
+++,,Maria Olívia Álvaro,Q504564
+++,,Marquita Alexandre Loforte Jaime,Q504564
+++,,Mateus Adamo Assane,Q504564
+++,,Mateus Lucas António,Q1425821
+++,,Matias Josée Matias Nhongo,Q504564
+++,,Matilde Nazarena Anchunala,Q504564
+++,,Mauricio Mateus Madebe,Q504564
+++,,Miguel Anlaue Mussa,Q504564
+++,,Milagrosa Armando Langa,Q504564
+++,,Muanassa Abubacar,Q504564
+++,,Mustagibo Atmo Bachir,Q1425821
+++,,Mário Cinquenta Naula,Q1425821
+++,,Mário Lampião Sevene,Q504564
+++,,Nelson Afonso Alberto Nria,Q504564
+++,,Nelson Albino Paiva,Q504564
---,Q27220074,Nyeleti Mondlane,
+++,,Nyelety Brooke Mondlane,Q504564
+++,,Onório Plácido Horácio,Q504564
+++,,Oreste Bustan,Q504564
---,Q55106039,Osfo Momad,Q1425821
+++,,Ossufo Momade,Q1425821
+++,,Palmira Eusébio Mbanze,Q504564
+++,,Patricio Filimone Meque,Q504564
->,Q96195503,Paulina Mateus Nkunda,NULL->Q504564
+++,,Pedro Armando Alberto Virgula,Q504564
+++,,Pedro Tesoura Chichone,Q1425821
+++,,Raimundo Domingos Pachinuapa,Q504564
+++,,Regina Macuácua Muchanga,Q504564
+++,,Ricardina Suia Albano Mazive,Q504564
+++,,Roberto Matola Saide,Q504564
+++,,Roberto Maximiano Chitsondzo,Q504564
+++,,Rosa Isabel Maiopue,Q504564
+++,,Rosa Mafunda Julai Sitole,Q1425821
+++,,Rosa Manuel Andrade da Silva,Q504564
+++,,Rui Sixpence Conzane,Q504564
+++,,Ruquia Mohamed Saide,Q504564
+++,,Ruquia Muler Gustavo,Q1425821
+++,,Sabina Isaias Nhaca Fache,Q504564
+++,,Sabina Sara Hassane Bicá,Q504564
+++,,Safi Mahomed Abdul Reman Gulamo,Q504564
+++,,Saimone Muhambi Macuaina,Q1425821
+++,,Salma Maria Alexandre Machate,Q504564
+++,,Sara Mamudo Abdula Vassanegy,Q504564
+++,,Sebastião Dengo,Q504564
+++,,Sefo Sente,Q504564
+++,,Severina Tiago Banze,Q504564
+++,,Simão Bute,Q1425821
+++,,Simões Paulo Mário,Q1425821
+++,,Sofia Afonso Jinja Cussaia,Q504564
+++,,Suzete Alberto Dança,Q504564
+++,,Sábado Tereza Malendza,Q504564
+++,,Sónia Maria Vasco Mepameia,Q504564
+++,,Tania Crescente Elson Canhemba,Q504564
+++,,Telmina Manuel Paixão Pinho Pereira,Q504564
+++,,Teodoro Andrade Waty,Q504564
+++,,Tiago Horácio Simba,Q504564
+++,,Tobias Joaquim Dai,Q504564
+++,,Tsoquisso Mulaicho Munhiwa,Q504564
+++,,Valéria Jose Mitelela,Q504564
---,Q6722501,Verónica Macamo,Q504564
+++,,Verónica Nataniel Macamo Dlovo,Q504564
+++,,Viana da Silva Magalhães,Q1425821
+++,,Vicente Zacarias Ululu,Q1425821
+++,,Victor Viandro Mudivila,Q1425821
+++,,Virgilia Bernarda Neto Alexandre dos Santos Matabele,Q504564
+++,,Xavier Aleixo Chicutirene,Q504564
+++,,Zacarias José,Q1425821
+++,,Zacarias João Chivavi,Q504564
+++,,Zeca Castro Morgado,Q504564
+++,,Zelia da Luz Francisco Muthambe Langa,Q504564
+++,,Zezinho Ricardo José,Q504564
