item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q19613993,Ivone Soares,Q1425821,RENAMO,Q622803,Zambezia Province,2009,,female,Q19613993-f42a91dd-4ac1-c7d2-329a-1b0b61c9645f
Q6760997,Maria Angelina Dique Enoque,Q1425821,RENAMO,Q622792,Manica Province,1994,,female,Q6760997-74241541-483a-f3a4-bd19-50e61d5e3520
Q27220074,Nyeleti Mondlane,,,,,1994,2014,female,Q27220074-9cc75ea0-4eb1-821f-6d68-f9eaee4a8fbc
Q55106039,Osfo Momad,Q1425821,RENAMO,Q622794,Nampula Province,1999,2018,male,Q55106039-4EA02F58-9C98-4822-AD37-4C337B7336D5
Q96195503,Paulina Mateus Nkunda,,,,,2009,2013,female,Q96195503-31C3C19A-DBC2-437A-A79E-2D86CF623E42
Q6722501,Verónica Macamo,Q504564,FRELIMO,Q379658,Maputo Province,1994,,female,Q6722501-d251409d-4709-81a8-f491-ed331c9dda05
