name,party
Joana Anacleto Vasco,FRELIMO
Maria de Lurdes do Carmo Lobo,FRELIMO
Daniel João Matavel,FRELIMO
Castro Qualquer António Ntemansaka,FRELIMO
Angelina Cândido Shea N'chumali,FRELIMO
Tiago Horácio Simba,FRELIMO
Adriano Tesoura Passanduca,FRELIMO
Ermelinda Micaela Lucas Rodolfo,FRELIMO
Maria Bachir,FRELIMO
Arminda Jaime Vombe,FRELIMO
Safi Mahomed Abdul Reman Gulamo,FRELIMO
Danilo Aly Teixeira,FRELIMO
Leonor Amosse Pedro Sambai,FRELIMO
Palmira Eusébio Mbanze,FRELIMO
Maria Olívia Álvaro,FRELIMO
Azevedo Evaristo Mussibora,FRELIMO
Jerónima Agostinho,FRELIMO
Filipe Jaime,FRELIMO
Caifadine Paulo Manasse,FRELIMO
Maria Ema Anchunala Cassimo,FRELIMO
Milagrosa Armando Langa,FRELIMO
Bernardo Júlio Macamo,FRELIMO
Danilo Amarcy Ragu,FRELIMO
Flora Bela das Neves Caetano Meque,FRELIMO
Joana Simao,FRELIMO
Nelson Afonso Alberto Nria,FRELIMO
Fernando Guebo Bilali,FRELIMO
Afonso Januario Bombeni,FRELIMO
Aleke Paulo Jose Katete,FRELIMO
Alafu Abdala Sufu,FRELIMO
Albertina Makata,FRELIMO
Alberto Jacinto Nancuta Matukutuku,FRELIMO
Alexandre Pedro Natividade Capitao,FRELIMO
Alfredo Mashalo Ibraimo,FRELIMO
Amilcar Jose Hussene,FRELIMO
Ana Paula Orta Cordeiro Manhique,FRELIMO
Ana Maria Simante,FRELIMO
Antonio Hama Thay,FRELIMO
Antonio Alexandre Mauelele,FRELIMO
Bartolomeu Afonso Baptista Muibo,FRELIMO
Berta Lucas,FRELIMO
Beatriz Afonso Murenge,FRELIMO
Botelho Mario Benjamim Chuni,FRELIMO
Caibe Hussen Ali Ussene,FRELIMO
Carlos Luwanga Sabonete,FRELIMO
Carlos Filipe Panguana,FRELIMO
Chiueche Arone Guenha,FRELIMO
Crisanto João Naiti,FRELIMO
Damião dos Santos Banda,FRELIMO
Deolinda Catarina Joao Chochoma,FRELIMO
Asraf Amad Kassamo,FRELIMO
Domingos Gabriel Tavira,FRELIMO
Dário Fernandes Machava,FRELIMO
David Machimbuku,FRELIMO
Eduardo Muaride,FRELIMO
Eulália Nhaculezele Atibe,FRELIMO
Etelvina Rita Joaquim Fevereiro,FRELIMO
Fautino Maurício Uamusse,FRELIMO
Faruk Osman,FRELIMO
Feliz Avelino Silvia,FRELIMO
Graça Lindo Dinheiro,FRELIMO
Julieta Gilda João de Brito Chauma,FRELIMO
Gildo Fortunato Elias Muaga,FRELIMO
Guerreiro Augusto Mundefa,FRELIMO
Guilherme Sampinguira Uissiquete,FRELIMO
Hélder Ernesto Injojo,FRELIMO
Henrique Alexandre Mandava,FRELIMO
Inácia Henriques Carneiro Ngonde,FRELIMO
Inácio António Nunes,FRELIMO
Jacinta Sousa Inácio,FRELIMO
Jaime Mussa Massesse,FRELIMO
João Afonso,FRELIMO
Joaquim José Mondlane,FRELIMO
José António da Conceicao Chichava,FRELIMO
José António Chuquela,FRELIMO
José Paulo da Cruz,FRELIMO
Judite Anastácia João,FRELIMO
Justino Paulo Langa,FRELIMO
Juvenália Abiatar Mutemba,FRELIMO
Lourenço Sabonete,FRELIMO
Luisa João Mumba Carlos Gandar Braga,FRELIMO
Claudete da Conceição Fernandes,FRELIMO
Margarida Manuel Salimo,FRELIMO
Marquita Alexandre Loforte Jaime,FRELIMO
Mateus Adamo Assane,FRELIMO
Matias Josée Matias Nhongo,FRELIMO
Matilde Nazarena Anchunala,FRELIMO
Muanassa Abubacar,FRELIMO
Nelson Albino Paiva,FRELIMO
Mauricio Mateus Madebe,FRELIMO
Oreste Bustan,FRELIMO
Patricio Filimone Meque,FRELIMO
Ricardina Suia Albano Mazive,FRELIMO
Roberto Matola Saide,FRELIMO
Rosa Manuel Andrade da Silva,FRELIMO
Rui Sixpence Conzane,FRELIMO
Ruquia Mohamed Saide,FRELIMO
Sabina Sara Hassane Bicá,FRELIMO
Salma Maria Alexandre Machate,FRELIMO
Sefo Sente,FRELIMO
Sofia Afonso Jinja Cussaia,FRELIMO
Sónia Maria Vasco Mepameia,FRELIMO
Suzete Alberto Dança,FRELIMO
Tania Crescente Elson Canhemba,FRELIMO
Telmina Manuel Paixão Pinho Pereira,FRELIMO
Onório Plácido Horácio,FRELIMO
Valéria Jose Mitelela,FRELIMO
Zacarias João Chivavi,FRELIMO
Zezinho Ricardo José,FRELIMO
Viana da Silva Magalhães,RENAMO
Maria Angelina Dique Enoque,RENAMO
Gania Ali Abdul Mussagy,RENAMO
Luís Trinta Mecupia,RENAMO
Saimone Muhambi Macuaina,RENAMO
Arnaldo Francisco Chalaua,RENAMO
Ossufo Momade,RENAMO
Vicente Zacarias Ululu,RENAMO
Albino Muanafaene Ducuza Muchanga,RENAMO
Armindo João Milaco Acelece,RENAMO
Mateus Lucas António,RENAMO
José Manteigas Gabriel,RENAMO
Maria Ivone Rensano Bernardo Soares,RENAMO
Mário Cinquenta Naula,RENAMO
Manuel Fernandes Pereira,RENAMO
Maria Inês Martins,RENAMO
Maria Anastácia da Costa Xavier,RENAMO
Alberto José Sabe,RENAMO
José Manuel Samo Gudo,RENAMO
Leopoldo Alfredo Ernesto,RENAMO
Anselmo Ernesto Víctor,RENAMO
Luís Benedito Gouveia,RENAMO
Francisco Maingue,RENAMO
Manuel Zeca Bissopo,RENAMO
Antonio Severino Timba,RENAMO
Lúcia Xavier Afate,RENAMO
Hilário Waite,RENAMO
Ireneu Joaquim Muanaco,RENAMO
Albano Bulaunde José,RENAMO
Mustagibo Atmo Bachir,RENAMO
Julião Munhequeia,RENAMO
José Carlos Rodrigues Palaco,RENAMO
Zacarias José,RENAMO
Freitas Joaquim Emílio Tiquila,RENAMO
Simão Bute,RENAMO
David Jonas Moiana,RENAMO
Irene Joaquim,RENAMO
Carlos Manuel,RENAMO
Essa Muze Ussene,RENAMO
Latifo Ismael Xarifo,RENAMO
Elisa Silvestre Cipriano,RENAMO
Pedro Tesoura Chichone,RENAMO
Eva Teixeira Caetano Dias,RENAMO
Fernando Jossias Matouassanga,RENAMO
Ruquia Muler Gustavo,RENAMO
Felizarda Clara de Castro,RENAMO
Rosa Mafunda Julai Sitole,RENAMO
Victor Viandro Mudivila,RENAMO
Angelica Paulo Camões,RENAMO
Eduardo João Ladria,RENAMO
Simões Paulo Mário,RENAMO
Lutero Chimbirombiro Simango,MDM
Ismael Jamu Mussa,MDM
José Manuel de Sousa,MDM
Eduardo Augusto Elias,MDM
Agostinho Ussore,MDM
Geraldo Alexandre Carvalho,MDM
Alcinda da Conceição,MDM
James Mlando Fausto Njiji,MDM
