name,party
Verónica Nataniel Macamo Dlovo,FRELIMO
Lucas Chomera Jeremias,FRELIMO
Margarida Adamugi Talapa,FRELIMO
Tobias Joaquim Dai,FRELIMO
Alcido Eduardo Nguenha,FRELIMO
Damião José,FRELIMO
Alberto Joaquim Chipande,FRELIMO
Haia Ossufo Paquile,FRELIMO
Eduardo Joaquim Mulémbwè,FRELIMO
Eneas da Conceição Comiche,FRELIMO
Francisco Nangura Muceliua,FRELIMO
Conceita Ernesto Xavier Sortane,FRELIMO
Raimundo Domingos Pachinuapa,FRELIMO
Paulina Mateus Nkunda,FRELIMO
Teodoro Andrade Waty,FRELIMO
Edson da Graça Francisco Macuacua,FRELIMO
Zeca Castro Morgado,FRELIMO
Virgilia Bernarda Neto Alexandre dos Santos Matabele,FRELIMO
Arlinda Cipriano de Sousa,FRELIMO
José Mateus Muária Katupha,FRELIMO
Antonio Mussa Inze,FRELIMO
Augusto Eduardo Chalamanda,FRELIMO
Antonio Jose Amelia,FRELIMO
Xavier Aleixo Chicutirene,FRELIMO
Sebastião Dengo,FRELIMO
Celmira Irene Melo Xavier,FRELIMO
Agostinho Zacarias Vuma,FRELIMO
Joana Muchanga Mondlane,FRELIMO
Abel Ernesto Safrão,FRELIMO
Elisa Nicolau José de Melo,FRELIMO
Filomena Nachaque,FRELIMO
Maria das Dores António,FRELIMO
Fatima Luis Madeira,FRELIMO
Carlos Moreira Vasco,FRELIMO
Julião Caixote Nembe,FRELIMO
Agostinho Cosme Mange,FRELIMO
Catarina Paiva Muacamissa,FRELIMO
Helena da Gloria Muando,FRELIMO
Antonia Simao Paulo Charre,FRELIMO
Regina Macuácua Muchanga,FRELIMO
Angelo Thai,FRELIMO
Zelia da Luz Francisco Muthambe Langa,FRELIMO
Luciano André de Castro,FRELIMO
Maria Marta Mateus Fernando,FRELIMO
Elisa Amina Amisse Temóteo,FRELIMO
Leopoldina Manuel Gimo,FRELIMO
Tsoquisso Mulaicho Munhiwa,FRELIMO
Roberto Maximiano Chitsondzo,FRELIMO
Nyelety Brooke Mondlane,FRELIMO
Isidora da Esperança Faztudo,FRELIMO
Jaime Bessa Augusto Neto,FRELIMO
Manuel Vasconcelos Estrela Manuel Maria,FRELIMO
Edmundo Galiza Dimande Matos,FRELIMO
Francisco Ussene Mucanheia,FRELIMO
Sara Mamudo Abdula Vassanegy,FRELIMO
Sabina Isaias Nhaca Fache,FRELIMO
Alberto Jumulate,FRELIMO
Ana António Henrique Dimitri,FRELIMO
Margarida Sebastião Mapandzene,FRELIMO
Alfredo Maria São Bernardo Cepeda Gamito,FRELIMO
Isaura António Júlio,FRELIMO
Luciano Augusto,FRELIMO
Ana Rita Geremias Sithole,FRELIMO
Carlos Jorge Siliya,FRELIMO
Francisca Domingos Tomás,FRELIMO
Mário Lampião Sevene,FRELIMO
Miguel Anlaue Mussa,FRELIMO
Sábado Tereza Malendza,FRELIMO
Casimiro Pedro Sacadura Huate,FRELIMO
Carolina Halime Chemane,FRELIMO
Daniel Maqueia Cueteia,FRELIMO
Aires Bonifácio Baptista Ali,FRELIMO
Ernesto Cassimuca Lipapa,FRELIMO
Ana Maria Rafael,FRELIMO
Abilio Adelaide António,FRELIMO
Pedro Armando Alberto Virgula,FRELIMO
Rosa Isabel Maiopue,FRELIMO
Anacleta Torres Caliano Meque,FRELIMO
Severina Tiago Banze,FRELIMO
António Rosário Niquice,FRELIMO
Lucinda Bela das Dores Impetule Malema,FRELIMO
Beatriz Mário Chaguala Gama Ajuda,FRELIMO
