item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q111841429,Abdala Ossifo Ibraimo,Q1425821,RENAMO,,,2005-01,2010-01,male,Q111841429-43C39727-E980-47D4-9D69-D21EB096086E
Q111904539,Abel Ernesto Safrão,Q504564,FRELIMO,,,2005-01,2010-01,,Q111904539-2FB275A5-38D7-48DE-8C26-7FE6584B3F05
Q111904540,Abel Gabriel Mabunda,Q1425821,RENAMO,,,2005-01,2010-01,,Q111904540-6FC2C3DF-FC53-4149-B2D8-8F19DD8FB70A
Q111906893,Abel Vicente Sana Sana,Q1425821,RENAMO,,,2005-01,2010-01,,Q111906893-4F3D050F-493E-433F-BEE6-EDF80DF291CB
Q111904541,Abilio Adelaide António,Q504564,FRELIMO,,,2005-01,2010-01,,Q111904541-36332000-5AE7-41EA-8AAF-4BD0917BFA8F
Q111906894,Achiro Amisse,Q1425821,RENAMO,,,2005-01,2010-01,,Q111906894-208F6E39-56C3-45E2-854D-ACB7DBA60916
Q111906895,Adelaide Anchua Amurane,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906895-46FEC9BE-4D1F-43D0-901F-A0B89A84EB36
Q111906896,Adelina Rosa Bernardo,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906896-19BCDB7F-8ABD-4B98-916A-5232076DE23B
Q111906897,Adriano Tesoura Passanduca,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906897-76371556-EFF5-4230-B2E9-D96858D7CDFE
Q111906898,Afonso Francisco Massingue,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906898-3A52C069-5D77-4190-A88D-F05F88F88401
Q111906899,Afonso Paulo Salimo,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906899-C1C5ED81-5C4F-4787-946C-5E2C6CA6A563
Q111906900,Agostinho Severo Tomé,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906900-D1B9178D-F349-4E23-A93B-86FC11CC59A7
Q111904544,Agostinho Ussene,Q504564,FRELIMO,,,2005-01,2010-01,,Q111904544-E70745A3-DD49-40AF-88BD-0E2726192639
Q111906901,Agostinho Ussore,Q1425821,RENAMO,,,2005-01,2010-01,,Q111906901-B34AD7FC-5ABC-4B3A-A0FA-827BC0816A3C
Q111841440,Agostinho Zacarias Vuma,Q504564,FRELIMO,,,2005-01,2010-01,male,Q111841440-1849D33D-8D2C-473D-9A1F-FB682280D167
Q111906902,Ahmed Abdul Gani,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906902-11050F6E-1515-452A-B457-1B82E28277D0
Q111906903,Aida Luis Garife Massangaissa,Q1425821,RENAMO,,,2005-01,2010-01,,Q111906903-0A50A447-DAE9-4D5D-A1E6-D27EFABFEDD9
Q111906904,Aida Ussene,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906904-02F6D9D7-1DB7-46AF-8FAE-0DAB3DB91AE9
Q111904549,Albertina Vicente Pelembe,Q504564,FRELIMO,,,2005-01,2010-01,,Q111904549-273BB73A-8ED0-498E-AF7D-B3BD8E6440C8
Q111904550,Alberto Conforme Alberto Tigre,Q504564,FRELIMO,,,2005-01,2010-01,,Q111904550-5830FA76-FCB0-4244-85A1-221FFD84B43E
Q4711973,Alberto Joaquim Chipande,Q504564,FRELIMO,,,2005-01,2010-01,male,Q4711973-AE25B0D7-31F3-48D0-9CD6-4AD6E2D04024
Q111841451,Alberto Jumulate,Q504564,FRELIMO,,,2005-01,2010-01,male,Q111841451-B903722E-D91C-4F84-9EBF-BD0688C53A00
Q111906905,Albina Tomás Gulele,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906905-396F2C1E-0DA4-497A-B1CE-3AAA6BBB64E8
Q111904552,Albino Ducuza Muchanga,Q1425821,RENAMO,,,2005-01,2010-01,,Q111904552-91F128D5-782E-48A0-A18F-2A7A685FED11
Q111906906,Alexandre Meque Vicente,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906906-6386DAE2-27BA-4FFA-9C3A-6AA2644308B4
Q111906907,Alfredo Alide Sualei,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906907-5876FDE2-A75D-4522-A0C5-D58C1FBB0A6D
Q111906908,Alfredo Maria de São Bernardo Cepeda Gamito,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906908-CB7A8D5B-2200-4404-BC64-51C9CA232129
Q111906909,Alicora Intutunha,Q1425821,RENAMO,,,2005-01,2010-01,,Q111906909-63233F32-2710-4E9F-A9D6-AA18BBF274CB
Q111906910,Alige Derque Mussulmade de Morais,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906910-14F45022-EDF4-415E-8DE5-F9CD626A2C6D
Q111906911,Alzira Frederico Pereira,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906911-5EDD36AC-96B1-4F83-9397-1B69D9B6509F
Q111906919,Amândio Cláudio Absalão Siueia,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906919-2D3BD15A-9151-478C-B4E9-6E4989975C16
Q105001942,Amélia Narciso Matos Sumbana,Q504564,FRELIMO,,,2005-01,2010-01,female,Q105001942-F849E643-F1CB-4037-AA84-414D02A32F28
Q111841462,Ana Antónia Henrique Dimitri,Q504564,FRELIMO,,,2005-01,2010-01,female,Q111841462-71302F35-E451-4454-9920-393F8154A488
Q111906920,Ana Celestina Meneses Sousa,Q1425821,RENAMO,,,2005-01,2010-01,,Q111906920-3BF33FE2-5FFA-48F1-AD1A-E48675E51D1F
Q111906921,Ana Madalena da Silva Charomar,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906921-913D78E1-A83D-46A3-B41F-C693EDF2697C
Q111904559,Ana Maria Rafael,Q504564,FRELIMO,,,2005-01,2010-01,,Q111904559-7C015A80-CEDE-4695-A4FF-3D3389688C5A
Q111841465,Ana Rita Geremias Sithole,Q504564,FRELIMO,,,2005-01,2010-01,female,Q111841465-ECA05E02-D43E-42F6-93D5-21E630E2E81C
Q111904561,Anacleta Torres Caliano Meque,Q504564,FRELIMO,,,2005-01,2010-01,,Q111904561-E5414781-5C5E-4AA1-B6C0-B108B2D51EA2
Q111904562,Anatércia de Fátima Ismael Adriano Aly,Q504564,FRELIMO,,,2005-01,2010-01,,Q111904562-89FCED07-1FC5-4FDD-86EC-4DE907F2EDB8
Q111906922,Angelina Cândida N’chumali,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906922-5A684CDF-6AAC-446C-BBB0-D16D6536F2C5
Q111906923,Angelina Ernesto Namoeto,Q504564,FRELIMO,,,2005-01,2010-01,,Q111906923-E241CD90-A391-4F43-92A0-64AD3F2814AC
Q111904565,Anselmo Ernesto Victor,Q1425821,RENAMO,,,2005-01,2010-01,,Q111904565-D3251333-F72B-4D5B-8C83-1C2B091481C9
