item,name,party,partyLabel
,Abel Ernesto Safrão,Q504564,FRELIMO
,Abilio Adelaide António,Q504564,FRELIMO
,Açucena Henrique da Costa Xavier Duarte,Q504564,FRELIMO
,Adelaide Anchua Amurane,Q504564,FRELIMO
,Adelina Rosa Bernardo,Q504564,FRELIMO
,Adriano Tesoura Passanduca,Q504564,FRELIMO
,Afonso Francisco Massingue,Q504564,FRELIMO
,Afonso Paulo Salimo,Q504564,FRELIMO
,Agostinho Severo Tomé,Q504564,FRELIMO
,Agostinho Ussene,Q504564,FRELIMO
,Agostinho Zacarias Vuma,Q504564,FRELIMO
,Ahmed Abdul Gani,Q504564,FRELIMO
,Aida Ussene,Q504564,FRELIMO
,Albertina Vicente Pelembe,Q504564,FRELIMO
,Alberto Conforme Alberto Tigre,Q504564,FRELIMO
,Alberto Joaquim Chipande,Q504564,FRELIMO
,Alberto Jumulate,Q504564,FRELIMO
,Albina Tomás Gulele,Q504564,FRELIMO
,Alexandre Meque Vicente,Q504564,FRELIMO
,Alfredo Alide Sualei,Q504564,FRELIMO
,Alfredo Maria de São Bernardo Cepeda Gamito,Q504564,FRELIMO
,Alige Derque Mussulmade de Morais,Q504564,FRELIMO
,Amândio Cláudio Absalão Siueia,Q504564,FRELIMO
,Amélia Narciso Matos Sumbana,Q504564,FRELIMO
,Ana Antónia Henrique Dimitri,Q504564,FRELIMO
,Ana Madalena da Silva Charomar,Q504564,FRELIMO
,Ana Maria Rafael,Q504564,FRELIMO
,Ana Rita Geremias Sithole,Q504564,FRELIMO
,Anacleta Torres Caliano Meque,Q504564,FRELIMO
,Anatércia de Fátima Ismael Adriano Aly,Q504564,FRELIMO
,Ângela Maria do Carmo Benesse,Q504564,FRELIMO
,Angelina Cândida N’chumali,Q504564,FRELIMO
,Angelina Ernesto Namoeto,Q504564,FRELIMO
,Ângelo Thai,Q504564,FRELIMO
,António Hama Thay,Q504564,FRELIMO
,António Jorge Franguolis,Q504564,FRELIMO
,António José Amélia,Q504564,FRELIMO
,António Razão Miromo,Q504564,FRELIMO
,António Rosário Niquice,Q504564,FRELIMO
,Armando Alifa,Q504564,FRELIMO
,Armando Maria Pereira Constantino Júlio,Q504564,FRELIMO
,Arminda Jaime Vombe,Q504564,FRELIMO
,Arnaldo Obed Muchabje Quibe,Q504564,FRELIMO
,Augusto Jonas Navando,Q504564,FRELIMO
,Aurora Mussane Morrime,Q504564,FRELIMO
,Azevedo Evaristo Mussibora,Q504564,FRELIMO
,Beatriz Mário Chaguala Gama Ajuda,Q504564,FRELIMO
,Bendita Francisco Nchumali,Q504564,FRELIMO
,Bernardo Júlio Macamo,Q504564,FRELIMO
,Bonifácio Gruveta Massamba,Q504564,FRELIMO
,Caifadine Paulo Manasse,Q504564,FRELIMO
,Carlos Jorge Siliya,Q504564,FRELIMO
,Carlos Moreira Vasco,Q504564,FRELIMO
,Carolina Halima Chemane,Q504564,FRELIMO
,Casimiro Pedro Sacadura Haute,Q504564,FRELIMO
,Castro Qualquer António Ntemassaka,Q504564,FRELIMO
,Catarina Paiva Muacamissa,Q504564,FRELIMO
,Cidália Manuel Chaúque,Q504564,FRELIMO
,Cipriano Severino Nimpachula,Q504564,FRELIMO
,Conceita Ernesto Xavier Sortane,Q504564,FRELIMO
,Damião José,Q504564,FRELIMO
