@@,item,name,party
+++,,Abdala Ossifo Ibraimo,Q1425821
+++,,Abel Ernesto Safrão,Q504564
+++,,Abel Gabriel Mabunda,Q1425821
+++,,Abel Vicente Sana Sana,Q1425821
+++,,Abilio Adelaide António,Q504564
+++,,Achiro Amisse,Q1425821
+++,,Adelaide Anchua Amurane,Q504564
+++,,Adelina Rosa Bernardo,Q504564
+++,,Adriano Tesoura Passanduca,Q504564
+++,,Afonso Francisco Massingue,Q504564
+++,,Afonso Paulo Salimo,Q504564
+++,,Agostinho Severo Tomé,Q504564
+++,,Agostinho Ussene,Q504564
+++,,Agostinho Ussore,Q1425821
+++,,Agostinho Zacarias Vuma,Q504564
+++,,Ahmed Abdul Gani,Q504564
+++,,Aida Luis Garife Massangaissa,Q1425821
+++,,Aida Ussene,Q504564
+++,,Albertina Vicente Pelembe,Q504564
+++,,Alberto Conforme Alberto Tigre,Q504564
+++,,Alberto Joaquim Chipande,Q504564
+++,,Alberto Jumulate,Q504564
+++,,Albina Tomás Gulele,Q504564
+++,,Albino Ducuza Muchanga,Q1425821
+++,,Alexandre Meque Vicente,Q504564
+++,,Alfredo Alide Sualei,Q504564
+++,,Alfredo Maria de São Bernardo Cepeda Gamito,Q504564
+++,,Alicora Intutunha,Q1425821
+++,,Alige Derque Mussulmade de Morais,Q504564
+++,,Alzira Frederico Pereira,Q504564
+++,,Alzira Frederico Pereira,Q1425821
+++,,Alzira Frederico Pereira,Q1425821
+++,,Amândio Cláudio Absalão Siueia,Q504564
+++,,Amélia Narciso Matos Sumbana,Q504564
+++,,Ana Antónia Henrique Dimitri,Q504564
+++,,Ana Celestina Meneses Sousa,Q1425821
+++,,Ana Madalena da Silva Charomar,Q504564
+++,,Ana Maria Rafael,Q504564
+++,,Ana Rita Geremias Sithole,Q504564
+++,,Anacleta Torres Caliano Meque,Q504564
+++,,Anatércia de Fátima Ismael Adriano Aly,Q504564
+++,,Angelina Cândida N’chumali,Q504564
+++,,Angelina Ernesto Namoeto,Q504564
+++,,Anselmo Ernesto Victor,Q1425821
+++,,Anselmo Jacinto Eduardo,Q1425821
+++,,António Augusto Ed Namburete,Q1425821
+++,,António Hama Thay,Q504564
+++,,António Jorge Franguolis,Q504564
+++,,António José Amélia,Q504564
+++,,António Pedro Muchanga,Q1425821
+++,,António Razão Miromo,Q504564
+++,,António Rosário Niquice,Q504564
+++,,António Severino Timba,Q1425821
+++,,Armando Alifa,Q504564
+++,,Armando Maria Pereira Constantino Júlio,Q504564
+++,,Arminda Jaime Vombe,Q504564
+++,,Armindo João Milaco,Q1425821
+++,,Arnaldo Obed Muchabje Quibe,Q504564
+++,,Artur Xavier Vilanculos,Q1425821
+++,,Assane Ali,Q1425821
+++,,Augusto Jonas Navando,Q504564
+++,,Augusto Mateus,Q1425821
+++,,Aurora Mussane Morrime,Q504564
+++,,Azevedo Evaristo Mussibora,Q504564
+++,,Açucena Henrique da Costa Xavier Duarte,Q504564
+++,,Beatriz Mário Chaguala Gama Ajuda,Q504564
+++,,Bendita Francisco Nchumali,Q504564
+++,,Bernardo Júlio Macamo,Q504564
+++,,Bonifácio Gruveta Massamba,Q504564
+++,,Bonifácio João Nicasse,Q1425821
+++,,Brito Caetano,Q1425821
+++,,Caifadine Paulo Manasse,Q504564
+++,,Carlos Jorge Siliya,Q504564
+++,,Carlos Manuel,Q1425821
+++,,Carlos Moreira Vasco,Q504564
+++,,Carolina Halima Chemane,Q504564
+++,,Casimiro Pedro Sacadura Haute,Q504564
+++,,Castro Qualquer António Ntemassaka,Q504564
+++,,Catarina Paiva Muacamissa,Q504564
+++,,Celestino Neúma,Q1425821
+++,,Celestino Neúma,Q1425821
+++,,Cidália Manuel Chaúque,Q504564
+++,,Cipriano Severino Nimpachula,Q504564
+++,,Claudina Inácio Guimarães,Q1425821
+++,,Conceita Ernesto Xavier Sortane,Q504564
+++,,Cornélio Quivela,Q1425821
+++,,Damião José,Q504564
+++,,Daniel João Matavele,Q504564
+++,,Daniel Litsure,Q504564
+++,,Daniel Maqueia Cueteia,Q504564
+++,,Danilo Aly Teixeira,Q504564
+++,,Danilo Rui Alberto Mutumula,Q504564
+++,,David Jonas Moiana,Q1425821
+++,,Djone Dique Ncussa,Q504564
+++,,Dominga Domingos Chuva,Q1425821
+++,,Dorteia Hérculos Ambrósio,Q504564
+++,,Duarte Cassiano,Q504564
+++,,Edgar de Jesus Gonzaga C Silva,Q1425821
+++,,Edmundo Galiza Dimande Matos,Q504564
+++,,Edson da Graça Francisco Macuácua,Q504564
+++,,Eduardo Joaquim Mulémbwè,Q504564
+++,,Elisa Cipriano Silvestre,Q1425821
