name,party
Abel Ernesto Safrão,FRELIMO
Abilio Adelaide António,FRELIMO
Açucena Henrique da Costa Xavier Duarte,FRELIMO
Adelaide Anchua Amurane,FRELIMO
Adelina Rosa Bernardo,FRELIMO
Adriano Tesoura Passanduca,FRELIMO
Afonso Francisco Massingue,FRELIMO
Afonso Paulo Salimo,FRELIMO
Agostinho Severo Tomé,FRELIMO
Alzira Frederico Pereira,FRELIMO
Agostinho Ussene,FRELIMO
Agostinho Zacarias Vuma,FRELIMO
Ahmed Abdul Gani,FRELIMO
Aida Ussene,FRELIMO
Albertina Vicente Pelembe,FRELIMO
Alberto Conforme Alberto Tigre,FRELIMO
Alberto Joaquim Chipande,FRELIMO
Alberto Jumulate,FRELIMO
Albina Tomás Gulele,FRELIMO
Alexandre Meque Vicente,FRELIMO
Alfredo Alide Sualei,FRELIMO
Alfredo Maria de São Bernardo Cepeda Gamito,FRELIMO
Alige Derque Mussulmade de Morais,FRELIMO
Amândio Cláudio Absalão Siueia,FRELIMO
Amélia Narciso Matos Sumbana,FRELIMO
Ana Antónia Henrique Dimitri,FRELIMO
Ana Madalena da Silva Charomar,FRELIMO
Ana Maria Rafael,FRELIMO
Ana Rita Geremias Sithole,FRELIMO
Anacleta Torres Caliano Meque,FRELIMO
Anatércia de Fátima Ismael Adriano Aly,FRELIMO
Ângela Maria do Carmo Benesse,FRELIMO
Angelina Cândida N’chumali,FRELIMO
Angelina Ernesto Namoeto,FRELIMO
Ângelo Thai,FRELIMO
António Hama Thay,FRELIMO
António Jorge Franguolis,FRELIMO
António José Amélia,FRELIMO
António Razão Miromo,FRELIMO
António Rosário Niquice,FRELIMO
Armando Alifa,FRELIMO
Armando Maria Pereira Constantino Júlio,FRELIMO
Arminda Jaime Vombe,FRELIMO
Arnaldo Obed Muchabje Quibe,FRELIMO
Augusto Jonas Navando,FRELIMO
Aurora Mussane Morrime,FRELIMO
Azevedo Evaristo Mussibora,FRELIMO
Beatriz Mário Chaguala Gama Ajuda,FRELIMO
Bendita Francisco Nchumali,FRELIMO
Bernardo Júlio Macamo,FRELIMO
Bonifácio Gruveta Massamba,FRELIMO
Caifadine Paulo Manasse,FRELIMO
Carlos Jorge Siliya,FRELIMO
Carlos Moreira Vasco,FRELIMO
Carolina Halima Chemane,FRELIMO
Casimiro Pedro Sacadura Haute,FRELIMO
Castro Qualquer António Ntemassaka,FRELIMO
Catarina Paiva Muacamissa,FRELIMO
Cidália Manuel Chaúque,FRELIMO
Cipriano Severino Nimpachula,FRELIMO
Conceita Ernesto Xavier Sortane,FRELIMO
Damião José,FRELIMO
Daniel João Matavele,FRELIMO
Daniel Litsure,FRELIMO
Daniel Maqueia Cueteia,FRELIMO
Danilo Aly Teixeira,FRELIMO
Danilo Rui Alberto Mutumula,FRELIMO
Djone Dique Ncussa,FRELIMO
Dorteia Hérculos Ambrósio,FRELIMO
Duarte Cassiano,FRELIMO
Edmundo Galiza Dimande Matos,FRELIMO
Edson da Graça Francisco Macuácua,FRELIMO
Eduardo Joaquim Mulémbwè,FRELIMO
Elisa Nicolau José de Melo,FRELIMO
Eliseu Jaoquim Machava,FRELIMO
Elvira Luís Mabunda,FRELIMO
Ermelinda Micaela Lucas Rodolfo,FRELIMO
Ermósio Justo,FRELIMO
Ernesto Cassimuca Lipapa,FRELIMO
Ester Hassane Macande Peule,FRELIMO
Eusébio Nanguia Nipete Mulange,FRELIMO
Fabião Pedro Sitoé,FRELIMO
Fátima Luís Madeira,FRELIMO
Faustina Manuel,FRELIMO
Feliciano Anjo Bernardo Mata,FRELIMO
Filipe Jaime,FRELIMO
Filomena Nachaque,FRELIMO
Francisca Domingos Tomás,FRELIMO
Francisco Braz Muchanga,FRELIMO
Graça César Machaiane Nhanala Nhaliginga,FRELIMO
Hermenegildo Maria Cepeda Gamito,FRELIMO
Hermínia Carlos Nhantumbo,FRELIMO
Irene António Beira Castro,FRELIMO
Isaú Joaquim Menezes,FRELIMO
Jaime Bessa Augusto Neto,FRELIMO
Jerónimo Agostinho,FRELIMO
Joana Anacleto Vasco,FRELIMO
João Luís,FRELIMO
João Macuamule,FRELIMO
José Mateus Muária Katupha,FRELIMO
Juliao Caixote Nembe,FRELIMO
Kapwepwe Saíde Chai,FRELIMO
Leonor Amosse Pedro,FRELIMO
Lídia Rita Geremias,FRELIMO
Lúcia Geraldo Namashulua,FRELIMO
Luciano Augusto,FRELIMO
Lucília José Manuel Nota Hama,FRELIMO
Lucinda Bela das Dores Impetule Malema,FRELIMO
Luís Ramos Domingos,FRELIMO
Luísa Chirindza,FRELIMO
Lurdes Daniel,FRELIMO
Maconha João,FRELIMO
Madalena M’bela Ambrósio,FRELIMO
Manuel Jorge Tomé,FRELIMO
Margarida Adamugi Talapa,FRELIMO
Margarida Sebastião Mapanzene,FRELIMO
Maria Ângela Ismael Manjate Janace,FRELIMO
Maria Bachir,FRELIMO
Maria das Dores António,FRELIMO
Maria de Lurdes do Carmo Lobo,FRELIMO
Maria Ema Anchunala Cassimo,FRELIMO
Maria Jossefa Miguel,FRELIMO
Maria Marta Mateus Fernando Zalimba,FRELIMO
Maria Matilde Alves Lampião Soares,FRELIMO
Maria Olívia Álvaro,FRELIMO
Maria Virgínia de Sousa Videira,FRELIMO
Mário Lampião Sevene,FRELIMO
Maurício Mateus Madebe,FRELIMO
Maurício Vieira Jacob,FRELIMO
Micas Carlos António Jafare,FRELIMO
Miguel Anláuè Mussa,FRELIMO
Milagrosa Armando Langa,FRELIMO
Palmira Eusébio Mbanze,FRELIMO
Paulina Tsumba Nhacumbena Canhane,FRELIMO
Pedro Armando Alberto Vírgula,FRELIMO
Raimundo Joaquim Mapanzene,FRELIMO
Raquel Carlos José Damião,FRELIMO
Regina Macuácua Muchanga,FRELIMO
Rema Fabião,FRELIMO
Ricardo Pedro Filimone,FRELIMO
Roberto Maximiano Chitsondzo,FRELIMO
Rosa Isabel Maiópuè,FRELIMO
Rosália Celestina José Lumbela,FRELIMO
Rosário Salimo Régulo,FRELIMO
Rosário Zacarias,FRELIMO
Rui António Chundiza,FRELIMO
Sábado Teresa Malendza,FRELIMO
Safi Mahomed Abdul Reman Gulamo,FRELIMO
Saíbo Alberto,FRELIMO
Sara Mamudo Abdula Vassanegy,FRELIMO
Sebastião Dengo,FRELIMO
Severina Tiago Banze,FRELIMO
Sousa Salvador Munhaua,FRELIMO
Tiago Horácio Simba,FRELIMO
Tsoquisse Mulaícho Munhiwa,FRELIMO
Ussumane Aly Dauto,FRELIMO
Verónica Nataniel Macamo Dlovo,FRELIMO
Xavier Aleixo Chicutirene,FRELIMO
Yohane Tadeu Nkeka,FRELIMO
Zeca Castro Morgado,FRELIMO
Zélia da Luz Francisco Muthambe Langa,FRELIMO
Abdala Ossifo Ibraimo,RENAMO
Abel Gabriel Mabunda,RENAMO
Abel Vicente Sana Sana,RENAMO
Achiro Amisse,RENAMO
Agostinho Ussore,RENAMO
Aida Luis Garife Massangaissa,RENAMO
Albino Ducuza Muchanga,RENAMO
Alicora Intutunha,RENAMO
Alzira Frederico Pereira,RENAMO
Alzira Frederico Pereira,RENAMO
Ana Celestina Meneses Sousa,RENAMO
Anselmo Ernesto Victor,RENAMO
Anselmo Jacinto Eduardo,RENAMO
António Augusto Ed Namburete,RENAMO
António Pedro Muchanga,RENAMO
António Severino Timba,RENAMO
Armindo João Milaco,RENAMO
Artur Xavier Vilanculos,RENAMO
Assane Ali,RENAMO
Augusto Mateus,RENAMO
Bonifácio João Nicasse,RENAMO
Brito Caetano,RENAMO
Carlos Manuel,RENAMO
Celestino Neúma,RENAMO
Celestino Neúma,RENAMO
Claudina Inácio Guimarães,RENAMO
Cornélio Quivela,RENAMO
David Jonas Moiana,RENAMO
Dominga Domingos Chuva,RENAMO
Edgar de Jesus Gonzaga C Silva,RENAMO
Elisa Cipriano Silvestre,RENAMO
Elisa Júlio Salamo,RENAMO
Elsa Muzé Ussene,RENAMO
Eufrásia Guerra Jordão,RENAMO
Eva Teixeira Caetano Dias,RENAMO
Fernando Calisto Jauado,RENAMO
Filipe António Primero,RENAMO
Florêncio Francisco Alfainho,RENAMO
Francisco Domingos Paulo Machambisse,RENAMO
Francisco João José Dias,RENAMO
Francisco Maingue,RENAMO
Helena da Zinha Paulo,RENAMO
Hipólito de Jesus Fernandes Xavier do Couto,RENAMO
Ireneu Joaquim Muanaco,RENAMO
Ismael Jamú Mussá,RENAMO
Janeiro Mariano,RENAMO
Jerónimo Malagueta Nalia,RENAMO
Joana José Carvalho,RENAMO
João Alexandre,RENAMO
João Carlos Colaço,RENAMO
João José Monteiro,RENAMO
Joaquim Mussuaho Luis M. Bicho,RENAMO
José Augusto Mazuana,RENAMO
José Carlos Rodrigues Palaço,RENAMO
José Ferreira Muivai,RENAMO
José Manteigas Gabriel,RENAMO
Julião Munhequeia,RENAMO
Khalid Hussein Mahomed Sidat,RENAMO
Leopoldo Alfredo Ernesto,RENAMO
Lucia do Carmo Casimiro Lima,RENAMO
Lúcia Xavier Afate,RENAMO
Luciano Filipe Governo,RENAMO
Luis Benedito Gouveia,RENAMO
Luis Boavida Mudivela,RENAMO
Luis Inácio,RENAMO
Luis Trinta Mecupia,RENAMO
Lutero Chimbirombir Simango,RENAMO
Madalena João Francisco,RENAMO
Manecas Daniel,RENAMO
Manuel António Alculete de Araújo,RENAMO
Manuel Fernandes Pereira,RENAMO
Manuel Francisco Lole,RENAMO
Maria Anastácia Da Costa,RENAMO
Maria Angelina Dique Enoque,RENAMO
Maria Inês Martins,RENAMO
Maria Joana João,RENAMO
Maria José Moreno,RENAMO
Mariano Humberto Rodrigues,RENAMO
Mateus Elias Damião F. Da Silva,RENAMO
Máximo Diogo José Dias,RENAMO
Ossufo Momade,RENAMO
Pedro Tesoura Chichone,RENAMO
Rosa Mafuna Julai Sitole,RENAMO
Rui Domingos de Sousa,RENAMO
Saimone Muhambe Macuiana,RENAMO
Samuel Brito Simango,RENAMO
Sebastião dos Santos Temporário,RENAMO
Simão Bute,RENAMO
Viana da Silva Magalhães,RENAMO
Vicente Zacarias Ululu,RENAMO
Zabura Selemane,RENAMO
