@@,provincelabel,positionlabel,personlabel
->,Zambezia->Zambézia,Governor of Zambézia,Abdul Razak->Pio Augusto Matos
->,Tete,Governor of Tete,Paulo Auade->Domingos Viola
->,Sofala,Governor of Sofala,Alberto Ricardo Mondlane->Lourenço Bulha
->,Niassa,Governor of Niassa,Francisca Domingos Tomás->Judite Massengele
->,Maputo,Governor of Maputo,Raimundo Maico Diamba->Júlio Parruque
->,Manica,Governor of Manica,Manuel Rodrigues Alberto->Francisca Domingos Tomás
->,Inhambane,Governor of Inhambane,Daniel Chapo->Daniel Francisco Chapo
->,Gaza,Governor of Gaza,Stella da Graça Pinto Novo Zeca->Margarida Mapanzene
->,Cabo Delgado,Governor of Cabo Delgado,Júlio José Parruque->Valygi Tualibo
---,Gaza,Governor of Gaza Governorate,Ibrahim Abu Al-Naja
