@@,item,name,party,area,startdate,enddate,gender
+++,"",Abacar Chande,Q504564,"","","",male
+++,"",Abdala Ossifo Ibraimo,Q1740056,"","","",male
+++,"",Abdul Gafur Mamade Hossene Issufo,Q504564,"","","",male
+++,"",Abiba Aba,Q1740056,"","","",female
+++,"",Afonso Januário Bombene,Q504564,"","","",male
+++,"",Afonso Lopes Nipero,Q504564,"","","",male
+++,"",Agostinho André Likangóne,Q504564,"","","",male
+++,"",Agostinho Cosme Manje,Q504564,"","","",male
+++,"",Agostinho Gomes Chipindula,Q504564,"","","",male
+++,"",Agostinho José Lobato,Q504564,"","","",male
+++,"",Agostinho Zacarias Vuma,Q504564,"","","",male
+++,"",Aida Maria Soares,Q504564,"","","",female
+++,"",Ainca Micusserima Chande,Q1740056,"","","",female
+++,"",Aires Bonifácio Baptista Aly,Q504564,"","","",male
+++,"",Aisácia João Chochoma,Q504564,"","","",female
+++,"",Albano Bulaunde José,Q1740056,"","","",male
+++,"",Albertina Ilda Lino,Q1740056,"","","",female
+++,"",Albertina Jocia,Q1740056,"","","",female
+++,"",Albertina Julião Matavele,Q1740056,"","","",female
+++,"",Alberto Clementino António Vaquina,Q504564,"","","",male
+++,"",Alberto Jacinto Nancuta Mtukutuku,Q504564,"","","",male
+++,Q4711973,Alberto Joaquim Chipande,Q504564,"","","",male
+++,"",Alberto Jumulate,Q504564,"","","",male
+++,"",Alcina António De Abreu,Q504564,"","","",female
+++,"",Alfredo Jame,Q1740056,"","","",male
+++,"",Alfredo Tomás Magumisse,Q1740056,"","","",male
+++,"",Alice Caetano Tomás,Q504564,"","","",female
+++,"",Almina Manuel Monteiro,Q504564,"","","",female
+++,"",Alves Jordão Zita,Q504564,"","","",male
+++,"",Amilcar José Hussein,Q504564,"","","",male
+++,"",Américo José Ubisse,Q1740056,"","","",male
+++,"",Américo Paulo Noé Muchanga,Q1740056,"","","",male
+++,"",Ana Antónia Henrique Dimitri,Q504564,"","","",female
+++,"",Ana Paula Orta Cordeiro Manhique,Q504564,"","","",female
+++,"",Ana Paula Victorino J. P. Da Graça,Q504564,"","","",female
+++,"",Ana Rita Geremias Sithole,Q504564,"","","",female
+++,"",André Joaquim Magibire,Q1740056,"","","",male
+++,"",Antónia Rufino Cara-Alegre Tembe,Q504564,"","","",female
+++,"",Antónia Simão Paulo Charre,Q504564,"","","",female
+++,"",António Augusto Eduardo Namburete,Q1740056,"","","",male
+++,"",António Hama Thai,Q504564,"","","",male
+++,"",António José Amélia,Q504564,"","","",male
+++,"",António Pedro Muchanga,Q1740056,"","","",male
+++,"",António Rosário Niquice,Q504564,"","","",male
+++,"",António Severino Timba,Q1740056,"","","",male
+++,"",António Valério Kantile,Q504564,"","","",male
+++,"",Armando Ramiro Artur,Q668181,"","","",male
+++,"",Atanásio Gomes Kulyaukila,Q504564,"","","",male
+++,"",Beatriz Mário Chaguala,Q504564,"","","",female
+++,"",Bernardino Benjamim Carneiro Cortez,Q1740056,"","","",male
+++,"",Bonifácio João Nicassa,Q1740056,"","","",male
+++,"",Buanar Muhamede,Q504564,"","","",male
+++,"",Caifadine Paulo Manasse,Q504564,"","","",male
+++,"",Carimo Freitas De Oliveira,Q504564,"","","",male
+++,"",Carlos Manuel,Q1740056,"","","",male
+++,"",Carlos Manuel Simbi,Q1740056,"","","",male
+++,"",Carlos Moreira Vasco,Q504564,"","","",male
+++,"",Carlos Samussone Maiela,Q1740056,"","","",male
+++,"",Carlos Sebastião,Q504564,"","","",male
+++,"",Carvalho Muária,Q504564,"","","",male
+++,"",Carvalho Pensando António,Q1740056,"","","",male
+++,"",Catarina Olinda Salomão Figueira,Q1740056,"","","",female
+++,"",Celmira Irene Melo Xavier,Q504564,"","","",female
+++,"",Cemilde Amélia Muchanga,Q504564,"","","",female
+++,"",Chrispen Matches,Q504564,"","","",male
+++,"",Cidália Manuel Chaúque Oliveira,Q504564,"","","",female
+++,"",Conceita Ernesto Xavier Sortane,Q504564,"","","",female
+++,"",Costa Francisco Chale,Q504564,"","","",male
+++,"",Damião José,Q504564,"","","",male
+++,"",Daniel João Matavele,Q504564,"","","",male
+++,"",Danilo Aly Teixeira,Q504564,"","","",male
+++,"",David Jonas Moiana,Q1740056,"","","",male
+++,"",Deolinda Catarina João Chochoma,Q504564,"","","",female
+++,"",Dina Ali Américo,Q504564,"","","",female
+++,"",Domingos Cintura,Q504564,"","","",male
+++,"",Domingos Gabriel Tavira,Q504564,"","","",male
+++,"",Domingos Migina Assulai,Q1740056,"","","",male
+++,"",Edmundo Galiza Dimande Matos,Q504564,"","","",male
+++,"",Edson Da Graça Francisco Macuacua,Q504564,"","","",male
+++,Q5340644,Eduardo Joaquim Mulémbwè,Q504564,"","","",male
+++,"",Eduardo João Ladria,Q1740056,"","","",male
+++,"",Eduardo Silva Nihia,Q504564,"","","",male
+++,"",Elisa Amina Amisse Timóteo,Q504564,"","","",female
+++,"",Elisa Maria Isabel Silvestre Cipriano,Q1740056,"","","",female
+++,"",Elisa Rajamo,Q1740056,"","","",female
+++,"",Emídio Benjamim Xavier,Q504564,"","","",male
+++,"",Emília Alfredo Pereira,Q504564,"","","",female
+++,"",Eneas Da Conceição Comiche,Q504564,"","","",male
+++,"",Esmeralda Aurélio Mutemba,Q504564,"","","",female
->,Q5398931,Esperança Bias->Esperança L. F. Bias,NULL->Q504564,,2015,,female
+++,"",Ester Epifánio Plaze,Q504564,"","","",female
+++,"",Eulália Lourenço Oliveira,Q1740056,"","","",female
+++,"",Eva José Mangaze,Q504564,"","","",female
+++,"",Eva Teixeira Caetano Dias,Q1740056,"","","",female
+++,"",Evaristo Tatano Sixpence,Q1740056,"","","",male
+++,"",Ezequiel João Aramane,Q668181,"","","",male
+++,"",Faruk Osman,Q504564,"","","",male
+++,"",Felizarda Clara De Castro,Q1740056,"","","",female
+++,"",Fernando Amelane,Q1740056,"","","",male
+++,"",Fernando Bismarque Ali,Q668181,"","","",male
+++,"",Fernando Jossias Matouassanga,Q1740056,"","","",male
+++,"",Fernando José Namacua,Q504564,"","","",male
+++,"",Fernando Mendes João Lavieque,Q1740056,"","","",male
+++,"",Filipe Carlos Domingos,Q1740056,"","","",male
+++,"",Filipe Chimoio Paunde,Q504564,"","","",male
+++,"",Filipe Jaime,Q504564,"","","",male
+++,"",Filomena Nachaque,Q504564,"","","",female
+++,"",Flora Bela Das Neves Caetano,Q504564,"","","",female
+++,"",Francisca Domingos Tomás,Q504564,"","","",female
+++,"",Francisca Sabão Domingos,Q1740056,"","","",female
