name,positionLabel,position
António Njanje Taimo Supeia,Cabo Delgado,
Dinis Vilanculos,Niassa,
Mety Gondola,Nampula,
Judith Mussácula,Zambézia,
Elisa Zacarias,Tete,
Edson Macuácua,Manica,
Stella Zeca,Sofala,
Ludmila Maguni,Inhambane,
Amosse Macamo,Gaza,
Vitória Dias Diogo,Maputo Provincia,
Vicente Joaquim,Cidade de Maputo,
Secretaria de Estado de Desportos,Oswaldo Armindo Faquir Petersburgo Telefone: Fax: Email:,
