@@,name,position,positionlabel
->,Vicente Joaquim,Q111904035,Secretary of State of Maputo City->Cidade de Maputo
+++,Vitória Dias Diogo,"",Maputo
+++,Stella Zeca,"",Sofala
+++,Secretaria de Estado de Desportos,"",Oswaldo Armindo Faquir Petersburgo Telefone: Fax: Email:
+++,Mety Gondola,"",Nampula
+++,Ludmila Maguni,"",Inhambane
+++,Judith Mussácula,"",Zambézia
+++,Elisa Zacarias,"",Tete
+++,Edson Macuácua,"",Manica
+++,Dinis Vilanculos,"",Niassa
+++,António Njanje Taimo Supeia,"",Cabo Delgado
+++,Amosse Macamo,"",Gaza
