id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q18565665,President of Mozambique,Q1029,Q1029,,,1975-06-25,,,,
Q30100629,Prime Minister of Mozambique,Q1029,Q1029,,Q2345072,1986-07-17,,,,
Q109950131,Minister of Agriculture and Rural Development,Q1029,Q1029,,,,,,,
Q109949840,Minister of Culture and Tourism,Q1029,Q1029,,,,,,,
Q98755271,Defence Minister of Mozambique,Q1029,,,,,,,,
Q98755316,Minister of Economy and Finances of Mozambique,Q1029,,,,,,,,Minister of Economy and Finance (Mozambique)
Q51279809,Minister of Education and Culture,Q1029,Q1029,,,,,,,
Q109950218,Minister of Education and Human Development,Q1029,Q1029,,,,,,,
Q109950159,Minister of Foreign Affairs,Q1029,Q1029,,,,,,,
Q109949882,"Minister of Gender, Children and Social Welfare",Q1029,Q1029,,,,,,,
Q98966133,Minister of Health of Mozambique,Q1029,Q1029,,,,,,,
Q109949809,Minister of Industry and Trade,Q1029,Q1029,,,,,,,
Q109951016,Minister of the Interior,Q1029,Q1029,,,,,,,
Q109950298,Minister of Justice and Constitutional and Religious Affairs,Q1029,Q1029,,,,,,,
Q109950203,Minister of Labour,Q1029,Q1029,,,,,,,
Q109950138,Minister of Land and Environment,Q1029,Q1029,,,,,,,
Q109950037,Minister of Mineral Resources and Energy,Q1029,Q1029,,,,,,,
Q109950077,Minister of Public Works,Q1029,Q1029,,,,,,,
Q109950672,"Minister of Science, Technology and Higher Education",Q1029,Q1029,,,,,,,
Q109950551,Minister of State Administration and Public Service,Q1029,Q1029,,,,,,,
Q109950316,"Minister of The Sea, Inland Waters and Fisheries",Q1029,Q1029,,,,,,,
Q109950952,Minister of Transport and Communications,Q1029,Q1029,,,,,,,
Q109950869,Minister of Veterans’ Affairs,Q1029,Q1029,,,,,,,
Q109950728,Minister in the President’s Office,Q1029,Q1029,,,,,,,
Q109951706,Speaker of the Assembly of the Republic,,,,,,,,,
Q109951829,Governor of the Bank of Mozambique,Q1029,,,,,,,,
Q109951908,Chief of General Staff of the FADM,Q1029,,,,,,,,
