id,name,relationship,relative,relativename
Q19613993,Ivone Soares,relative,Q383419,Afonso Dhlakama
Q20014463,Vitória Diogo,sibling,Q236020,Luísa Diogo
Q236020,Luísa Diogo,sibling,Q20014463,Vitória Diogo
Q239105,Graça Machel,child,Q102430251,Josina Z. Machel
Q239105,Graça Machel,spouse,Q219918,Samora Moisés Machel
Q239105,Graça Machel,spouse,Q8023,Nelson Mandela
Q27220074,Nyeleti Mondlane,father,Q443434,Eduardo Chivambo Mondlane
Q27220074,Nyeleti Mondlane,mother,Q6153514,Janet Mondlane
Q51280032,Marcelina Chissano,spouse,Q208355,Joaquim Chissano
Q57392,Armando Guebuza,child,Q27345245,Valentina Guebuza
Q57392,Armando Guebuza,spouse,Q94667381,Maria da Luz Guebuza
Q63431954,Isaura Nyusi,spouse,Q5448556,Filipe Nyusi
Q94667381,Maria da Luz Guebuza,spouse,Q57392,Armando Guebuza
