@@,item,name,party,area
+++,,Graca Cesar Machaiane Nhanala Nhalinginga,Q504564,Q466547
+++,,Hariazate Suria,Q1425821,Q622794
+++,,Helder dos Santos Felix Monteiro Muteia,Q504564,Q622803
+++,,Helena da Zinha Paulo,Q1425821,Q622803
+++,,Henriques Bone Mulieca,Q1425821,Q622803
+++,,Hermenegildo Maria Cepeda Gamito,Q504564,Q3889
+++,,Herondina Herculano,Q1425821,Q466547
+++,,Hilario Latina,Q1425821,Q622794
+++,,Hilario Pires Beja,Q1425821,Q622794
+++,,Hilario White,Q1425821,Q622799
+++,,Hipolito Jesus Fernandes X do Couto,Q1425821,Q622801
+++,,Horacio Jose Namalve,Q1425821,Q622803
+++,,Ilidio Antonio Alfredo,Q1425821,Q622803
+++,,Inacio Henrique Carneiro Ngonde,Q504564,Q622803
+++,,Inacio Jossitala,Q1425821,Q605787
+++,,Isabel Manuel Nkavandeca,Q504564,Q466538
---,Q6077711,Isabel Nkavadeka,,
+++,,Isau Joaquim Meneses,Q504564,Q622801
+++,,Jaime Mussa Massesse,Q504564,Q622801
+++,,Janeiro Mariano,Q1425821,Q622792
+++,,Jeremias Pondeca Munguambe,Q1425821,Q379658
+++,,Jeronimo Malagueta,Q1425821,Q622803
+++,,Joana Muchanga,Q504564,Q379658
+++,,Joao Alexandre,Q1425821,Q622792
+++,,Joao Macuamule,Q504564,Q466547
+++,,Joao Manuel Alvaro Goncalves,Q1425821,Q622803
+++,,Joao Manuel Rocha,Q504564,Q622792
+++,,Joe Lucas de Figueireiro,Q1425821,Q622803
+++,,Joel Matias Libombo,Q504564,Q3889
+++,,Jose Augusto Mazuana,Q1425821,Q622801
+++,,Jose Carlos Rodrigues Palaco,Q1425821,Q622803
+++,,Jose do Rosario,Q1425821,Q622803
+++,,Jose Ferreira Muivai,Q504564,Q622794
+++,,Jose Henrique Lopes,Q1425821,Q622794
+++,,Jose Manteigas Gabriel,Q1425821,Q622803
+++,,Jose Maria Sisto Carrau,Q1425821,Q622799
+++,,Jose Mascarenhas,Q1425821,Q622801
+++,,Jose Mateus Muaria Katupha,Q504564,Q466538
+++,,Jose Patricio Manuel Andre,Q1425821,Q622794
+++,,Jose Zeca Arijama,Q1425821,Q622803
+++,,Judite Angelina Macoo,Q504564,Q466538
+++,,Khalid Hussene Muhamed Sidat,Q1425821,Q622794
+++,,Laurinda Jose Pequenino,Q504564,Q466547
+++,,Lazaro Ernesto Mabone,Q1425821,Q3889
+++,,Leonardo Santos Simao,Q504564,Q466526
+++,,Leopoldo Alfredo,Q1425821,Q622803
+++,,Lerina dos Prazeres dos Santos,Q1425821,Q622801
+++,,Linete Eunice Gonoury,Q1425821,Q622803
+++,,Lorenco Juma,Q504564,Q622794
+++,,Lucia Xavier,Q504564,Q622794
+++,,Luciano Andre de Castro,Q504564,Q622794
+++,,Lucilia Jose Manuel Nota Hama,Q504564,Q622803
+++,,Luis Alberto Franco Afonso Videira,Q504564,Q3889
+++,,Luis Benedito Gouveia,Q1425821,Q622803
+++,,Luis Boavida Mudivela,Q1425821,Q622803
+++,,Luis Garife Matsangaice,Q1425821,Q622792
+++,,Luis Inacio,Q1425821,Q622801
+++,,Luisa Dias Diogo,Q504564,Q605787
+++,,Lurdes Antonio Manuel,Q1425821,Q622803
+++,,Lurdes Daniel,Q504564,Q466538
+++,,Lutero Chibirobiro Simango,Q1425821,Q622801
+++,,Mahamd Bacir Abdul Remane,Q1425821,Q622803
+++,,Mahomed Rucundino Dula,Q504564,Q622794
+++,,Maneca Daniel,Q1425821,Q622803
---,Q6752965,Manuel de Araújo,,
+++,,Manuel Fernandes Pereira,Q1425821,Q622801
+++,,Manuel Henrique Franque,Q1425821,Q605787
+++,,Manuel Jorge Tome,Q504564,Q622792
+++,,Manuel Jose dos Santos,Q504564,Q622794
+++,,Manuel Nongofe Bendzane,Q504564,Q466526
+++,,Manuel Pereira,Q1425821,Q622803
+++,,Margarida Adamugi Talapa,Q504564,Q622794
+++,,Maria Anastacia da Costa Xavier,Q1425821,Q622794
+++,,Maria Angela Ismael Manjate,Q504564,Q3889
+++,,Maria Antonia,Q504564,Q622799
+++,,Maria das Dores de Antonio,Q504564,Q622801
+++,,Maria de Lurdes Gouveia,Q1425821,Q622794
+++,,Maria Ines Martins,Q1425821,Q622803
+++,,Maria Isabel Ferreira Lima,Q1425821,Q622803
+++,,Maria Josefa Miguel,Q504564,Q622799
+++,,Maria Matilde Alves Lampiao Soares,Q504564,Q622803
+++,,Maria Tereza Nilimo Nanvarre,Q504564,Q622794
---,Q105325412,Maria Veloso,,
+++,,Maria Virginia Sousa Videira,Q504564,Q3889
+++,,Mariano de Araujo Matsinha,Q504564,Q605787
+++,,Mario Ciquenta Naula,Q1425821,Q622799
+++,,Mateus Anibal Malichocho,Q504564,Q622803
+++,,Mateus Elias Damiao T da Silva,Q1425821,Q622794
+++,,Mateus Lucas Antonio,Q1425821,Q622792
+++,,Matias Alberto Ngulela,Q1425821,Q605787
+++,,Maximo Diogo Jose Dias,Q1425821,Q622803
+++,,Miguel Anlave Mussa,Q504564,Q466538
+++,,Milho de Castro Akili,Q504564,Q466538
+++,,Muricio Vieira Jacob,Q504564,Q466547
+++,,Mustafa Rachide,Q1425821,Q622799
+++,,Natercia Felizarda de Jesus Matiquite,Q504564,Q466526
+++,,Nelson Afonso Alberto,Q504564,Q622794
---,Q27220074,Nyeleti Mondlane,,
+++,,Orlando Pedro Candua,Q504564,Q622803
---,Q55106039,Osfo Momad,Q1425821,
+++,,Ossufo Momade,Q1425821,Q622794
+++,,Ossufo Muze Quitine,Q1425821,Q622794
+++,,Ossumane Ali Dauto,Q504564,Q3889
+++,,Osvaldo Filipe Jabu,Q504564,Q3889
+++,,Padimbe Mabosse Kamati Andrea,Q1425821,Q466538
+++,,Palmira Argelina Pedro Francisco,Q504564,Q622803
+++,,Pascoal Manuel Mucumbi,Q504564,Q466547
+++,,Pauco Muatamulo Nanpuio,Q1425821,Q622794
+++,,Paulino Luis Branquinho Valia,Q1425821,Q622803
+++,,Pedro Armando Alberto,Q504564,Q622803
+++,,Rachide Joao Tayobe Mahomed,Q1425821,Q622803
+++,,Rafael Benedito Afonso Maguni,Q504564,Q622794
+++,,Rahil Samsser Khan,Q1425821,Q3889
+++,,Raquel Carlos Jose Damiao,Q504564,Q466547
+++,,Raul Joao Balate,Q504564,Q379658
+++,,Raul Jose Xavier da Conceicao,Q1425821,Q622801
+++,,Raul Manuel Domingos,Q1425821,Q622801
+++,,Raul Ribeiro Munhuaua,Q1425821,Q622803
+++,,Ricardo Sebastiao de oliveira,Q1425821,Q622794
+++,,Roberto Maximiano Chitsonzo,Q504564,Q3889
+++,,Rosa Florencia Chucua,Q1425821,Q622799
+++,,Rosa Isabel Maope,Q1425821,Q622794
+++,,Rosalia Celestina Jose Lumbela,Q504564,Q466526
+++,,Rosario Mualeia,Q504564,Q622794
+++,,Rosita Maluane,Q504564,Q379658
+++,,Rui Domingos de Sousa,Q1425821,Q622801
+++,,Sabado Teresa Malendza,Q504564,Q379658
+++,,Saimone Macuiana,Q1425821,Q622792
+++,,Salome Milagre Machinuassane Moiane,Q504564,Q466526
---,Q105326708,Salomé Moiane,,
+++,,Samuel Brito Simango,Q1425821,Q605787
+++,,Sausande Mpatula Kuakula,Q504564,Q622799
+++,,Sebastiao da Costa Sebastia,Q1425821,Q622803
+++,,Sebastiao Marcos Mabote,Q504564,Q466526
+++,,Sergio Ernesto Neves,Q1425821,Q622792
+++,,Sergio Vieira,Q504564,Q605787
+++,,Silvano Joao da Cruz,Q504564,Q622794
+++,,Sousa Salvador Munhaua,Q504564,Q622803
---,Q7701012,Teodato Hunguana,,
+++,,Teodato Modim da Silva Hunguana,Q504564,Q3889
+++,,Teresa Aide,Q504564,Q466547
+++,,Teresa Sanilane Romao Tembo,Q504564,Q605787
---,Q105326781,Teresa Tembo,,
+++,,Tertuliano Juma,Q504564,Q622794
+++,,Tomas Augusto Salomao,Q504564,Q466547
+++,,Tomas Frederico Mandlate,Q504564,Q379658
+++,,Vasco Novela Charamadane,Q1425821,Q622794
+++,,Veronica Nataniel Macamo,Q504564,Q466526
---,Q6722501,Verónica Macamo,Q504564,Q379658
+++,,Vicente Zacarias Ululu,Q1425821,Q466538
+++,,Virgilia Bernardo Neto Alexandre dos Santos Matabel,Q504564,Q622803
+++,,Virgilia T C Guerreiro,Q1425821,Q605787
+++,,Virgilio Francisco Ferrao,Q504564,Q605787
+++,,Yohanda Tadeu Mkeka,Q504564,Q466526
+++,,Zeca Castro Morgado,Q504564,Q622803
+++,,Zelma Graciete Ratagy Vasconcelos,Q1425821,Q466547
