@@,item,name,party,area
+++,,Abel Ernesto Safrao,Q1425821,Q622794
+++,,Abel Gabriel Mabunda,Q1425821,Q605787
+++,,Abilio Adelaide Antonio,Q504564,Q466547
+++,,Adelaide Anchia Amurane,Q1425821,Q622794
+++,,Agostinho Nampera Sualeia,Q1425821,Q622794
+++,,Agostinho Semende Murrial,Q1425821,Q466547
+++,,Agostinho Ussene,Q504564,Q622799
+++,,Ahamed Ismail Musa,Q1425821,Q622803
+++,,Aires Bonifacio Baptista Aly,Q504564,Q622799
+++,,Aissa Ossufo Suale,Q1425821,Q622794
+++,,Aiuba Ismail,Q1425821,Q466538
+++,,Aiuba Megama Abdul Camal,Q504564,Q466538
+++,,Albertina Vicente Pelembe,Q504564,Q466526
+++,,Alberto Conforme Tigre,Q504564,Q379658
+++,,Alberto Joaquim Chipande,Q504564,Q466538
+++,,Alberto Manuel Sarande,Q504564,Q622792
+++,,Albino Munafaene Ducuza Muchanga,Q1425821,Q622792
+++,,Alcido Eduardo Nguenha,Q504564,Q3889
+++,,Alexandre Siveto Massingue,Q1425821,Q466538
+++,,Alfredo Maria Sao Bernardo,Q504564,Q622794
+++,,Almeida dos Santos Tambara,Q1425821,Q622792
+++,,Alves Jordao Zita,Q504564,Q466526
+++,,Amélia Narciso Matos Sumbana,Q504564,Q379658
+++,,Ana Alberto Sabonete,Q1425821,Q622794
+++,,Ana Maria Rafael,Q504564,Q605787
+++,,Ana Rita Jeremias Sithole,Q504564,Q466547
+++,,Anacleta Torres Caliano Meque,Q504564,Q622794
+++,,Anatercia de Fatima Ismael Aly Adriano,Q504564,Q466538
+++,,Andre Jumamossi Malhembudi,Q504564,Q466538
+++,,Angela Maria do Carmo Benesse,Q504564,Q622794
+++,,Anselmo Ernesto Victor,Q1425821,Q622803
+++,,Antonio K Mafuta Banda,Q1425821,Q605787
+++,,Antonio Muanayange,Q504564,Q622794
+++,,Armando Emilio Guebuza,Q504564,Q622801
+++,,Armando Maria Pereira Constantino Julio,Q504564,Q605787
+++,,Arnaldo Valente Nhavoto,Q504564,Q379658
+++,,Augusto Janeiro Gumbaza,Q1425821,Q622801
+++,,Aurelio Amandio Zilhao,Q504564,Q622803
+++,,Aurora Mussane Murrime,Q504564,Q466526
+++,,Bachir Kassimo,Q1425821,Q622799
+++,,Bernardo Assumane Sabao,Q504564,Q622794
+++,,Bonifacio Gruveta Massamba,Q504564,Q622803
+++,,Carlos Alexandre dos Reis,Q1425821,Q622803
+++,,Carlos da Piedade,Q504564,Q3889
+++,,Carlos Macareia,Q504564,Q622794
+++,,Carlos Moreira Vasco,Q1425821,Q622794
+++,,Carolina Halime Chemane,Q504564,Q3889
+++,,Casimiro Pedro Sacadura Huate,Q504564,Q379658
+++,,Catarina Albertina Ratibo,Q1425821,Q466538
+++,,Celina Elias Solomone,Q1425821,Q605787
+++,,Cepeda Gamito,Q1425821,Q622794
+++,,Chico Francisco,Q1425821,Q622801
+++,,Cidalia Manuel Chauque,Q504564,Q466547
+++,,Constância Antonio Devesse,Q1425821,Q622803
+++,,Cornelio Quivela,Q1425821,Q466538
+++,,Cristovao Felipe Soares,Q1425821,Q622801
+++,,Cristovao Gemusse Nhacatete,Q1425821,Q622801
+++,,Cristovao Sucane,Q1425821,Q622799
+++,,Daniel Litsure,Q504564,Q379658
+++,,Danilo Amarcy Ragu,Q504564,Q466526
+++,,David Alone Selemane,Q1425821,Q605787
+++,,Dionisio Quelhas,Q1425821,Q622792
+++,,Domingos M Assulai,Q1425821,Q622803
+++,,Domingos Pilale,Q1425821,Q622794
+++,,Duarte Cassiano,Q504564,Q466547
+++,,Edgar Alfredo Cossa,Q504564,Q3889
+++,,Edson da Graca Francisco Macuacua,Q504564,Q466526
+++,,Eduardo Augusto Elias,Q1425821,Q622801
+++,,Eduardo Joaquim Mulembwe,Q504564,Q622799
+++,,Eduardo Silva Nihia,Q504564,Q622794
+++,,Eliado Jossias Mussengue,Q504564,Q379658
+++,,Elisa Amina Amusse,Q1425821,Q622794
+++,,Elisa Maria Silvestre,Q1425821,Q622803
+++,,Elisa Nicolau Jose de Melo,Q504564,Q622803
+++,,Eliseu Joaquim Machava,Q504564,Q466526
+++,,Elvino Jose de Sousa Ferrao,Q1425821,Q605787
+++,,Elvira Luis Mabunda,Q504564,Q3889
+++,,Eneas da Conceicao Comiche,Q504564,Q379658
+++,,Ernesto Cassimuca Lipapa,Q504564,Q466538
+++,,Ernesto Filipe Mausse,Q504564,Q466526
+++,,Ernesto Muala,Q504564,Q622794
+++,,Etelvina Rita Joaquim Fevereiro,Q1425821,Q622794
+++,,Eugenio Numaio,Q504564,Q466526
+++,,Eva Teixeira Caetano Dias,Q1425821,Q622803
+++,,Fatimas Luis Omar Danune,Q504564,Q466538
+++,,Faustina Manuel,Q504564,Q622794
+++,,Faustino Licaneque,Q504564,Q622794
+++,,Faustino Mateus,Q1425821,Q622803
+++,,Feliciano Anjo Bernardo Mata,Q504564,Q466538
+++,,Feliciano Salomao Gundana,Q504564,Q622803
+++,,Felicio Pedro Zacarias,Q504564,Q622792
+++,,Felizarda Clara de Castro,Q1425821,Q622794
+++,,Fernando Saide,Q504564,Q466538
+++,,Filipa Baltazar da Costa,Q504564,Q605787
+++,,Filomena Nachaque,Q504564,Q466538
+++,,Francisca Domingos Tomas,Q504564,Q622792
+++,,Francisco de Assis Masquil,Q1425821,Q622801
+++,,Francisco Domingos Machambisse,Q1425821,Q622801
+++,,Francisco Joao Jose Dias,Q1425821,Q622794
+++,,Francisco Joao Pateguana,Q504564,Q466547
+++,,Francisco Rupansane,Q504564,Q622794
+++,,Gania Abdul Mussagy Manhica,Q1425821,Q466547
