item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q111904539,Abel Ernesto Safrao,Q1425821,RENAMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904539-97DA4EA8-F674-43CF-8E8F-86704D91315C
Q111904540,Abel Gabriel Mabunda,Q1425821,RENAMO,Q605787,Tete Province,2000-01,2005-01,,Q111904540-EF5E8ECB-C796-4D41-BFCA-F4C985DE02D6
Q111904541,Abilio Adelaide Antonio,Q504564,FRELIMO,Q466547,Inhambane Province,2000-01,2005-01,,Q111904541-7239A2E7-05EE-40CA-9A05-D99B6B448417
Q19834060,Adelaide Anchia Amurane,Q1425821,RENAMO,Q622794,Nampula Province,2000-01,2005-01,female,Q19834060-1CE25AA5-DDF8-454B-83B6-FB2CD5A9AC3A
Q111904542,Agostinho Nampera Sualeia,Q1425821,RENAMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904542-A6175FA4-9D6F-4254-8629-F416FF914E0B
Q111904543,Agostinho Semende Murrial,Q1425821,RENAMO,Q466547,Inhambane Province,2000-01,2005-01,,Q111904543-362B047A-70F2-442D-B079-C64B48260B28
Q111904544,Agostinho Ussene,Q504564,FRELIMO,Q622799,Niassa Province,2000-01,2005-01,,Q111904544-E813DFF3-D2DE-45BF-B348-2898635A9D90
Q111904545,Ahamed Ismail Musa,Q1425821,RENAMO,Q622803,Zambezia Province,2000-01,2005-01,,Q111904545-CBD1E1EA-16C2-4B70-8985-348B05254879
Q111841443,Aires Bonifacio Baptista Aly,Q504564,FRELIMO,Q622799,Niassa Province,2000-01,2005-01,male,Q111841443-91AA5A73-A86E-42BF-99F9-C577D1AB39C2
Q111904546,Aissa Ossufo Suale,Q1425821,RENAMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904546-8894B8F4-63EF-4D0D-A619-3C459E1BC5AB
Q111904547,Aiuba Ismail,Q1425821,RENAMO,Q466538,Cabo Delgado Province,2000-01,2005-01,,Q111904547-57251641-4A9A-45BB-BBA6-B637ED0423D7
Q111904548,Aiuba Megama Abdul Camal,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2000-01,2005-01,,Q111904548-7A6D99EF-5E5B-4ADC-AD3C-4CA80F468D6A
Q111904549,Albertina Vicente Pelembe,Q504564,FRELIMO,Q466526,Gaza Province,2000-01,2005-01,,Q111904549-41AC3CA1-844D-4EA4-86DC-11FC023D5A0A
Q111904550,Alberto Conforme Tigre,Q504564,FRELIMO,Q379658,Maputo Province,2000-01,2005-01,,Q111904550-F6DF471B-DD00-4D3F-8788-A4FE5C175CD1
Q4711973,Alberto Joaquim Chipande,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2000-01,2005-01,male,Q4711973-62F589F7-C92D-4AEA-AFC2-D8B41841AC49
Q111904551,Alberto Manuel Sarande,Q504564,FRELIMO,Q622792,Manica Province,2000-01,2005-01,,Q111904551-5B183FE2-77F4-4FDA-B9B3-05E1FB63B88C
Q111904552,Albino Munafaene Ducuza Muchanga,Q1425821,RENAMO,Q622792,Manica Province,2000-01,2005-01,,Q111904552-11F6D4FD-C239-4386-85CF-3BCABD07B750
Q111904553,Alcido Eduardo Nguenha,Q504564,FRELIMO,Q3889,Maputo,2000-01,2005-01,,Q111904553-CF360971-A1B0-44E4-BEB8-3C30FF09A306
Q111904554,Alexandre Siveto Massingue,Q1425821,RENAMO,Q466538,Cabo Delgado Province,2000-01,2005-01,,Q111904554-95D8F060-C0F8-4912-8D11-C3263112D8E2
Q111904555,Alfredo Maria Sao Bernardo,Q504564,FRELIMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904555-18291F55-5C17-4804-96DC-DA7513633291
Q111904556,Almeida dos Santos Tambara,Q1425821,RENAMO,Q622792,Manica Province,2000-01,2005-01,,Q111904556-7004970E-962C-4B1E-9BF0-29455D4A7080
Q111841458,Alves Jordao Zita,Q504564,FRELIMO,Q466526,Gaza Province,2000-01,2005-01,male,Q111841458-BB6995B3-6B68-4630-B135-EC3E242BF177
Q105001942,Amélia Narciso Matos Sumbana,Q504564,FRELIMO,Q379658,Maputo Province,2000-01,2005-01,female,Q105001942-B03F294B-9D63-4CF8-85C5-0A11F8951E12
Q111904558,Ana Alberto Sabonete,Q1425821,RENAMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904558-F7B574FC-E5D7-475C-8DA7-143BE8A22973
Q111904559,Ana Maria Rafael,Q504564,FRELIMO,Q605787,Tete Province,2000-01,2005-01,,Q111904559-40A92F29-BB61-46B8-8EEB-BEC0A466EBE4
Q111904560,Ana Rita Jeremias Sithole,Q504564,FRELIMO,Q466547,Inhambane Province,2000-01,2005-01,,Q111904560-1B116BE9-8A60-458D-B62C-9EC48C79C0BA
Q111904561,Anacleta Torres Caliano Meque,Q504564,FRELIMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904561-6AA4511F-A30B-4B80-9D60-B656A0FCD9A5
Q111904562,Anatercia de Fatima Ismael Aly Adriano,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2000-01,2005-01,,Q111904562-E4B10A68-68C0-4918-9407-7E8CC4F2CA77
Q111904563,Andre Jumamossi Malhembudi,Q504564,FRELIMO,Q466538,Cabo Delgado Province,2000-01,2005-01,,Q111904563-32009D3C-5F05-4441-863F-4C678CDBEB61
Q111904564,Angela Maria do Carmo Benesse,Q504564,FRELIMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904564-738D471B-2C72-48BE-B2E3-D06043EEEB5A
Q111904565,Anselmo Ernesto Victor,Q1425821,RENAMO,Q622803,Zambezia Province,2000-01,2005-01,,Q111904565-A7040B3C-DAAC-4823-948E-D8C622EDF725
Q111904567,Antonio K Mafuta Banda,Q1425821,RENAMO,Q605787,Tete Province,2000-01,2005-01,,Q111904567-E854604F-BB83-4208-B4FD-59F77D287557
Q111904568,Antonio Muanayange,Q504564,FRELIMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904568-8812788F-35A4-4B6F-825A-F190714EB346
Q57392,Armando Emilio Guebuza,Q504564,FRELIMO,Q622801,Sofala,2000-01,2005-01,male,Q57392-3DB76BBB-D8DD-4DF3-84A2-BF80D2813E21
Q111904569,Armando Maria Pereira Constantino Julio,Q504564,FRELIMO,Q605787,Tete Province,2000-01,2005-01,,Q111904569-01164AA6-6C05-4CDE-8223-F67077EDCA64
Q111904570,Arnaldo Valente Nhavoto,Q504564,FRELIMO,Q379658,Maputo Province,2000-01,2005-01,,Q111904570-2D1335D4-30BD-4DFD-8829-0B2ECF071F29
Q111904571,Augusto Janeiro Gumbaza,Q1425821,RENAMO,Q622801,Sofala,2000-01,2005-01,,Q111904571-FBBC39EC-F753-4E36-BBF6-70A953212688
Q111904572,Aurelio Amandio Zilhao,Q504564,FRELIMO,Q622803,Zambezia Province,2000-01,2005-01,,Q111904572-4B09935B-03DB-4858-9665-1D970BA44F70
Q111904573,Aurora Mussane Murrime,Q504564,FRELIMO,Q466526,Gaza Province,2000-01,2005-01,,Q111904573-1DFA6217-11FA-4E1D-AF84-53748EA6F4DB
Q111904574,Bachir Kassimo,Q1425821,RENAMO,Q622799,Niassa Province,2000-01,2005-01,,Q111904574-80C9B7B3-34C8-42E6-91BC-CD4C6D4DBEBE
Q111904575,Bernardo Assumane Sabao,Q504564,FRELIMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904575-4605A48E-AB09-4078-B5B4-A02E4E2545DD
Q111843368,Bonifacio Gruveta Massamba,Q504564,FRELIMO,Q622803,Zambezia Province,2000-01,2005-01,,Q111843368-CC48FF52-B27C-4358-8B69-39EC1C0F77A2
Q111904576,Carlos Alexandre dos Reis,Q1425821,RENAMO,Q622803,Zambezia Province,2000-01,2005-01,,Q111904576-095347DC-04B0-44CD-8075-7418770E8440
Q111904578,Carlos Macareia,Q504564,FRELIMO,Q622794,Nampula Province,2000-01,2005-01,,Q111904578-8E58FF78-9A1A-4D0C-B70D-1F8FE5006E14
Q111841485,Carlos Moreira Vasco,Q1425821,RENAMO,Q622794,Nampula Province,2000-01,2005-01,male,Q111841485-8A02C099-B365-47E2-AD37-0583BABADE7C
Q111904577,Carlos da Piedade,Q504564,FRELIMO,Q3889,Maputo,2000-01,2005-01,,Q111904577-EF0837DF-9BEA-4A83-B782-4A29EA398EE9
Q111904579,Carolina Halime Chemane,Q504564,FRELIMO,Q3889,Maputo,2000-01,2005-01,,Q111904579-1C15C6D3-D28C-4D0C-AE6C-1226ABFA9D7E
Q111904580,Casimiro Pedro Sacadura Huate,Q504564,FRELIMO,Q379658,Maputo Province,2000-01,2005-01,,Q111904580-814F2601-AAC1-45D1-BECA-AD40D01C4196
Q111904581,Catarina Albertina Ratibo,Q1425821,RENAMO,Q466538,Cabo Delgado Province,2000-01,2005-01,,Q111904581-B934A691-DC86-419B-8563-3D76F889150F
Q111904582,Celina Elias Solomone,Q1425821,RENAMO,Q605787,Tete Province,2000-01,2005-01,,Q111904582-2E7D0FEE-D491-4B11-B8F1-9996AE0FF834
Q97148316,Cepeda Gamito,Q1425821,RENAMO,Q622794,Nampula Province,2000-01,2005-01,male,Q97148316-19247D01-4E90-4B88-A8A0-264FE277F882
Q111904583,Chico Francisco,Q1425821,RENAMO,Q622801,Sofala,2000-01,2005-01,,Q111904583-4CEE84A7-4748-4ADB-97CC-99D1B34CAFC7
Q97120115,Cidalia Manuel Chauque,Q504564,FRELIMO,Q466547,Inhambane Province,2000-01,2005-01,female,Q97120115-97AD22CD-AE70-434B-ADDB-A01BC0A51841
Q111904584,Constância Antonio Devesse,Q1425821,RENAMO,Q622803,Zambezia Province,2000-01,2005-01,,Q111904584-A2F11687-0F61-45B2-A2FA-67ACCCDF5BB4
Q111904585,Cornelio Quivela,Q1425821,RENAMO,Q466538,Cabo Delgado Province,2000-01,2005-01,,Q111904585-76F48623-CD88-4629-A9E8-2392DC3D40BC
Q111904586,Cristovao Felipe Soares,Q1425821,RENAMO,Q622801,Sofala,2000-01,2005-01,,Q111904586-0AFA2AA5-890E-4681-BDEB-BC2576D225C7
Q111904587,Cristovao Gemusse Nhacatete,Q1425821,RENAMO,Q622801,Sofala,2000-01,2005-01,,Q111904587-9C78412C-6C37-4E7D-AC5D-C8ACB45EF649
Q111904588,Cristovao Sucane,Q1425821,RENAMO,Q622799,Niassa Province,2000-01,2005-01,,Q111904588-17922264-5069-4BE0-A045-4573BD370127
Q111904589,Daniel Litsure,Q504564,FRELIMO,Q379658,Maputo Province,2000-01,2005-01,,Q111904589-BBDE35AF-716E-4BC0-9D38-818A0E112C1B
Q111904590,Danilo Amarcy Ragu,Q504564,FRELIMO,Q466526,Gaza Province,2000-01,2005-01,,Q111904590-ED250BA3-BA51-4F71-9E3D-4CC8B66A864B
