item,name,party,partyLabel,area,areaLabel
,Eduardo Silva Nihia,Q504564,FRELIMO,Q622794,Nampula
,Felizarda Clara de Castro,Q1425821,RENAMO,Q622794,Nampula
,Rosario Mualeia,Q504564,FRELIMO,Q622794,Nampula
,Jose Henrique Lopes,Q1425821,RENAMO,Q622794,Nampula
,Faustina Manuel,Q504564,FRELIMO,Q622794,Nampula
,Domingos Pilale,Q1425821,RENAMO,Q622794,Nampula
,Anacleta Torres Caliano Meque,Q504564,FRELIMO,Q622794,Nampula
,Hariazate Suria,Q1425821,RENAMO,Q622794,Nampula
,Nelson Afonso Alberto,Q504564,FRELIMO,Q622794,Nampula
,Ossufo Muze Quitine,Q1425821,RENAMO,Q622794,Nampula
,Ernesto Muala,Q504564,FRELIMO,Q622794,Nampula
,Vasco Novela Charamadane,Q1425821,RENAMO,Q622794,Nampula
,Carlos Macareia,Q504564,FRELIMO,Q622794,Nampula
,Khalid Hussene Muhamed Sidat,Q1425821,RENAMO,Q622794,Nampula
,Angela Maria do Carmo Benesse,Q504564,FRELIMO,Q622794,Nampula
,Pauco Muatamulo Nanpuio,Q1425821,RENAMO,Q622794,Nampula
,Alfredo Maria Sao Bernardo,Q504564,FRELIMO,Q622794,Nampula
,Cepeda Gamito,Q1425821,RENAMO,Q622794,Nampula
,Lorenco Juma,Q504564,FRELIMO,Q622794,Nampula
,Elisa Amina Amusse,Q1425821,RENAMO,Q622794,Nampula
,Lucia Xavier,Q504564,FRELIMO,Q622794,Nampula
,Adelaide Anchia Amurane,Q1425821,RENAMO,Q622794,Nampula
,Manuel Jose dos Santos,Q504564,FRELIMO,Q622794,Nampula
,Carlos Moreira Vasco,Q1425821,RENAMO,Q622794,Nampula
,Jose Ferreira Muivai,Q504564,FRELIMO,Q622794,Nampula
,Ana Alberto Sabonete,Q1425821,RENAMO,Q622794,Nampula
,Mahomed Rucundino Dula,Q504564,FRELIMO,Q622794,Nampula
,Jose Patricio Manuel Andre,Q1425821,RENAMO,Q622794,Nampula
,Bernardo Assumane Sabao,Q504564,FRELIMO,Q622794,Nampula
,Etelvina Rita Joaquim Fevereiro,Q1425821,RENAMO,Q622794,Nampula
,Maria Tereza Nilimo Nanvarre,Q504564,FRELIMO,Q622794,Nampula
,Abel Ernesto Safrao,Q1425821,RENAMO,Q622794,Nampula
,Tertuliano Juma,Q504564,FRELIMO,Q622794,Nampula
,Hilario Pires Beja,Q1425821,RENAMO,Q622794,Nampula
,Silvano Joao da Cruz,Q504564,FRELIMO,Q622794,Nampula
,Rosa Isabel Maope,Q1425821,RENAMO,Q622794,Nampula
,Faustino Licaneque,Q504564,FRELIMO,Q622794,Nampula
,Maria de Lurdes Gouveia,Q1425821,RENAMO,Q622794,Nampula
,Francisco Rupansane,Q504564,FRELIMO,Q622794,Nampula
,Aissa Ossufo Suale,Q1425821,RENAMO,Q622794,Nampula
,Antonio Muanayange,Q504564,FRELIMO,Q622794,Nampula
,Agostinho Nampera Sualeia,Q1425821,RENAMO,Q622794,Nampula
,Ricardo Sebastiao de oliveira,Q1425821,RENAMO,Q622794,Nampula
,Mateus Elias Damiao T da Silva,Q1425821,RENAMO,Q622794,Nampula
,Francisco Joao Jose Dias,Q1425821,RENAMO,Q622794,Nampula
,Hilario White,Q1425821,RENAMO,Q622799,Niassa
,Eduardo Joaquim Mulembwe,Q504564,FRELIMO,Q622799,Niassa
,Rosa Florencia Chucua,Q1425821,RENAMO,Q622799,Niassa
,Aires Bonifacio Baptista Aly,Q504564,FRELIMO,Q622799,Niassa
,Jose Maria Sisto Carrau,Q1425821,RENAMO,Q622799,Niassa
,Maria Antonia,Q504564,FRELIMO,Q622799,Niassa
,Bachir Kassimo,Q1425821,RENAMO,Q622799,Niassa
,Agostinho Ussene,Q504564,FRELIMO,Q622799,Niassa
,Mustafa Rachide,Q1425821,RENAMO,Q622799,Niassa
,Maria Josefa Miguel,Q504564,FRELIMO,Q622799,Niassa
,Mario Ciquenta Naula,Q1425821,RENAMO,Q622799,Niassa
,Sausande Mpatula Kuakula,Q504564,FRELIMO,Q622799,Niassa
,Cristovao Sucane,Q1425821,RENAMO,Q622799,Niassa
,Raul Manuel Domingos,Q1425821,RENAMO,Q622801,Sofala
,Armando Emilio Guebuza,Q504564,FRELIMO,Q622801,Sofala
,Augusto Janeiro Gumbaza,Q1425821,RENAMO,Q622801,Sofala
,Isau Joaquim Meneses,Q504564,FRELIMO,Q622801,Sofala
,Lutero Chibirobiro Simango,Q1425821,RENAMO,Q622801,Sofala
,Jaime Mussa Massesse,Q504564,FRELIMO,Q622801,Sofala
,Chico Francisco,Q1425821,RENAMO,Q622801,Sofala
,Maria das Dores de Antonio,Q504564,FRELIMO,Q622801,Sofala
,Jose Augusto Mazuana,Q1425821,RENAMO,Q622801,Sofala
,Manuel Fernandes Pereira,Q1425821,RENAMO,Q622801,Sofala
,Luis Inacio,Q1425821,RENAMO,Q622801,Sofala
,Rui Domingos de Sousa,Q1425821,RENAMO,Q622801,Sofala
,Lerina dos Prazeres dos Santos,Q1425821,RENAMO,Q622801,Sofala
,Francisco Domingos Machambisse,Q1425821,RENAMO,Q622801,Sofala
,Raul Jose Xavier da Conceicao,Q1425821,RENAMO,Q622801,Sofala
,Hipolito Jesus Fernandes X do Couto,Q1425821,RENAMO,Q622801,Sofala
,Cristovao Felipe Soares,Q1425821,RENAMO,Q622801,Sofala
,Francisco de Assis Masquil,Q1425821,RENAMO,Q622801,Sofala
,Jose Mascarenhas,Q1425821,RENAMO,Q622801,Sofala
,Eduardo Augusto Elias,Q1425821,RENAMO,Q622801,Sofala
,Cristovao Gemusse Nhacatete,Q1425821,RENAMO,Q622801,Sofala
,David Alone Selemane,Q1425821,RENAMO,Q605787,Tete
,Mariano de Araujo Matsinha,Q504564,FRELIMO,Q605787,Tete
,Elvino Jose de Sousa Ferrao,Q1425821,RENAMO,Q605787,Tete
,Sergio Vieira,Q504564,FRELIMO,Q605787,Tete
,Manuel Henrique Franque,Q1425821,RENAMO,Q605787,Tete
,Armando Maria Pereira Constantino Julio,Q504564,FRELIMO,Q605787,Tete
,Virgilia T C Guerreiro,Q1425821,RENAMO,Q605787,Tete
,Filipa Baltazar da Costa,Q504564,FRELIMO,Q605787,Tete
,Antonio K Mafuta Banda,Q1425821,RENAMO,Q605787,Tete
,Virgilio Francisco Ferrao,Q504564,FRELIMO,Q605787,Tete
,Abel Gabriel Mabunda,Q1425821,RENAMO,Q605787,Tete
,Teresa Sanilane Romao Tembo,Q504564,FRELIMO,Q605787,Tete
,Celina Elias Solomone,Q1425821,RENAMO,Q605787,Tete
,Ana Maria Rafael,Q504564,FRELIMO,Q605787,Tete
,Samuel Brito Simango,Q1425821,RENAMO,Q605787,Tete
,Luisa Dias Diogo,Q504564,FRELIMO,Q605787,Tete
,Matias Alberto Ngulela,Q1425821,RENAMO,Q605787,Tete
,Inacio Jossitala,Q1425821,RENAMO,Q605787,Tete
,Manuel Pereira,Q1425821,RENAMO,Q622803,Zambezia
,Feliciano Salomao Gundana,Q504564,FRELIMO,Q622803,Zambezia
,Luis Benedito Gouveia,Q1425821,RENAMO,Q622803,Zambezia
,Bonifacio Gruveta Massamba,Q504564,FRELIMO,Q622803,Zambezia
,Maximo Diogo Jose Dias,Q1425821,RENAMO,Q622803,Zambezia
,Virgilia Bernardo Neto Alexandre dos Santos Matabel,Q504564,FRELIMO,Q622803,Zambezia
,Anselmo Ernesto Victor,Q1425821,RENAMO,Q622803,Zambezia
,Orlando Pedro Candua,Q504564,FRELIMO,Q622803,Zambezia
,Maneca Daniel,Q1425821,RENAMO,Q622803,Zambezia
,Maria Matilde Alves Lampiao Soares,Q504564,FRELIMO,Q622803,Zambezia
,Eva Teixeira Caetano Dias,Q1425821,RENAMO,Q622803,Zambezia
,Pedro Armando Alberto,Q504564,FRELIMO,Q622803,Zambezia
,Jeronimo Malagueta,Q1425821,RENAMO,Q622803,Zambezia
,Mateus Anibal Malichocho,Q504564,FRELIMO,Q622803,Zambezia
,Carlos Alexandre dos Reis,Q1425821,RENAMO,Q622803,Zambezia
,Aurelio Amandio Zilhao,Q504564,FRELIMO,Q622803,Zambezia
,Rachide Joao Tayobe Mahomed,Q1425821,RENAMO,Q622803,Zambezia
,Palmira Argelina Pedro Francisco,Q504564,FRELIMO,Q622803,Zambezia
,Leopoldo Alfredo,Q1425821,RENAMO,Q622803,Zambezia
,Sousa Salvador Munhaua,Q504564,FRELIMO,Q622803,Zambezia
,Ilidio Antonio Alfredo,Q1425821,RENAMO,Q622803,Zambezia
,Elisa Nicolau Jose de Melo,Q504564,FRELIMO,Q622803,Zambezia
,Jose Carlos Rodrigues Palaco,Q1425821,RENAMO,Q622803,Zambezia
,Lucilia Jose Manuel Nota Hama,Q504564,FRELIMO,Q622803,Zambezia
,Linete Eunice Gonoury,Q1425821,RENAMO,Q622803,Zambezia
,Inacio Henrique Carneiro Ngonde,Q504564,FRELIMO,Q622803,Zambezia
,Horacio Jose Namalve,Q1425821,RENAMO,Q622803,Zambezia
,Helder dos Santos Felix Monteiro Muteia,Q504564,FRELIMO,Q622803,Zambezia
,Domingos M Assulai,Q1425821,RENAMO,Q622803,Zambezia
,Zeca Castro Morgado,Q504564,FRELIMO,Q622803,Zambezia
,Luis Boavida Mudivela,Q1425821,RENAMO,Q622803,Zambezia
,Jose Zeca Arijama,Q1425821,RENAMO,Q622803,Zambezia
,Raul Ribeiro Munhuaua,Q1425821,RENAMO,Q622803,Zambezia
,Sebastiao da Costa Sebastia,Q1425821,RENAMO,Q622803,Zambezia
,Elisa Maria Silvestre,Q1425821,RENAMO,Q622803,Zambezia
,Jose do Rosario,Q1425821,RENAMO,Q622803,Zambezia
,Henriques Bone Mulieca,Q1425821,RENAMO,Q622803,Zambezia
,Constância Antonio Devesse,Q1425821,RENAMO,Q622803,Zambezia
,Jose Manteigas Gabriel,Q1425821,RENAMO,Q622803,Zambezia
,Ahamed Ismail Musa,Q1425821,RENAMO,Q622803,Zambezia
,Maria Ines Martins,Q1425821,RENAMO,Q622803,Zambezia
,Joao Manuel Alvaro Goncalves,Q1425821,RENAMO,Q622803,Zambezia
,Joe Lucas de Figueireiro,Q1425821,RENAMO,Q622803,Zambezia
,Faustino Mateus,Q1425821,RENAMO,Q622803,Zambezia
,Lurdes Antonio Manuel,Q1425821,RENAMO,Q622803,Zambezia
,Helena da Zinha Paulo,Q1425821,RENAMO,Q622803,Zambezia
,Paulino Luis Branquinho Valia,Q1425821,RENAMO,Q622803,Zambezia
,Maria Isabel Ferreira Lima,Q1425821,RENAMO,Q622803,Zambezia
,Mahamd Bacir Abdul Remane,Q1425821,RENAMO,Q622803,Zambezia
