item,name,party,partyLabel,area,areaLabel
,Alberto Joaquim Chipande,Q504564,FRELIMO,Q466538,Cabo Delgado
,Vicente Zacarias Ululu,Q1425821,RENAMO,Q466538,Cabo Delgado
,Jose Mateus Muaria Katupha,Q504564,FRELIMO,Q466538,Cabo Delgado
,Cornelio Quivela,Q1425821,RENAMO,Q466538,Cabo Delgado
,Judite Angelina Macoo,Q504564,FRELIMO,Q466538,Cabo Delgado
,Catarina Albertina Ratibo,Q1425821,RENAMO,Q466538,Cabo Delgado
,Filomena Nachaque,Q504564,FRELIMO,Q466538,Cabo Delgado
,Aiuba Ismail,Q1425821,RENAMO,Q466538,Cabo Delgado
,Miguel Anlave Mussa,Q504564,FRELIMO,Q466538,Cabo Delgado
,Padimbe Mabosse Kamati Andrea,Q1425821,RENAMO,Q466538,Cabo Delgado
,Andre Jumamossi Malhembudi,Q504564,FRELIMO,Q466538,Cabo Delgado
,Alexandre Siveto Massingue,Q1425821,RENAMO,Q466538,Cabo Delgado
,Lurdes Daniel,Q504564,FRELIMO,Q466538,Cabo Delgado
,Fernando Saide,Q504564,FRELIMO,Q466538,Cabo Delgado
,Fatimas Luis Omar Danune,Q504564,FRELIMO,Q466538,Cabo Delgado
,Ernesto Cassimuca Lipapa,Q504564,FRELIMO,Q466538,Cabo Delgado
,Feliciano Anjo Bernardo Mata,Q504564,FRELIMO,Q466538,Cabo Delgado
,Milho de Castro Akili,Q504564,FRELIMO,Q466538,Cabo Delgado
,Anatercia de Fatima Ismael Aly Adriano,Q504564,FRELIMO,Q466538,Cabo Delgado
,Aiuba Megama Abdul Camal,Q504564,FRELIMO,Q466538,Cabo Delgado
,Isabel Manuel Nkavandeca,Q504564,FRELIMO,Q466538,Cabo Delgado
,Veronica Nataniel Macamo,Q504564,FRELIMO,Q466526,Gaza
,Eliseu Joaquim Machava,Q504564,FRELIMO,Q466526,Gaza
,Aurora Mussane Murrime,Q504564,FRELIMO,Q466526,Gaza
,Sebastiao Marcos Mabote,Q504564,FRELIMO,Q466526,Gaza
,Danilo Amarcy Ragu,Q504564,FRELIMO,Q466526,Gaza
,Salome Milagre Machinuassane Moiane,Q504564,FRELIMO,Q466526,Gaza
,Leonardo Santos Simao,Q504564,FRELIMO,Q466526,Gaza
,Alves Jordao Zita,Q504564,FRELIMO,Q466526,Gaza
,Albertina Vicente Pelembe,Q504564,FRELIMO,Q466526,Gaza
,Yohanda Tadeu Mkeka,Q504564,FRELIMO,Q466526,Gaza
,Natercia Felizarda de Jesus Matiquite,Q504564,FRELIMO,Q466526,Gaza
,Rosalia Celestina Jose Lumbela,Q504564,FRELIMO,Q466526,Gaza
,Eugenio Numaio,Q504564,FRELIMO,Q466526,Gaza
,Ernesto Filipe Mausse,Q504564,FRELIMO,Q466526,Gaza
,Edson da Graca Francisco Macuacua,Q504564,FRELIMO,Q466526,Gaza
,Manuel Nongofe Bendzane,Q504564,FRELIMO,Q466526,Gaza
,Pascoal Manuel Mucumbi,Q504564,FRELIMO,Q466547,Inhambane
,Agostinho Semende Murrial,Q1425821,RENAMO,Q466547,Inhambane
,Tomas Augusto Salomao,Q504564,FRELIMO,Q466547,Inhambane
,Herondina Herculano,Q1425821,RENAMO,Q466547,Inhambane
,Ana Rita Jeremias Sithole,Q504564,FRELIMO,Q466547,Inhambane
,Zelma Graciete Ratagy Vasconcelos,Q1425821,RENAMO,Q466547,Inhambane
,Muricio Vieira Jacob,Q504564,FRELIMO,Q466547,Inhambane
,Gania Abdul Mussagy Manhica,Q1425821,RENAMO,Q466547,Inhambane
,Graca Cesar Machaiane Nhanala Nhalinginga,Q504564,FRELIMO,Q466547,Inhambane
,Abilio Adelaide Antonio,Q504564,FRELIMO,Q466547,Inhambane
,Cidalia Manuel Chauque,Q504564,FRELIMO,Q466547,Inhambane
,Duarte Cassiano,Q504564,FRELIMO,Q466547,Inhambane
,Teresa Aide,Q504564,FRELIMO,Q466547,Inhambane
,Francisco Joao Pateguana,Q504564,FRELIMO,Q466547,Inhambane
,Raquel Carlos Jose Damiao,Q504564,FRELIMO,Q466547,Inhambane
,Joao Macuamule,Q504564,FRELIMO,Q466547,Inhambane
,Laurinda Jose Pequenino,Q504564,FRELIMO,Q466547,Inhambane
,Albino Munafaene Ducuza Muchanga,Q1425821,RENAMO,Q622792,Manica
,Manuel Jorge Tome,Q504564,FRELIMO,Q622792,Manica
,Joao Alexandre,Q1425821,RENAMO,Q622792,Manica
,Alberto Manuel Sarande,Q504564,FRELIMO,Q622792,Manica
,Maria Angelina Dique Enoque,Q1425821,RENAMO,Q622792,Manica
,Francisca Domingos Tomas,Q504564,FRELIMO,Q622792,Manica
,Dionisio Quelhas,Q1425821,RENAMO,Q622792,Manica
,Felicio Pedro Zacarias,Q504564,FRELIMO,Q622792,Manica
,Mateus Lucas Antonio,Q1425821,RENAMO,Q622792,Manica
,Joao Manuel Rocha,Q504564,FRELIMO,Q622792,Manica
,Almeida dos Santos Tambara,Q1425821,RENAMO,Q622792,Manica
,Janeiro Mariano,Q1425821,RENAMO,Q622792,Manica
,Sergio Ernesto Neves,Q1425821,RENAMO,Q622792,Manica
,Saimone Macuiana,Q1425821,RENAMO,Q622792,Manica
,Luis Garife Matsangaice,Q1425821,RENAMO,Q622792,Manica
,Alcido Eduardo Nguenha,Q504564,FRELIMO,Q3889,Maputo City
,Rahil Samsser Khan,Q1425821,RENAMO,Q3889,Maputo City
,Teodato Modim da Silva Hunguana,Q504564,FRELIMO,Q3889,Maputo City
,Lazaro Ernesto Mabone,Q1425821,RENAMO,Q3889,Maputo City
,Ossumane Ali Dauto,Q504564,FRELIMO,Q3889,Maputo City
,Joel Matias Libombo,Q504564,FRELIMO,Q3889,Maputo City
,Maria Angela Ismael Manjate,Q504564,FRELIMO,Q3889,Maputo City
,Maria Virginia Sousa Videira,Q504564,FRELIMO,Q3889,Maputo City
,Luis Alberto Franco Afonso Videira,Q504564,FRELIMO,Q3889,Maputo City
,Carolina Halime Chemane,Q504564,FRELIMO,Q3889,Maputo City
,Hermenegildo Maria Cepeda Gamito,Q504564,FRELIMO,Q3889,Maputo City
,Roberto Maximiano Chitsonzo,Q504564,FRELIMO,Q3889,Maputo City
,Edgar Alfredo Cossa,Q504564,FRELIMO,Q3889,Maputo City
,Carlos da Piedade,Q504564,FRELIMO,Q3889,Maputo City
,Elvira Luis Mabunda,Q504564,FRELIMO,Q3889,Maputo City
,Osvaldo Filipe Jabu,Q504564,FRELIMO,Q3889,Maputo City
,Eneas da Conceicao Comiche,Q504564,FRELIMO,Q379658,Maputo Province
,Jeremias Pondeca Munguambe,Q1425821,RENAMO,Q379658,Maputo Province
,Joana Muchanga,Q504564,FRELIMO,Q379658,Maputo Province
,Casimiro Pedro Sacadura Huate,Q504564,FRELIMO,Q379658,Maputo Province
,Raul Joao Balate,Q504564,FRELIMO,Q379658,Maputo Province
,Tomas Frederico Mandlate,Q504564,FRELIMO,Q379658,Maputo Province
,Rosita Maluane,Q504564,FRELIMO,Q379658,Maputo Province
,Alberto Conforme Tigre,Q504564,FRELIMO,Q379658,Maputo Province
,Sabado Teresa Malendza,Q504564,FRELIMO,Q379658,Maputo Province
,Daniel Litsure,Q504564,FRELIMO,Q379658,Maputo Province
,Amélia Narciso Matos Sumbana,Q504564,FRELIMO,Q379658,Maputo Province
,Eliado Jossias Mussengue,Q504564,FRELIMO,Q379658,Maputo Province
,Arnaldo Valente Nhavoto,Q504564,FRELIMO,Q379658,Maputo Province
,Margarida Adamugi Talapa,Q504564,FRELIMO,Q622794,Nampula
,Ossufo Momade,Q1425821,RENAMO,Q622794,Nampula
,Rafael Benedito Afonso Maguni,Q504564,FRELIMO,Q622794,Nampula
,Maria Anastacia da Costa Xavier,Q1425821,RENAMO,Q622794,Nampula
,Luciano Andre de Castro,Q504564,FRELIMO,Q622794,Nampula
,Hilario Latina,Q1425821,RENAMO,Q622794,Nampula
