constituency,name,party
Cabo Delgado,Alberto Joaquim Chipande,FRELIMO
Cabo Delgado,Vicente Zacarias Ululu,RENAMO
Cabo Delgado,Jose Mateus Muaria Katupha,FRELIMO
Cabo Delgado,Cornelio Quivela,RENAMO
Cabo Delgado,Judite Angelina Macoo,FRELIMO
Cabo Delgado,Catarina Albertina Ratibo,RENAMO
Cabo Delgado,Filomena Nachaque,FRELIMO
Cabo Delgado,Aiuba Ismail,RENAMO
Cabo Delgado,Miguel Anlave Mussa,FRELIMO
Cabo Delgado,Padimbe Mabosse Kamati Andrea,RENAMO
Cabo Delgado,Andre Jumamossi Malhembudi,FRELIMO
Cabo Delgado,Alexandre Siveto Massingue,RENAMO
Cabo Delgado,Lurdes Daniel,FRELIMO
Cabo Delgado,Fernando Saide,FRELIMO
Cabo Delgado,Fatimas Luis Omar Danune,FRELIMO
Cabo Delgado,Ernesto Cassimuca Lipapa,FRELIMO
Cabo Delgado,Feliciano Anjo Bernardo Mata,FRELIMO
Cabo Delgado,Milho de Castro Akili,FRELIMO
Cabo Delgado,Anatercia de Fatima Ismael Aly Adriano,FRELIMO
Cabo Delgado,Aiuba Megama Abdul Camal,FRELIMO
Cabo Delgado,Isabel Manuel Nkavandeca,FRELIMO
Gaza,Veronica Nataniel Macamo,FRELIMO
Gaza,Eliseu Joaquim Machava,FRELIMO
Gaza,Aurora Mussane Murrime,FRELIMO
Gaza,Sebastiao Marcos Mabote,FRELIMO
Gaza,Danilo Amarcy Ragu,FRELIMO
Gaza,Salome Milagre Machinuassane Moiane,FRELIMO
Gaza,Leonardo Santos Simao,FRELIMO
Gaza,Alves Jordao Zita,FRELIMO
Gaza,Albertina Vicente Pelembe,FRELIMO
Gaza,Yohanda Tadeu Mkeka,FRELIMO
Gaza,Natercia Felizarda de Jesus Matiquite,FRELIMO
Gaza,Rosalia Celestina Jose Lumbela,FRELIMO
Gaza,Eugenio Numaio,FRELIMO
Gaza,Ernesto Filipe Mausse,FRELIMO
Gaza,Edson da Graca Francisco Macuacua,FRELIMO
Gaza,Manuel Nongofe Bendzane,FRELIMO
Inhambane,Pascoal Manuel Mucumbi,FRELIMO
Inhambane,Agostinho Semende Murrial,RENAMO
Inhambane,Tomas Augusto Salomao,FRELIMO
Inhambane,Herondina Herculano,RENAMO
Inhambane,Ana Rita Jeremias Sithole,FRELIMO
Inhambane,Zelma Graciete Ratagy Vasconcelos,RENAMO
Inhambane,Muricio Vieira Jacob,FRELIMO
Inhambane,Gania Abdul Mussagy Manhica,RENAMO
Inhambane,Graca Cesar Machaiane Nhanala Nhalinginga,FRELIMO
Inhambane,Abilio Adelaide Antonio,FRELIMO
Inhambane,Cidalia Manuel Chauque,FRELIMO
Inhambane,Duarte Cassiano,FRELIMO
Inhambane,Teresa Aide,FRELIMO
Inhambane,Francisco Joao Pateguana,FRELIMO
Inhambane,Raquel Carlos Jose Damiao,FRELIMO
Inhambane,Joao Macuamule,FRELIMO
Inhambane,Laurinda Jose Pequenino,FRELIMO
Manica,Albino Munafaene Ducuza Muchanga,RENAMO
Manica,Manuel Jorge Tome,FRELIMO
Manica,Joao Alexandre,RENAMO
Manica,Alberto Manuel Sarande,FRELIMO
Manica,Maria Angelina Dique Enoque,RENAMO
Manica,Francisca Domingos Tomas,FRELIMO
Manica,Dionisio Quelhas,RENAMO
Manica,Felicio Pedro Zacarias,FRELIMO
Manica,Mateus Lucas Antonio,RENAMO
Manica,Joao Manuel Rocha,FRELIMO
Manica,Almeida dos Santos Tambara,RENAMO
Manica,Janeiro Mariano,RENAMO
Manica,Sergio Ernesto Neves,RENAMO
Manica,Saimone Macuiana,RENAMO
Manica,Luis Garife Matsangaice,RENAMO
Maputo City,Alcido Eduardo Nguenha,FRELIMO
Maputo City,Rahil Samsser Khan,RENAMO
Maputo City,Teodato Modim da Silva Hunguana,FRELIMO
Maputo City,Lazaro Ernesto Mabone,RENAMO
Maputo City,Ossumane Ali Dauto,FRELIMO
Maputo City,Joel Matias Libombo,FRELIMO
Maputo City,Maria Angela Ismael Manjate,FRELIMO
Maputo City,Maria Virginia Sousa Videira,FRELIMO
Maputo City,Luis Alberto Franco Afonso Videira,FRELIMO
Maputo City,Carolina Halime Chemane,FRELIMO
Maputo City,Hermenegildo Maria Cepeda Gamito,FRELIMO
Maputo City,Roberto Maximiano Chitsonzo,FRELIMO
Maputo City,Edgar Alfredo Cossa,FRELIMO
Maputo City,Carlos da Piedade,FRELIMO
Maputo City,Elvira Luis Mabunda,FRELIMO
Maputo City,Osvaldo Filipe Jabu,FRELIMO
Maputo Province,Eneas da Conceicao Comiche,FRELIMO
Maputo Province,Jeremias Pondeca Munguambe,RENAMO
Maputo Province,Joana Muchanga,FRELIMO
Maputo Province,Casimiro Pedro Sacadura Huate,FRELIMO
Maputo Province,Raul Joao Balate,FRELIMO
Maputo Province,Tomas Frederico Mandlate,FRELIMO
Maputo Province,Rosita Maluane,FRELIMO
Maputo Province,Alberto Conforme Tigre,FRELIMO
Maputo Province,Sabado Teresa Malendza,FRELIMO
Maputo Province,Daniel Litsure,FRELIMO
Maputo Province,Amélia Narciso Matos Sumbana,FRELIMO
Maputo Province,Eliado Jossias Mussengue,FRELIMO
Maputo Province,Arnaldo Valente Nhavoto,FRELIMO
Nampula,Margarida Adamugi Talapa,FRELIMO
Nampula,Ossufo Momade,RENAMO
Nampula,Rafael Benedito Afonso Maguni,FRELIMO
Nampula,Maria Anastacia da Costa Xavier,RENAMO
Nampula,Luciano Andre de Castro,FRELIMO
Nampula,Hilario Latina,RENAMO
Nampula,Eduardo Silva Nihia,FRELIMO
Nampula,Felizarda Clara de Castro,RENAMO
Nampula,Rosario Mualeia,FRELIMO
Nampula,Jose Henrique Lopes,RENAMO
Nampula,Faustina Manuel,FRELIMO
Nampula,Domingos Pilale,RENAMO
Nampula,Anacleta Torres Caliano Meque,FRELIMO
Nampula,Hariazate Suria,RENAMO
Nampula,Nelson Afonso Alberto,FRELIMO
Nampula,Ossufo Muze Quitine,RENAMO
Nampula,Ernesto Muala,FRELIMO
Nampula,Vasco Novela Charamadane,RENAMO
Nampula,Carlos Macareia,FRELIMO
Nampula,Khalid Hussene Muhamed Sidat,RENAMO
Nampula,Angela Maria do Carmo Benesse,FRELIMO
Nampula,Pauco Muatamulo Nanpuio,RENAMO
Nampula,Alfredo Maria Sao Bernardo,FRELIMO
Nampula,Cepeda Gamito,RENAMO
Nampula,Lorenco Juma,FRELIMO
Nampula,Elisa Amina Amusse,RENAMO
Nampula,Lucia Xavier,FRELIMO
Nampula,Adelaide Anchia Amurane,RENAMO
Nampula,Manuel Jose dos Santos,FRELIMO
Nampula,Carlos Moreira Vasco,RENAMO
Nampula,Jose Ferreira Muivai,FRELIMO
Nampula,Ana Alberto Sabonete,RENAMO
Nampula,Mahomed Rucundino Dula,FRELIMO
Nampula,Jose Patricio Manuel Andre,RENAMO
Nampula,Bernardo Assumane Sabao,FRELIMO
Nampula,Etelvina Rita Joaquim Fevereiro,RENAMO
Nampula,Maria Tereza Nilimo Nanvarre,FRELIMO
Nampula,Abel Ernesto Safrao,RENAMO
Nampula,Tertuliano Juma,FRELIMO
Nampula,Hilario Pires Beja,RENAMO
Nampula,Silvano Joao da Cruz,FRELIMO
Nampula,Rosa Isabel Maope,RENAMO
Nampula,Faustino Licaneque,FRELIMO
Nampula,Maria de Lurdes Gouveia,RENAMO
Nampula,Francisco Rupansane,FRELIMO
Nampula,Aissa Ossufo Suale,RENAMO
Nampula,Antonio Muanayange,FRELIMO
Nampula,Agostinho Nampera Sualeia,RENAMO
Nampula,Ricardo Sebastiao de oliveira,RENAMO
Nampula,Mateus Elias Damiao T da Silva,RENAMO
Nampula,Francisco Joao Jose Dias,RENAMO
Niassa,Hilario White,RENAMO
Niassa,Eduardo Joaquim Mulembwe,FRELIMO
Niassa,Rosa Florencia Chucua,RENAMO
Niassa,Aires Bonifacio Baptista Aly,FRELIMO
Niassa,Jose Maria Sisto Carrau,RENAMO
Niassa,Maria Antonia,FRELIMO
Niassa,Bachir Kassimo,RENAMO
Niassa,Agostinho Ussene,FRELIMO
