@@,name,position
+++,Rolinho Manuel Farnela,"Ministério do Trabalho, Emprego e Segurança Social"
+++,Pedro Comissário Afonso,Ministério dos Negócios Estrangeiros e Cooperação
+++,Olegário dos Anjos Estevão Guilherme Banze,Ministério da Agricultura e Desenvolvimento Rural
+++,Manuela Joaquim Rebelo,Ministério dos Transportes e Comunicações
+++,Manuel Banzo,Ministério da Educação e Desenvolvimento Humano
+++,Ludovina Bernardo,Ministério da Indústria e Comércio
+++,Lucas Mangrasse,"Ministério do Género, Criança e Acção Social"
+++,Inocêncio Florentino José Impissa,Ministério da Administração Estatal e Função Pública
+++,Henriques Bongece,"Ministério do Mar, Águas Interiores e Pescas"
+++,Fredson Victor Bravo Bacar,Ministério da Cultura e Turismo
+++,Filimão Joaquim Suazi,Ministério da Justiça e Assuntos Constitucionais e Religiosos
+++,Cecília Sandra Jerónimo Francisco Chamutota,"Ministério das Obras Públicas, Habitação e Recursos Hídricos"
+++,Carla Alexandra Oreste do Rosário Fernandes Louveira,Ministério da Economia e Finanças
+++,Amílcar Paia Tivane,Ministério da Economia e Finanças
