name,position
Pedro Comissário Afonso,Ministério dos Negócios Estrangeiros e Cooperação
Carla Alexandra Oreste do Rosário Fernandes Louveira,Ministério da Economia e Finanças
Amílcar Paia Tivane,Ministério da Economia e Finanças
Manuela Joaquim Rebelo,Ministério dos Transportes e Comunicações
Manuel Banzo,Ministério da Educação e Desenvolvimento Humano
Fredson Victor Bravo Bacar,Ministério da Cultura e Turismo
Olegário dos Anjos Estevão Guilherme Banze,Ministério da Agricultura e Desenvolvimento Rural
Rolinho Manuel Farnela,"Ministério do Trabalho, Emprego e Segurança Social"
Lucas Mangrasse,"Ministério do Género, Criança e Acção Social"
Inocêncio Florentino José Impissa,Ministério da Administração Estatal e Função Pública
Henriques Bongece,"Ministério do Mar, Águas Interiores e Pescas"
Cecília Sandra Jerónimo Francisco Chamutota,"Ministério das Obras Públicas, Habitação e Recursos Hídricos"
Ludovina Bernardo,Ministério da Indústria e Comércio
Filimão Joaquim Suazi,Ministério da Justiça e Assuntos Constitucionais e Religiosos
