@@,item,itemlabel,startdate,enddate
+++,Q1957066,Mário da Graça Machungo,1986-07-17,1990-12-01
+++,Q1957066,Mário da Graça Machungo,1990-12-01,1994-12-16
->,Q1383773,Pascoal Mocumbi,1994-12-16,2004-02-17->2004-08-17
->,Q236020,Luísa Diogo,2004-02-17->2004-08-17,2010-01-16
->,Q19057400,Carlos Agostinho do Rosário,2015-01-19->2015-01-17,2022-03-03
