@@,item,itemlabel,startdate,enddate
+++,,Salamão Munguambe,1975,1978
+++,Q55237841,Rui Baltazar dos Santos Alves,1978,1986
+++,,Abdul Magid Osman,1986,1991
+++,,Eneas Comiche,1991,1994
